N=1, N=2, N=10, N=100
2.05725, 0.418389, 0.642111, 0.987908
0.152699, 0.197422, 0.803796, 0.874816
0.901624, 0.940389, 1.23589, 1.07388
0.174658, 1.63607, 0.60644, 0.82221
1.13235, 1.1414, 1.35251, 0.94503
1.41588, 1.49292, 0.819695, 1.10531
0.660322, 0.900126, 1.01257, 0.90496
1.21413, 0.732843, 1.18667, 1.08174
0.494615, 0.114216, 0.763304, 0.783564
1.27005, 0.404111, 0.717359, 0.986719
0.856177, 1.25407, 1.04962, 1.22125
1.84161, 1.60348, 0.986511, 0.977819
0.422601, 0.431511, 0.744613, 1.15213
0.364872, 0.679, 0.475395, 1.19356
0.114093, 0.447541, 0.933402, 0.93152
1.08984, 0.905667, 0.901523, 1.01275
0.105878, 0.765434, 0.645855, 0.999632
0.252326, 1.23764, 1.04236, 0.996828
1.59918, 0.799587, 1.28885, 1.00801
0.309413, 0.406827, 1.00978, 0.921487
0.521601, 1.98736, 0.662596, 0.930639
2.33704, 0.452891, 0.559278, 1.21552
0.337974, 0.71956, 0.891218, 0.943599
0.833987, 2.21977, 1.14397, 1.0671
1.42028, 1.07865, 0.822428, 0.988935
0.285843, 1.87052, 0.89558, 0.984825
0.855009, 2.48764, 1.49232, 0.83864
1.5146, 0.515196, 0.491028, 1.06264
0.210957, 2.16308, 1.23128, 0.996183
1.15221, 0.415452, 0.509981, 1.05816
0.108927, 1.63569, 1.26722, 1.03613
0.217585, 0.996189, 0.815535, 0.939295
0.246059, 3.78546, 1.3931, 0.912997
0.666325, 0.470231, 1.17151, 0.946729
0.391659, 0.531424, 1.21155, 1.05309
0.155146, 0.318971, 1.16325, 0.985303
1.07469, 0.5778, 0.639301, 0.950211
0.120042, 0.0673673, 1.0581, 0.767091
0.67001, 1.19711, 0.938654, 0.868389
0.0864792, 1.8688, 1.07001, 0.99446
1.84533, 0.691945, 1.15437, 0.898397
1.19682, 1.33242, 0.933044, 1.03501
0.110687, 2.37685, 0.74264, 0.990057
0.131647, 1.22535, 1.2962, 1.02515
1.12062, 1.58002, 0.998742, 1.02534
1.2165, 0.706215, 0.745677, 1.13812
0.878774, 0.553159, 0.790444, 1.00571
0.0254855, 0.939384, 1.58124, 1.06491
0.418306, 0.95783, 1.42177, 0.936293
2.16317, 0.571095, 0.997303, 1.06383
0.558373, 1.34564, 0.823946, 0.895218
1.94161, 2.37178, 0.902033, 1.01731
0.190375, 1.3209, 0.542665, 0.82952
1.93356, 0.452949, 0.832751, 0.88047
1.4122, 1.52768, 0.929852, 0.951155
0.427746, 0.292241, 0.497428, 0.851856
0.380398, 1.25779, 0.549835, 1.14875
0.854312, 0.372219, 1.28811, 0.949223
1.6113, 0.624655, 0.867051, 1.08418
0.192732, 2.27978, 1.57279, 0.988013
0.349969, 0.104871, 0.681139, 0.915927
0.778588, 1.64489, 1.06967, 0.916431
0.266231, 2.11303, 0.889122, 1.16432
0.919593, 0.625201, 0.86067, 1.18259
0.00455349, 1.12018, 0.760026, 0.879655
0.262926, 0.844899, 0.976305, 0.929494
0.107872, 0.861537, 1.30643, 0.923894
0.243039, 0.805553, 1.05828, 0.951233
2.39326, 1.81603, 1.17209, 0.903638
2.15243, 0.346181, 1.25195, 0.969423
2.73714, 0.583211, 0.399348, 0.872477
0.00510389, 1.20449, 1.44389, 0.964253
1.83833, 2.56584, 1.35435, 0.930509
1.92558, 0.978855, 1.15962, 0.81646
1.9374, 1.02281, 0.572435, 1.07665
0.250034, 0.78971, 0.891272, 0.975563
0.250786, 1.04524, 1.49585, 1.00859
2.49123, 0.202723, 1.69295, 1.06142
2.05843, 1.05737, 0.701239, 0.946738
0.00645498, 0.244001, 0.645725, 0.92487
0.333554, 1.20681, 0.744044, 0.939836
1.47706, 0.815414, 0.849365, 1.02014
1.27279, 2.51138, 0.667997, 0.931474
0.624189, 1.02015, 0.890394, 0.825368
0.204018, 2.23085, 0.819752, 1.09544
0.00888929, 0.917325, 0.695726, 0.985544
1.27876, 2.19984, 1.18715, 0.976152
1.58779, 0.233449, 1.01774, 0.967297
0.078241, 2.02555, 0.745138, 1.13142
0.836159, 2.06548, 1.50669, 0.886718
0.130473, 1.66697, 0.961152, 0.927739
1.10326, 0.866685, 0.99229, 1.06186
0.283553, 0.480182, 0.558631, 0.862831
0.820462, 0.794059, 1.27127, 0.899987
1.0187, 1.7675, 1.17641, 1.10564
0.806021, 1.63451, 0.668623, 0.845837
0.9296, 1.2978, 0.797016, 1.08761
2.36394, 1.33026, 1.02014, 0.904383
1.86387, 0.828913, 1.046, 1.02958
0.223376, 1.14986, 1.37096, 0.977847
1.20273, 0.866221, 0.854495, 0.915383
1.05299, 2.05861, 1.08237, 0.953424
0.214203, 0.441733, 0.777909, 0.954454
0.826507, 1.0115, 0.968311, 0.883512
0.446212, 0.711151, 0.65754, 1.03943
1.77924, 0.352506, 1.35689, 0.967354
0.868087, 0.97455, 0.907881, 0.997875
1.02163, 0.25425, 0.874716, 1.2445
0.352209, 2.41022, 1.15714, 0.905267
0.378048, 0.327503, 1.13901, 1.04122
0.526691, 1.10896, 1.04965, 1.13788
0.122909, 0.872201, 0.931957, 0.946369
0.85941, 1.25806, 0.982828, 1.21077
1.5563, 0.435002, 0.878954, 0.993334
0.00239273, 0.179594, 0.950382, 1.07638
0.098753, 0.783293, 1.1739, 1.2328
0.159839, 0.343109, 0.808208, 1.0648
0.0441944, 1.63617, 1.22418, 1.06562
0.430199, 0.609123, 0.649126, 0.958205
0.492509, 1.61799, 1.55077, 1.02115
0.177712, 1.81636, 1.13334, 1.07585
0.412095, 1.14997, 0.831231, 0.870667
1.30532, 1.12356, 0.754794, 1.1697
1.77627, 0.981422, 0.598912, 0.863705
3.31654, 0.922317, 1.51736, 0.983349
0.0303265, 1.45742, 1.49496, 0.947835
0.474927, 0.366546, 0.704793, 0.996069
0.128923, 2.4623, 0.866472, 0.885533
1.19329, 1.21087, 0.742407, 1.14983
0.0639717, 0.225938, 1.69781, 0.971249
1.19096, 0.918733, 0.858285, 0.775784
0.607561, 1.4831, 0.735764, 1.14405
1.08162, 0.790806, 0.819001, 1.01283
0.593588, 0.645762, 0.644255, 0.942407
0.41298, 0.600437, 0.851491, 0.967683
0.05556, 0.280691, 1.29289, 1.01218
2.23512, 0.403216, 0.825832, 1.01471
1.43437, 0.534502, 0.827019, 0.86309
2.64913, 2.13726, 0.892573, 1.07694
2.55623, 1.69756, 1.0739, 1.00541
0.0410633, 0.352957, 1.04636, 0.998839
1.73465, 0.271086, 1.02782, 1.11205
0.237762, 0.587906, 0.935432, 1.02451
1.01449, 3.0708, 1.12313, 0.903014
0.35591, 0.775658, 0.946191, 1.08859
0.598935, 0.919177, 1.51502, 1.05666
0.620093, 0.327208, 1.09255, 1.13441
0.225707, 0.681836, 2.01498, 1.05493
1.63978, 0.741308, 0.767685, 1.03413
0.297313, 0.917219, 0.856967, 1.11876
0.72544, 1.06266, 1.46183, 0.944833
0.658806, 0.629761, 0.623391, 1.17064
0.203654, 0.757239, 0.687429, 1.09115
0.114561, 1.55617, 0.940327, 0.955261
0.275501, 0.327398, 1.18467, 0.973544
0.462735, 1.51755, 0.720888, 0.765896
0.763367, 0.316225, 0.524075, 0.883359
1.95801, 0.490511, 1.11512, 0.949961
1.17594, 0.207391, 1.9985, 0.995759
0.658863, 2.0671, 1.01617, 0.866668
0.860781, 0.463511, 0.860274, 0.950573
0.648055, 0.749871, 1.03409, 0.803965
0.285568, 1.43957, 0.891179, 1.10789
0.340437, 0.990295, 0.893024, 0.818532
0.446008, 0.516685, 0.838714, 0.829368
0.424248, 2.21039, 0.827501, 1.17916
0.0225661, 1.06593, 1.02539, 1.16491
0.461882, 2.35412, 0.846303, 0.982729
0.285781, 1.22035, 0.965718, 0.912051
0.645003, 0.976264, 0.910083, 0.997939
1.56419, 0.473754, 1.0012, 0.942703
1.98318, 0.958909, 0.645829, 0.930248
0.146656, 0.848128, 1.38933, 0.923012
0.271992, 0.724613, 0.678551, 1.04434
0.297599, 0.954719, 1.15028, 1.06391
1.53504, 0.109832, 0.41081, 0.99444
0.0406629, 2.51622, 1.39358, 1.02059
0.0235897, 1.71354, 0.801926, 0.927596
2.39401, 0.331326, 1.50171, 0.818551
0.157924, 0.68178, 0.954022, 1.04592
0.896505, 0.061433, 0.954241, 0.941769
0.768699, 1.68646, 0.789946, 0.747918
0.0245671, 0.123136, 0.841861, 1.07791
1.08545, 1.40108, 0.571826, 1.05531
0.514964, 0.825459, 0.786244, 0.884764
0.261342, 0.225624, 0.891682, 0.838765
0.242278, 0.350312, 1.01912, 1.10054
0.293164, 1.01969, 0.984934, 0.896903
0.980792, 0.0380928, 0.605425, 0.901676
0.146252, 0.52782, 0.792908, 0.895304
0.45735, 0.787299, 1.02886, 0.818601
2.59432, 0.662385, 1.30571, 0.990282
0.299672, 1.44313, 0.986096, 0.865023
4.92604, 2.59096, 1.07579, 1.11692
0.105759, 0.42708, 1.18505, 0.990824
0.212026, 0.820513, 0.823433, 0.938838
0.327711, 2.04228, 1.72604, 0.837642
0.807218, 0.447409, 0.83015, 1.1292
0.348209, 0.817152, 0.980023, 0.895901
0.0728272, 0.744729, 1.0176, 1.19228
0.456996, 0.589008, 0.904803, 0.869223
0.0924199, 1.37271, 1.32614, 0.958104
0.23655, 0.76313, 1.20826, 1.0681
0.340482, 2.27267, 0.559736, 0.922235
0.189288, 2.45474, 1.11678, 0.831959
1.55323, 0.223232, 1.96657, 0.844364
0.0891678, 0.63414, 0.919406, 1.07788
0.349981, 0.896961, 1.66654, 1.04943
0.28567, 0.969493, 1.12224, 1.16725
1.64613, 0.285007, 1.3328, 1.03498
0.469293, 0.293343, 1.2544, 0.993856
3.10646, 2.32558, 1.00737, 1.00192
0.199175, 4.82758, 1.0542, 1.00048
0.398988, 0.542094, 1.82039, 0.875951
0.339578, 0.798266, 1.34493, 1.00659
0.352567, 1.51831, 0.603559, 0.920403
0.583461, 0.353717, 1.25865, 1.02397
0.0968898, 0.664637, 0.76902, 0.952753
1.33106, 1.83425, 0.762677, 1.05667
2.31699, 2.1043, 0.804904, 0.994558
0.0432361, 0.814317, 0.891778, 1.00993
0.604621, 0.583409, 1.1062, 1.11491
1.70219, 1.08657, 0.78884, 1.06515
1.55937, 1.19809, 0.415164, 0.874057
0.407858, 0.314545, 1.24005, 1.04232
4.27729, 2.05582, 0.821402, 0.973881
1.38183, 0.431774, 1.24009, 1.04431
2.2353, 1.90579, 1.13957, 1.01825
0.217869, 1.5842, 1.81407, 0.729431
0.0216489, 0.506215, 1.48074, 0.939523
0.490957, 0.926505, 1.33029, 0.99742
0.174847, 0.954246, 0.930796, 0.984451
0.174786, 0.459917, 0.906309, 0.839708
3.72849, 0.905486, 1.12071, 1.02881
2.31799, 0.551092, 0.865738, 1.14557
0.542008, 0.473098, 0.585967, 1.0809
1.03732, 0.505351, 1.52899, 0.956954
3.33772, 1.03089, 0.997577, 1.0787
0.920496, 0.273614, 1.05163, 0.802059
0.645621, 1.39638, 0.726469, 0.961283
2.01778, 1.53784, 0.618413, 0.921016
0.792389, 0.733033, 1.14023, 0.959159
0.799209, 0.625738, 0.420887, 0.997062
0.545147, 2.61051, 0.931268, 0.8844
2.807, 1.31407, 1.11996, 1.21418
0.991753, 1.10751, 0.930686, 1.07764
0.637296, 1.39039, 1.68267, 1.03892
0.338238, 0.862369, 1.04895, 1.0213
0.72668, 0.643821, 0.962578, 1.01418
2.42206, 0.205687, 0.636465, 0.965875
0.0935518, 0.84515, 0.817367, 1.00943
0.596404, 0.713458, 0.630518, 0.967238
0.572526, 0.84429, 0.780489, 1.05863
4.27271, 0.590465, 1.08104, 0.96435
2.03905, 0.802601, 1.25321, 1.04299
0.446106, 0.43853, 0.999514, 1.0161
0.961773, 0.632645, 0.875855, 1.1157
0.638831, 1.13319, 1.21786, 1.01841
1.70563, 0.443831, 1.01808, 0.988316
0.273186, 0.362605, 1.00476, 0.817026
3.05416, 1.15544, 1.37869, 0.968388
0.79961, 0.850773, 1.00274, 0.956885
0.636793, 0.453882, 1.00338, 1.13685
0.823425, 0.470214, 0.520939, 0.897586
0.475286, 0.412755, 1.37791, 1.00783
