N=1, N=2, N=10, N=100
0.246679, 0.195145, 0.522082, -0.0581867
-0.789562, -0.936266, 0.28659, 0.014083
-1.02473, -0.435922, 0.272226, -0.0875585
1.33995, -0.0534767, -0.0512688, 0.0701938
1.2108, -0.509945, -0.409462, -0.134254
0.498734, 0.787273, -0.118133, -0.0192484
1.71469, 0.341691, 0.192638, -0.139437
-0.545337, -1.3061, -0.171349, -0.0285754
-0.775885, -0.175854, -0.31765, 0.0444287
-0.161892, 0.134448, 0.26066, 0.11717
0.0106883, -0.958375, 0.480317, 0.115655
0.254164, -0.188289, -0.370691, 0.0907899
0.0442916, 0.0475332, -0.126309, 0.175132
-1.14142, 0.149359, -0.24567, 0.0740254
0.0520402, 0.116148, -0.0480391, 0.127134
-0.972804, -0.651221, 0.219074, -0.214116
-1.21179, 0.379293, 0.214487, 0.0285037
0.226037, -0.230602, -0.326339, -0.0621042
0.0589996, 0.0196148, 0.016934, 0.0407373
1.16685, -0.552174, -0.0790258, 0.0382523
-1.03741, 0.42482, 0.154866, 0.194675
0.327158, -0.260202, 0.266897, -0.0218436
1.22843, -0.214918, 0.155029, -0.0420454
-0.215811, -1.04568, 0.0350423, -0.174658
0.70318, 0.696516, 0.314036, -0.212213
-0.315304, -0.0274386, -0.492948, 0.105133
1.67413, 1.05484, 0.00336742, -0.0394033
0.715586, 0.570363, -0.37204, 0.0105354
2.08318, 0.163258, -0.262773, 0.0227497
1.8204, 1.70955, -0.291306, 0.118175
0.506016, -1.18079, 0.116362, 0.134684
1.20684, 0.928428, -0.21759, 0.068812
-2.34309, -0.744545, -0.446037, -0.00395932
-0.00684595, -0.856993, 0.434936, 0.0345195
-0.249711, -0.0654035, -0.375029, -0.0410057
1.1454, -1.14967, -0.252816, 0.0378176
0.690915, -0.214734, -0.627836, -0.109208
-0.469883, -0.527687, -0.27342, 0.172831
0.491787, 0.347115, 0.404691, -0.199985
1.41709, -1.11269, -0.214148, 0.0386453
0.363485, 0.654131, -0.286317, -0.166732
-1.06663, -1.19168, 0.0233327, 0.0742665
0.36238, -0.82527, 0.457093, 0.0666264
1.37876, 1.36128, -0.374676, -0.0041412
-0.469295, 1.05022, 0.0708915, 0.0296483
-1.62165, 0.18917, -0.445928, 0.00780703
1.05433, 0.528355, -0.0868593, -0.0136161
-1.90687, -0.806423, 0.00117831, 0.0720722
0.794469, 1.02724, 0.109748, -0.163129
0.898787, -0.148807, -0.119561, 0.0444341
0.746882, -0.413332, -0.322669, -0.0440733
2.1956, 0.913591, -0.0545309, -0.0451614
-0.519342, -0.289892, -0.197473, -0.201192
1.74095, -1.12373, 0.130754, 0.218138
1.21088, -0.89252, -0.235743, -0.0621157
1.00586, 0.971993, 0.248935, 0.0260614
0.482629, -0.118793, 0.0550793, 0.153141
1.07167, -1.00444, 0.249858, -0.0725038
-0.949625, 1.90397, 0.0950206, 0.0690832
1.46985, 0.735518, 0.117264, 0.0103708
0.0576649, 1.34684, -0.0200671, 0.0739222
-0.21529, 0.379705, 0.137835, -0.0232356
-0.692191, -0.0675206, -0.0993452, 0.0608933
1.90736, 0.109155, 0.256827, 0.0279657
0.301282, -0.172482, -0.132942, -0.0370253
0.380461, 0.188779, 0.106685, 0.281036
1.37551, -0.284031, 0.1939, -0.0218608
0.382385, -0.667552, -0.0810981, 0.229169
0.994989, -0.328534, 0.0587491, -0.130785
2.12116, -1.25196, -0.0364644, 0.0286368
-0.0493428, -0.024103, 0.0971092, -0.138026
-0.956604, 0.89697, 0.103116, -0.0901419
-1.13248, 0.607004, -0.95734, 0.109027
-0.0354473, -0.506377, 0.187142, 0.100952
0.238009, 1.47635, -0.247281, -0.12728
-0.116503, 0.0198891, 0.385117, 0.14838
0.567568, -0.0631077, 0.0622019, 0.160892
0.164231, 0.813092, 0.116129, 0.152663
2.50617, -1.09703, -0.429755, -0.0213469
-0.193076, 0.652199, 0.121056, 0.0180992
