N=1, N=2, N=10, N=100
-0.402611, -3.79562, -2.7803, 3.20526
0.61795, -0.413305, 0.354785, -0.443304
-1.39386, 0.0825285, -0.378273, -5.26575
-9.64104, 1.5995, -0.223317, 1.26306
0.110952, -1.76638, -1.10439, -0.826197
-0.426009, 5.72833, -1.05268, -0.200651
-2.40103, 0.450247, -1.2838, -4.00475
1.0445, -1.9954, 50.3487, -0.512435
0.821728, -0.0100103, -1.49744, 0.0242091
0.436553, -5.73091, -0.0552318, -0.576056
8.59202, 0.568815, -0.524796, -3.60316
-0.277061, -3.07603, 0.630867, -0.668673
-1.86156, -0.530542, 12.4237, -1.17756
2.53652, 2.02497, -0.389947, -1.09113
-1.49286, -0.285156, 0.823172, 1.37952
-0.0180533, 1.07936, -0.35069, -1.53734
0.362672, 4.12247, 2.95193, 0.353114
3.93845, -9.21933, -7.23517, -4.15404
1.18825, -0.722888, -6.94533, 0.452801
0.55625, 0.783191, 0.307714, -0.277738
-1.3241, -0.0596159, 10.7037, 220.911
0.477795, 0.421267, -1.19927, 0.218301
0.659402, -0.982382, -0.870714, 0.140631
-1.57207, 1.88756, 3.0128, -11.147
0.707212, -0.60285, 1.77894, 1.35258
1.86869, -0.605354, 0.219737, -0.309586
-0.494957, 1.18337, -2.83206, -0.974724
2.65666, -0.672706, -2.81772, 1.04644
-1.04169, 3.962, 0.312897, 0.420291
-0.638049, 0.77648, 0.695585, 2.21786
-0.353279, 26.7825, 1.46283, -1.21109
-0.242781, 1.81038, -0.375269, 0.320055
5.51888, 0.0412441, 10.1336, -0.430096
0.090158, -0.582306, -4.21127, 5.02982
-0.577518, 0.563479, 0.476475, 0.149329
-5.93931, -7.40843, 0.0824399, 2.73176
-4.9464, 2.71054, -4.64106, -2.24874
-2.92249, -1.01582, 3.06202, 0.913954
16.8638, -1.85071, 1.7105, -0.262807
-0.963688, 0.0194554, 0.812082, -2.83028
-0.14266, -16.6805, -2.54916, 0.709297
9.44606, 0.147605, -1.06798, -1.31941
-3.3897, -0.580581, 2.8797, -6.42094
0.130153, -0.370842, -0.797509, -0.684374
-0.0441637, 0.258994, -0.604512, 9.06017
0.147196, -1.07449, 20.9218, 0.703454
-3.14017, 0.0522762, 1.40535, -6.88896
0.377321, 3.07016, 0.286707, 0.152429
-1.44359, 0.892812, 0.0311532, -4.84089
-0.246893, 3.85721, -3.8869, -0.73608
-0.482859, 0.219512, 36.2898, -0.262938
1.57246, -0.823138, -58.1205, -1.5212
0.209945, -3.60403, 3.54157, 4.01344
6.77446, -0.862763, 2.35444, -0.238847
-0.33394, -0.179229, 1.13834, -3.29001
-0.422958, -0.580768, -16.3725, -0.420664
1.64606, -0.66444, 2.12816, -15.7283
-1.77612, 1.434, 1.72952, -0.709176
-0.589329, 1.21469, 4.9292, 0.624084
-5.95773, -0.43671, -0.662675, 0.37635
0.0569152, 2.30578, -1.25062, -0.329065
0.166912, 1.25412, -7.05088, 0.342313
0.268143, 4.37536, 0.0921791, -3.53843
-2.37129, -0.407859, -7.13804, 1.27716
1.41546, 9.47417, -0.772792, -0.199429
-0.396531, 1.87675, 0.70333, 9.47447
-0.955902, -0.545804, 0.392474, 1.76327
-0.266654, 1.56321, -0.454547, -0.446366
0.713134, -1.07458, -0.0792288, 1.01496
1.01086, -2.71267, 0.112103, -2.08724
0.553602, 0.362899, 1.17305, 0.535136
-0.0297262, 7.06777, 0.102037, -0.132858
-0.207873, -10.8842, 0.14328, 0.612659
-2.314, 2.00628, -0.331855, 0.0833977
47.0636, 0.64675, -0.985157, -0.166345
-0.362289, -0.326351, -0.425595, 8.20353
1.58186, 1.57578, -5.14777, -0.916736
35.2945, -1.92094, -0.15577, -1.68308
-3.22094, 346.521, 8.09792, 5.57938
0.0632195, -0.722338, -15.5315, 1.26048
-0.914589, 0.0504067, -0.384603, 0.365897
4.44222, 0.430122, 0.976969, 5.92836
-55.1011, -1.48617, 1.40796, 0.554027
-1.85387, 2.99815, -13.9832, -48.5229
-0.799761, -0.0801044, 42.8588, -0.324925
0.917997, 1.63582, 0.842622, -0.722227
-0.36949, -0.101771, 1.94934, -0.258162
-0.744189, 0.674027, -0.177474, -4.77602
-0.438198, 1.47152, 0.188228, -1.26447
-0.192624, -0.952856, -0.124556, -0.795825
-0.160245, -1.13318, 3.51819, 0.582753
0.418192, -0.860346, 0.0451659, -0.894577
3.19782, 0.596045, -16.6604, 0.102971
-1.79064, 0.216221, 0.00889354, -2.18089
0.593985, 0.320827, -0.412768, -4.13596
-0.127784, -0.0117295, 1.04148, 0.627622
-0.73365, -0.600881, 7.96111, 0.430929
-0.348904, 0.399839, -1.23396, 0.395484
-0.0376333, 2.07664, -0.8026, -0.779498
-0.897294, -1.55, -16.4729, -0.404063
0.586907, -0.0869524, 2.82539, -0.528839
-23.5645, 3.01747, 5.05707, -0.648981
-0.346885, -2.88231, 0.115285, 1.24108
0.971026, -3.94652, -0.926091, 0.693695
-0.456839, -2.8796, -0.66725, 1.21839
0.260298, 3.2659, 0.00640562, 0.0396739
2.16958, -0.170339, 0.898865, 1.26597
-0.914754, 1.57682, -0.85358, -0.491229
-0.908037, 1.78597, 88.6559, 3.7636
-18.0845, 0.388481, 4.65142, 17.3338
2.04498, -8.68477, 23.3557, 0.143394
-1.07961, 0.385005, 4.6925, 2.25112
0.708761, 0.204715, -1.95133, -0.585951
-0.743857, 0.847264, -4.03956, -1.03653
2.00505, -0.209771, -1.03584, 1.42704
-7.41785, 1.01094, 0.388479, 0.0278189
5.41907, 12.6596, 0.80714, 6.93288
-14.0208, -0.611924, -0.668106, 4.02492
-0.190023, -0.115294, 0.485649, 1.35793
-1.70949, 1.63046, -2.62875, 13.0718
-2.88263, 0.187288, 0.757365, -2.29316
-1.53244, 2.73015, -0.296394, -7.58307
-1.06568, 7.50239, 0.602645, -37.3751
-0.461492, -64.115, 0.985344, 0.12631
-2.97281, 0.384736, -6.52807, 1.08916
1.38043, 4.61844, -0.537455, -1.12457
1.05367, 1.09869, -0.298541, -1.09611
0.462924, -1.27517, -31.858, 1.52503
-2.64214, -1.11417, -4.89296, -1.27864
3.16556, 0.219535, -0.491274, 0.352116
0.501595, -0.825988, -0.583911, -4.74803
0.548543, -0.549691, 1.84315, 0.185364
-0.000618475, 0.56661, -0.760625, 0.425242
-2.23765, -0.377968, 2.36179, 0.375971
0.206347, 0.631616, -1.32919, 3.50431
0.41487, 0.709547, 0.250632, -5.91108
1.03029, 0.136328, -0.107746, -0.233417
-0.256538, -1.16125, 0.11001, 1.89898
0.862135, -0.840519, -2.37011, 1.08412
-0.787496, 0.61189, 0.892252, 0.171864
-0.97838, 0.387163, 0.216735, 0.138163
-0.190975, -30.8511, -0.720559, -6.63156
-0.565371, -1.85673, -0.332083, 0.733779
-4.46848, 0.623261, -4.59839, -1.25717
0.824969, -0.438148, -1.81978, 0.33955
-2.86542, 2.65608, 0.0720209, -0.0140148
-9.73814, -3.46011, -2.2535, 0.547614
0.686594, -2.27432, 2.4918, 0.0933601
-2.60305, -0.719258, 0.983568, -28.1784
0.961744, -6.3581, 3.07322, -0.110759
0.61241, 0.176011, 0.0965204, -0.259705
0.636946, 0.648503, -0.916684, -0.0350803
-0.82196, 2.64508, -1.07917, 0.145292
-4.14067, -2.50575, 0.197534, 3.42073
-1.56184, -12.1704, 0.432636, 0.630728
-0.364789, -0.753272, 0.202731, 1.61592
-0.566561, 0.592526, 0.8744, -0.265929
-0.646664, 0.0405061, -0.0383517, -0.0818757
-0.586272, -1.27013, -0.365283, 2.11441
-0.292264, -0.716121, -1.33787, 4.09255
-149.614, 0.389862, 0.632558, 2.1827
-0.208959, -5.97757, 0.899412, -0.362528
1.99412, -1.06887, -0.571157, -7.2385
2.74925, -1.19936, -0.912312, 0.205904
-0.836187, -0.0175134, -0.415428, -0.276827
0.944296, 2.01826, 0.91093, 4.23603
0.19401, 0.00949363, -0.887657, -0.122954
-0.788547, 31.607, -0.758128, 2.94661
0.911991, -2.97841, 0.375207, -0.593904
-0.798856, 0.265553, 1.44254, -4.34479
0.24102, -0.675235, 0.0606081, -6.21204
-0.336154, -2.82573, 0.234363, 0.0956022
0.262765, -0.217827, 2.78624, 0.94662
0.0627714, -6.05703, 0.613113, 0.0941146
1.1759, 2.44217, 3.31749, -2.52349
-0.102045, 0.0526894, -1.89213, -22.7392
