throws, sum_prog, err_prog
3000, 2.93719, 0
6000, 2.97012, 5.85256
9000, 2.99178, 4.21481
12000, 3.01356, 3.50488
15000, 3.02851, 3.0732
18000, 3.03457, 2.76232
21000, 3.03733, 2.52723
24000, 3.03848, 2.34186
27000, 3.04042, 2.19401
30000, 3.04284, 2.07259
33000, 3.04535, 1.97025
36000, 3.04726, 1.88146
39000, 3.04856, 1.80324
42000, 3.04971, 1.7341
45000, 3.05059, 1.67219
48000, 3.05135, 1.61648
51000, 3.05202, 1.56599
54000, 3.05271, 1.52007
57000, 3.05338, 1.47804
60000, 3.05385, 1.43916
63000, 3.05419, 1.40309
66000, 3.05441, 1.36952
69000, 3.05463, 1.33827
72000, 3.055, 1.30924
75000, 3.0554, 1.28208
78000, 3.05579, 1.25657
81000, 3.05612, 1.2325
84000, 3.05661, 1.20994
87000, 3.05722, 1.18872
90000, 3.05768, 1.16847
93000, 3.05812, 1.14925
96000, 3.05848, 1.13088
99000, 3.05876, 1.11332
102000, 3.059, 1.09653
105000, 3.05925, 1.0805
108000, 3.05951, 1.06518
111000, 3.05977, 1.0505
114000, 3.06001, 1.03641
117000, 3.06024, 1.02287
120000, 3.06051, 1.00989
123000, 3.06075, 0.99738
126000, 3.06099, 0.985333
129000, 3.0612, 0.973691
132000, 3.06138, 0.962443
135000, 3.06152, 0.951553
138000, 3.0617, 0.941053
141000, 3.06185, 0.930883
144000, 3.06198, 0.921024
147000, 3.06215, 0.911501
150000, 3.06231, 0.902271
153000, 3.06253, 0.893357
156000, 3.06276, 0.88472
159000, 3.06298, 0.876332
162000, 3.0632, 0.868175
165000, 3.06341, 0.860244
168000, 3.06363, 0.852541
171000, 3.06383, 0.845031
174000, 3.06401, 0.837708
177000, 3.06418, 0.830571
180000, 3.06436, 0.823616
183000, 3.06449, 0.816814
186000, 3.06462, 0.810177
189000, 3.06476, 0.803706
192000, 3.06491, 0.797395
195000, 3.06505, 0.791229
198000, 3.06517, 0.785196
201000, 3.06528, 0.779296
204000, 3.0654, 0.77353
207000, 3.06551, 0.767894
210000, 3.06561, 0.762371
213000, 3.06571, 0.756963
216000, 3.06582, 0.751683
219000, 3.06593, 0.74651
222000, 3.06604, 0.741442
225000, 3.06616, 0.736486
228000, 3.06628, 0.731633
231000, 3.06642, 0.726883
234000, 3.06655, 0.722224
237000, 3.06668, 0.717655
240000, 3.0668, 0.71317
243000, 3.06691, 0.708762
246000, 3.06701, 0.704428
249000, 3.06709, 0.700165
252000, 3.06717, 0.695976
255000, 3.06725, 0.691867
258000, 3.06735, 0.68784
261000, 3.06744, 0.683881
264000, 3.06753, 0.679986
267000, 3.06761, 0.676157
270000, 3.06768, 0.672384
273000, 3.06775, 0.668676
276000, 3.06781, 0.665024
279000, 3.06786, 0.661425
282000, 3.06791, 0.657886
285000, 3.06797, 0.654409
288000, 3.06802, 0.650982
291000, 3.06807, 0.64761
294000, 3.06812, 0.644291
297000, 3.06817, 0.641021
300000, 3.06823, 0.637801
