           Best Path              City X              City Y                  ID
                  10             6.03655             4.77294                   0
                   3              20.248             1.92651                   1
                   5             11.9974             9.80575                   2
                  29             29.5938             10.2969                   3
                   9             13.1066            0.860883                   4
                  12              25.373             15.7939                   5
                  21             17.2807             25.6111                   6
                  17               21.05             25.4417                   7
                   7             8.39834             28.0961                   8
                   6             28.5534             27.7564                   9
                  16             26.4577             8.71259                  10
                   2             23.4577            0.334324                  11
                  22             24.9068             25.8345                  12
                  28             22.1583             4.34322                  13
                  19             7.81301             25.7011                  14
                  23              16.434             2.64335                  15
                  14             17.6371             18.7088                  16
                   8             21.1376             28.3547                  17
                  26             10.2491             22.8013                  18
                  25             1.18248             18.3843                  19
                  18             6.39395             14.8886                  20
                  20              25.155             29.7693                  21
                   0             1.69708             2.33454                  22
                   4              2.6073             27.7626                  23
                  15             23.7917             3.26673                  24
                   1               10.39             24.5416                  25
                  13             13.2462              28.099                  26
                  24             27.4844             1.47475                  27
                  11             2.33763             8.08636                  28
                  27             27.0713             20.3063                  29
