           Iteration         Path Length         Temperature
                   0             1143.67                  90
                 100             878.858               89.85
                 200             1041.35                89.7
                 300             1165.06               89.55
                 400             1011.31                89.4
                 500              970.21               89.25
                 600             926.897                89.1
                 700             896.068               88.95
                 800             1031.65                88.8
                 900             1047.15               88.65
                1000             979.756                88.5
                1100             929.153               88.35
                1200             1004.74                88.2
                1300             1027.75               88.05
                1400             1068.55                87.9
                1500             951.749               87.75
                1600             961.567                87.6
                1700             1020.98               87.45
                1800             1113.84                87.3
                1900             1036.54               87.15
                2000             1149.16                  87
                2100             1014.77               86.85
                2200             921.756                86.7
                2300             1217.28               86.55
                2400              1170.9                86.4
                2500             933.143               86.25
                2600             891.437                86.1
                2700             1060.19               85.95
                2800             1016.63                85.8
                2900             1100.13               85.65
                3000             892.234                85.5
                3100             901.713               85.35
                3200             938.988                85.2
                3300             976.793               85.05
                3400             1108.58                84.9
                3500             1102.17               84.75
                3600             992.336                84.6
                3700             1107.45               84.45
                3800             930.527                84.3
                3900             1144.69               84.15
                4000             873.934                  84
                4100             1063.71               83.85
                4200             1056.15                83.7
                4300             1103.16               83.55
                4400             1160.18                83.4
                4500              1044.2               83.25
                4600              1141.6                83.1
                4700             1108.71               82.95
                4800              1087.1                82.8
                4900             1028.97               82.65
                5000             1108.56                82.5
                5100              1037.3               82.35
                5200             1018.58                82.2
                5300             1075.21               82.05
                5400             1074.38                81.9
                5500             1064.75               81.75
                5600             955.135                81.6
                5700             1109.67               81.45
                5800             1047.58                81.3
                5900             1212.25               81.15
                6000             1110.77                  81
                6100             948.718               80.85
                6200             1001.35                80.7
                6300             1086.62               80.55
                6400              1120.2                80.4
                6500              1140.2               80.25
                6600             1044.68                80.1
                6700             955.199               79.95
                6800             1052.64                79.8
                6900             1037.07               79.65
                7000             1089.26                79.5
                7100             955.961               79.35
                7200             1084.53                79.2
                7300             820.196               79.05
                7400               951.3                78.9
                7500             1130.77               78.75
                7600             1085.97                78.6
                7700             1131.44               78.45
                7800             868.587                78.3
                7900             921.433               78.15
                8000              913.92                  78
                8100             1036.08               77.85
                8200             1150.57                77.7
