           Iteration         Path Length         Temperature
                   0             1100.14                  90
                 100             1110.93               89.85
                 200             1018.15                89.7
                 300             921.107               89.55
                 400             1043.95                89.4
                 500             920.993               89.25
                 600             1263.38                89.1
                 700             1039.16               88.95
                 800             1091.43                88.8
                 900             842.558               88.65
                1000             942.288                88.5
                1100             1040.41               88.35
                1200             892.132                88.2
                1300             1171.66               88.05
                1400             751.751                87.9
                1500             984.065               87.75
                1600             1051.73                87.6
                1700             975.876               87.45
                1800             1052.63                87.3
                1900             1062.35               87.15
                2000               975.7                  87
                2100             956.003               86.85
                2200             1169.02                86.7
                2300             955.425               86.55
                2400             967.412                86.4
                2500             1116.83               86.25
                2600             1143.36                86.1
                2700             989.517               85.95
                2800             1045.14                85.8
                2900              932.72               85.65
                3000             1132.08                85.5
                3100             1093.27               85.35
                3200             1030.08                85.2
                3300             982.941               85.05
                3400             1059.22                84.9
                3500             1047.43               84.75
                3600             870.954                84.6
                3700              933.86               84.45
                3800             1108.06                84.3
                3900              1086.9               84.15
                4000             973.208                  84
                4100             1004.84               83.85
                4200             1158.12                83.7
                4300             1167.38               83.55
                4400             1004.31                83.4
                4500             1107.89               83.25
                4600             1082.97                83.1
                4700             1119.12               82.95
                4800             938.314                82.8
                4900             1027.07               82.65
                5000             994.363                82.5
                5100             1187.74               82.35
                5200             988.648                82.2
                5300             962.093               82.05
                5400             1062.35                81.9
                5500             929.737               81.75
                5600             1181.62                81.6
                5700             1166.85               81.45
                5800             1089.01                81.3
                5900             1026.16               81.15
                6000             949.193                  81
                6100             939.756               80.85
                6200             1087.67                80.7
                6300             1009.02               80.55
                6400             1118.49                80.4
                6500             990.648               80.25
                6600             859.058                80.1
                6700             1084.64               79.95
                6800             873.033                79.8
                6900             1082.68               79.65
                7000             1018.41                79.5
                7100             963.427               79.35
                7200             1123.08                79.2
                7300             1128.89               79.05
                7400             1051.96                78.9
                7500             975.185               78.75
                7600             934.869                78.6
                7700             939.299               78.45
                7800             923.123                78.3
                7900             877.698               78.15
                8000             809.344                  78
                8100             726.554               77.85
                8200             824.498                77.7
                8300             1223.41               77.55
                8400             1206.55                77.4
                8500             1086.55               77.25
                8600             1070.08                77.1
                8700             1038.95               76.95
                8800             1037.07                76.8
                8900                1027               76.65
                9000             902.356                76.5
                9100             1036.95               76.35
                9200             1004.83                76.2
                9300             972.045               76.05
                9400             934.536                75.9
                9500             1183.01               75.75
                9600             1096.75                75.6
                9700             1108.03               75.45
                9800             1206.06                75.3
                9900             917.014               75.15
               10000             1129.92                  75
               10100             900.076               74.85
               10200             1048.66                74.7
               10300             902.227               74.55
               10400             1074.89                74.4
               10500             1120.31               74.25
               10600             983.809                74.1
               10700             926.941               73.95
               10800             952.394                73.8
               10900             876.785               73.65
               11000             1111.26                73.5
               11100             1097.26               73.35
               11200             1104.71                73.2
               11300             920.359               73.05
               11400             1122.69                72.9
               11500             1039.06               72.75
               11600             1050.79                72.6
               11700             865.906               72.45
               11800             1126.09                72.3
               11900             925.178               72.15
               12000             990.251                  72
               12100             1027.38               71.85
               12200             863.233                71.7
               12300             934.274               71.55
               12400             860.478                71.4
               12500             1037.95               71.25
               12600             1057.84                71.1
               12700             1091.74               70.95
               12800             1247.59                70.8
               12900             1106.19               70.65
               13000             973.854                70.5
               13100             1122.69               70.35
               13200             1040.83                70.2
               13300             1028.98               70.05
               13400             1085.35                69.9
               13500             962.834               69.75
               13600             1022.92                69.6
               13700             885.623               69.45
               13800             975.045                69.3
               13900             944.889               69.15
               14000             1040.04                  69
               14100             1056.52               68.85
               14200              958.11                68.7
               14300             1044.39               68.55
               14400             1065.04                68.4
               14500             1244.45               68.25
               14600             1044.24                68.1
               14700             867.426               67.95
               14800             1150.48                67.8
               14900             1022.82               67.65
               15000             1134.44                67.5
               15100             997.447               67.35
               15200              1144.2                67.2
               15300             1213.78               67.05
               15400             1166.44                66.9
               15500             940.047               66.75
               15600             1048.45                66.6
               15700             972.497               66.45
               15800              861.97                66.3
               15900             837.214               66.15
               16000             910.053                  66
               16100             801.943               65.85
               16200             925.911                65.7
               16300             1201.34               65.55
               16400             978.844                65.4
               16500             847.528               65.25
               16600             997.777                65.1
               16700             1058.12               64.95
               16800              1089.9                64.8
               16900             1012.92               64.65
               17000              790.18                64.5
               17100              1054.3               64.35
               17200             929.008                64.2
               17300             874.303               64.05
               17400              874.22                63.9
               17500             885.319               63.75
               17600             1031.48                63.6
               17700             842.328               63.45
               17800             1013.01                63.3
               17900             1042.91               63.15
               18000             907.368                  63
               18100             1004.95               62.85
               18200             1126.65                62.7
               18300             978.895               62.55
               18400             1007.48                62.4
               18500             1013.49               62.25
               18600              794.91                62.1
               18700             925.247               61.95
               18800             1058.04                61.8
               18900             952.913               61.65
               19000             887.104                61.5
               19100              831.81               61.35
               19200             1073.88                61.2
               19300             988.443               61.05
               19400             786.677                60.9
               19500             1151.68               60.75
               19600             981.657                60.6
               19700             1189.24               60.45
               19800              898.41                60.3
               19900             1135.32               60.15
               20000             972.622                  60
               20100              948.72               59.85
               20200             975.639                59.7
               20300             1012.39               59.55
               20400             877.949                59.4
               20500             969.509               59.25
               20600             1068.07                59.1
               20700             1042.35               58.95
               20800             1010.45                58.8
               20900             1099.89               58.65
               21000             944.636                58.5
               21100             929.071               58.35
