           Iteration         Path Length         Temperature
                   0              559.58                  90
                 100             489.983               89.85
                 200             541.706                89.7
                 300             544.005               89.55
                 400             597.476                89.4
                 500             391.218               89.25
                 600              538.39                89.1
                 700             562.122               88.95
                 800             472.352                88.8
                 900             520.993               88.65
                1000             575.612                88.5
                1100             546.018               88.35
                1200             487.136                88.2
                1300             510.316               88.05
                1400             477.728                87.9
                1500             510.778               87.75
                1600             466.234                87.6
                1700               504.7               87.45
                1800             483.054                87.3
                1900             470.981               87.15
                2000             508.672                  87
                2100             480.223               86.85
                2200             499.959                86.7
                2300             523.082               86.55
                2400             509.342                86.4
                2500             552.095               86.25
                2600             467.681                86.1
                2700              495.13               85.95
                2800             579.636                85.8
                2900              579.58               85.65
                3000             459.384                85.5
                3100             519.334               85.35
                3200             523.237                85.2
                3300             485.662               85.05
                3400             546.456                84.9
                3500             554.299               84.75
                3600             525.878                84.6
                3700             503.883               84.45
                3800             576.498                84.3
                3900             536.253               84.15
                4000             474.898                  84
                4100             502.727               83.85
                4200              561.24                83.7
                4300             498.007               83.55
                4400             459.172                83.4
                4500             508.248               83.25
                4600             488.689                83.1
                4700             474.668               82.95
                4800             526.062                82.8
                4900             551.204               82.65
                5000             507.532                82.5
                5100             513.521               82.35
                5200             566.899                82.2
                5300              501.24               82.05
                5400             556.673                81.9
                5500             447.814               81.75
                5600             501.999                81.6
                5700             497.695               81.45
                5800               440.1                81.3
                5900             488.732               81.15
                6000             548.452                  81
                6100             551.151               80.85
                6200             520.872                80.7
                6300             520.502               80.55
                6400             503.063                80.4
                6500             522.738               80.25
                6600             500.412                80.1
                6700             482.151               79.95
                6800             496.301                79.8
                6900             459.938               79.65
                7000             473.701                79.5
                7100             509.369               79.35
                7200             520.065                79.2
                7300             477.709               79.05
                7400              468.46                78.9
                7500              563.28               78.75
                7600             484.523                78.6
                7700              515.76               78.45
                7800             413.466                78.3
                7900             506.446               78.15
                8000             527.617                  78
                8100             493.386               77.85
                8200             510.444                77.7
                8300             472.551               77.55
                8400             570.241                77.4
                8500              524.19               77.25
                8600             584.105                77.1
                8700             579.271               76.95
                8800             546.868                76.8
                8900             537.969               76.65
                9000             488.802                76.5
                9100             519.712               76.35
                9200             534.985                76.2
                9300             507.604               76.05
                9400              555.56                75.9
                9500             475.767               75.75
                9600             524.279                75.6
                9700             494.823               75.45
                9800             473.503                75.3
                9900             600.908               75.15
               10000             591.519                  75
               10100             557.229               74.85
               10200             547.875                74.7
               10300             515.664               74.55
               10400             523.159                74.4
               10500             548.653               74.25
               10600             536.445                74.1
               10700             478.262               73.95
               10800             518.639                73.8
               10900             546.746               73.65
               11000             459.821                73.5
               11100             615.834               73.35
               11200             435.331                73.2
               11300             442.191               73.05
               11400             539.661                72.9
               11500             539.909               72.75
               11600             504.523                72.6
               11700             502.707               72.45
               11800             551.311                72.3
               11900             469.102               72.15
               12000              529.66                  72
               12100             557.949               71.85
               12200             470.343                71.7
               12300             509.463               71.55
               12400             490.166                71.4
               12500              567.53               71.25
               12600             584.804                71.1
               12700              444.84               70.95
               12800             464.048                70.8
               12900             458.624               70.65
               13000             521.017                70.5
               13100             518.154               70.35
               13200             525.569                70.2
               13300              523.51               70.05
               13400             504.006                69.9
               13500             572.051               69.75
               13600             492.896                69.6
               13700             505.656               69.45
               13800              512.56                69.3
               13900             442.735               69.15
               14000             488.166                  69
               14100             527.639               68.85
               14200             496.549                68.7
               14300             504.035               68.55
               14400             459.444                68.4
               14500              580.35               68.25
               14600             509.296                68.1
               14700             535.153               67.95
               14800             453.525                67.8
               14900             541.044               67.65
               15000             505.959                67.5
               15100             464.475               67.35
               15200             544.812                67.2
               15300             519.741               67.05
               15400             546.319                66.9
               15500              455.94               66.75
               15600             420.931                66.6
               15700             514.128               66.45
               15800             518.117                66.3
               15900             598.567               66.15
               16000             491.581                  66
               16100             509.055               65.85
               16200              513.98                65.7
               16300             548.375               65.55
               16400             526.543                65.4
               16500             458.409               65.25
               16600              577.98                65.1
               16700             514.938               64.95
               16800             543.173                64.8
               16900             475.419               64.65
               17000             540.176                64.5
               17100             528.965               64.35
               17200             495.755                64.2
               17300             581.715               64.05
               17400             532.602                63.9
               17500              474.46               63.75
               17600             570.707                63.6
               17700             475.407               63.45
               17800              514.66                63.3
               17900             547.342               63.15
               18000             589.402                  63
               18100             464.418               62.85
               18200             480.569                62.7
               18300             494.394               62.55
               18400               483.1                62.4
               18500             515.899               62.25
               18600             472.537                62.1
               18700             558.049               61.95
               18800             527.226                61.8
               18900             581.304               61.65
               19000             519.688                61.5
               19100             519.611               61.35
               19200              498.78                61.2
               19300             479.327               61.05
               19400             490.448                60.9
               19500             569.484               60.75
               19600             473.686                60.6
               19700             473.864               60.45
               19800             475.417                60.3
               19900             473.535               60.15
               20000             479.331                  60
               20100             555.238               59.85
               20200             522.251                59.7
               20300             533.712               59.55
               20400             455.687                59.4
               20500             515.739               59.25
               20600             526.689                59.1
               20700             536.065               58.95
               20800             519.023                58.8
               20900             501.689               58.65
               21000             581.975                58.5
               21100             528.387               58.35
               21200             536.579                58.2
               21300             587.616               58.05
