           Iteration         Path Length         Temperature
                   0             560.866                  90
                 100             510.731               89.85
                 200             478.861                89.7
                 300              570.89               89.55
                 400             546.903                89.4
                 500             574.356               89.25
                 600             513.845                89.1
                 700             502.818               88.95
                 800             507.475                88.8
                 900             562.209               88.65
                1000             578.628                88.5
                1100             608.365               88.35
                1200             482.775                88.2
                1300              515.81               88.05
                1400             490.436                87.9
                1500             444.562               87.75
                1600             527.413                87.6
                1700             526.183               87.45
                1800             493.459                87.3
                1900             457.058               87.15
                2000             586.933                  87
                2100              542.79               86.85
                2200              449.52                86.7
                2300             563.039               86.55
                2400              568.49                86.4
                2500             493.908               86.25
                2600             455.083                86.1
                2700             500.381               85.95
                2800               513.6                85.8
                2900             503.641               85.65
                3000             607.992                85.5
                3100             577.274               85.35
                3200             473.366                85.2
                3300             488.537               85.05
                3400             520.791                84.9
                3500             467.361               84.75
                3600             528.668                84.6
                3700             510.892               84.45
                3800              497.34                84.3
                3900             481.014               84.15
                4000             530.835                  84
                4100             432.639               83.85
                4200             534.844                83.7
                4300             609.294               83.55
                4400             494.437                83.4
                4500             473.178               83.25
                4600             570.793                83.1
                4700             593.597               82.95
                4800             615.332                82.8
                4900             543.809               82.65
                5000             584.445                82.5
                5100             513.443               82.35
                5200             479.555                82.2
                5300             481.003               82.05
                5400             502.445                81.9
                5500             505.816               81.75
                5600             575.602                81.6
                5700             422.027               81.45
                5800             535.446                81.3
                5900             528.084               81.15
                6000             476.307                  81
                6100             428.232               80.85
                6200             525.139                80.7
                6300             611.545               80.55
                6400              519.91                80.4
                6500             520.257               80.25
                6600             451.439                80.1
                6700             496.092               79.95
                6800             503.001                79.8
                6900             588.951               79.65
                7000             563.204                79.5
                7100             601.188               79.35
                7200             558.381                79.2
                7300             553.394               79.05
                7400             602.683                78.9
                7500             482.355               78.75
                7600             549.976                78.6
                7700             540.805               78.45
                7800             537.999                78.3
                7900              512.28               78.15
                8000             438.476                  78
                8100             566.883               77.85
                8200             582.225                77.7
                8300             561.957               77.55
                8400             528.552                77.4
                8500             524.937               77.25
                8600              465.54                77.1
                8700             587.087               76.95
                8800              461.03                76.8
                8900             513.518               76.65
                9000              554.38                76.5
                9100             554.654               76.35
                9200             538.715                76.2
                9300             540.556               76.05
                9400             533.094                75.9
                9500             469.122               75.75
                9600             499.529                75.6
                9700             459.363               75.45
                9800             554.058                75.3
                9900             606.774               75.15
               10000             487.736                  75
               10100             475.812               74.85
               10200               440.6                74.7
               10300             416.961               74.55
               10400             425.918                74.4
               10500             531.443               74.25
               10600              522.26                74.1
               10700              446.22               73.95
               10800             459.083                73.8
               10900             471.108               73.65
               11000             445.777                73.5
               11100             511.484               73.35
               11200             607.024                73.2
               11300             537.557               73.05
               11400              536.47                72.9
               11500             550.907               72.75
               11600             499.068                72.6
               11700             407.109               72.45
               11800              541.17                72.3
               11900              520.08               72.15
               12000             495.485                  72
               12100             546.132               71.85
               12200              512.39                71.7
               12300             596.764               71.55
               12400             512.094                71.4
               12500             471.638               71.25
               12600             540.587                71.1
               12700             606.462               70.95
               12800              595.36                70.8
               12900             573.721               70.65
               13000             433.925                70.5
               13100             533.993               70.35
               13200             515.355                70.2
               13300              545.02               70.05
               13400             559.191                69.9
               13500             512.674               69.75
               13600             527.665                69.6
               13700              527.11               69.45
               13800             514.083                69.3
               13900             483.386               69.15
               14000             551.578                  69
               14100             546.978               68.85
               14200             532.531                68.7
               14300             523.077               68.55
               14400             565.634                68.4
               14500             567.509               68.25
               14600             518.263                68.1
               14700             523.045               67.95
               14800             477.189                67.8
               14900             531.441               67.65
               15000             554.536                67.5
               15100             526.325               67.35
               15200             591.438                67.2
               15300             544.119               67.05
               15400             568.476                66.9
               15500             533.344               66.75
               15600             481.512                66.6
               15700              508.98               66.45
               15800             482.447                66.3
               15900             574.683               66.15
               16000             491.858                  66
               16100             527.124               65.85
               16200             555.732                65.7
               16300             450.923               65.55
               16400             501.135                65.4
               16500             511.041               65.25
               16600             579.487                65.1
               16700             548.569               64.95
               16800             546.257                64.8
               16900             495.861               64.65
               17000             506.185                64.5
               17100             527.865               64.35
               17200             545.028                64.2
               17300             501.435               64.05
               17400             520.925                63.9
               17500             472.735               63.75
               17600             438.504                63.6
               17700             468.084               63.45
               17800              510.07                63.3
               17900             515.194               63.15
               18000             545.837                  63
               18100             527.504               62.85
               18200             555.761                62.7
               18300             539.245               62.55
               18400             453.624                62.4
               18500             457.553               62.25
               18600             571.254                62.1
               18700             519.502               61.95
               18800             483.435                61.8
               18900             543.589               61.65
               19000             579.052                61.5
               19100             567.254               61.35
               19200             515.697                61.2
