throws, sum_prog, err_prog
0, 1.10353, 0
1000, 1.07872, 0.0248127
2000, 1.07781, 0.0143548
3000, 1.08182, 0.010914
4000, 1.07862, 0.00904007
5000, 1.07648, 0.00768387
6000, 1.07751, 0.00657462
7000, 1.07487, 0.00627338
8000, 1.07564, 0.00558566
9000, 1.07707, 0.00519763
10000, 1.07894, 0.00505919
11000, 1.07731, 0.00490007
12000, 1.07724, 0.00450791
13000, 1.07734, 0.00417478
14000, 1.07548, 0.00431055
15000, 1.07636, 0.0041281
16000, 1.07593, 0.00390176
17000, 1.07706, 0.00384985
18000, 1.07637, 0.0037081
19000, 1.07648, 0.00351965
20000, 1.07727, 0.00344036
21000, 1.07865, 0.00355865
22000, 1.07843, 0.00340769
23000, 1.07906, 0.00332219
24000, 1.07902, 0.00318671
25000, 1.07863, 0.00308708
26000, 1.07881, 0.0029763
27000, 1.0786, 0.00287572
28000, 1.07804, 0.0028311
29000, 1.07764, 0.00276393
30000, 1.07767, 0.0026734
31000, 1.07814, 0.00263116
32000, 1.07818, 0.00255059
33000, 1.07763, 0.0025362
34000, 1.07716, 0.00250619
35000, 1.07706, 0.0024377
36000, 1.07699, 0.00237202
37000, 1.07738, 0.00234192
38000, 1.07723, 0.00228581
39000, 1.07741, 0.00223457
40000, 1.07726, 0.00218443
41000, 1.07717, 0.00213364
42000, 1.0773, 0.00208755
43000, 1.0773, 0.00203956
44000, 1.07708, 0.00200606
45000, 1.07719, 0.00196527
46000, 1.07699, 0.0019342
47000, 1.07732, 0.00192307
48000, 1.07737, 0.0018841
49000, 1.07755, 0.00185424
50000, 1.07792, 0.00185526
51000, 1.0778, 0.00182309
52000, 1.0777, 0.00179142
53000, 1.07793, 0.00177345
54000, 1.07796, 0.00174121
55000, 1.07811, 0.00171572
56000, 1.07818, 0.00168711
57000, 1.07787, 0.00168692
58000, 1.07788, 0.00165812
59000, 1.07776, 0.0016351
60000, 1.07721, 0.00169724
61000, 1.07746, 0.00168798
62000, 1.07754, 0.00166279
63000, 1.07728, 0.00165688
64000, 1.07703, 0.00164988
65000, 1.07733, 0.00165129
66000, 1.07727, 0.00162746
67000, 1.07707, 0.00161634
68000, 1.07673, 0.00162784
69000, 1.07655, 0.00161487
70000, 1.07648, 0.0015932
71000, 1.07654, 0.00157177
72000, 1.07645, 0.00155243
73000, 1.07615, 0.00156142
74000, 1.07595, 0.00155304
75000, 1.07585, 0.00153533
76000, 1.07611, 0.00153623
77000, 1.07622, 0.00152027
78000, 1.07615, 0.00150236
79000, 1.07644, 0.00151238
80000, 1.07668, 0.00151153
81000, 1.07683, 0.00150057
82000, 1.07696, 0.00148857
83000, 1.07722, 0.00149305
84000, 1.0773, 0.00147734
85000, 1.07732, 0.00146033
86000, 1.07725, 0.00144532
87000, 1.07724, 0.00142881
88000, 1.07699, 0.00143601
89000, 1.07693, 0.00142118
90000, 1.07711, 0.00141732
91000, 1.07729, 0.00141292
92000, 1.07736, 0.00139957
93000, 1.0776, 0.0014055
94000, 1.07775, 0.00139828
95000, 1.07777, 0.00138388
96000, 1.07801, 0.0013904
97000, 1.07781, 0.00139147
98000, 1.07789, 0.00137952
99000, 1.07776, 0.00137178
