sim, sum_prog, err_prog
1, 1, 0
2, 1.14181, 0.141806
3, 1.30745, 0.184772
4, 1.4427, 0.188054
5, 1.57265, 0.195202
6, 1.68726, 0.196314
7, 1.79719, 0.199026
8, 1.89838, 0.19987
9, 1.99577, 0.201387
10, 2.08684, 0.201836
11, 2.175, 0.202739
12, 2.2596, 0.203495
13, 2.34152, 0.204331
14, 2.42039, 0.204955
15, 2.49717, 0.205672
16, 2.57159, 0.206281
17, 2.64414, 0.206905
18, 2.71473, 0.20745
19, 2.78411, 0.208132
20, 2.85166, 0.208686
21, 2.91787, 0.209251
22, 2.98214, 0.209609
23, 3.04529, 0.210009
24, 3.10679, 0.210263
25, 3.16716, 0.21052
26, 3.22639, 0.210754
27, 3.28444, 0.210942
28, 3.34178, 0.211202
29, 3.39813, 0.211438
30, 3.45354, 0.211648
31, 3.50814, 0.211864
32, 3.56164, 0.211998
33, 3.6142, 0.21209
34, 3.66613, 0.21221
35, 3.71747, 0.212356
36, 3.7683, 0.212541
37, 3.81838, 0.212696
38, 3.86745, 0.21276
39, 3.91583, 0.212805
40, 3.96354, 0.212832
41, 4.01063, 0.212852
42, 4.05721, 0.21288
43, 4.10357, 0.212979
44, 4.14937, 0.213062
45, 4.19457, 0.213121
46, 4.23924, 0.21317
47, 4.28345, 0.213219
48, 4.32717, 0.213259
49, 4.3704, 0.213289
50, 4.41319, 0.213315
51, 4.4556, 0.213348
52, 4.49753, 0.213365
53, 4.53918, 0.213404
54, 4.58065, 0.213482
55, 4.62179, 0.213566
56, 4.66254, 0.213639
57, 4.70313, 0.213746
58, 4.74335, 0.213846
59, 4.78344, 0.21398
60, 4.82321, 0.214108
61, 4.86245, 0.214194
62, 4.90137, 0.214274
63, 4.94013, 0.21438
64, 4.9786, 0.214481
65, 5.01683, 0.21459
66, 5.05472, 0.214683
67, 5.09227, 0.214763
68, 5.12954, 0.214838
69, 5.16652, 0.214908
70, 5.20313, 0.214955
71, 5.23954, 0.215011
72, 5.2757, 0.215066
73, 5.31168, 0.215129
74, 5.34748, 0.215202
75, 5.38289, 0.215244
76, 5.41807, 0.215287
77, 5.45307, 0.215337
78, 5.488, 0.21541
79, 5.52255, 0.215452
80, 5.55687, 0.215493
81, 5.59106, 0.215546
82, 5.62505, 0.215596
83, 5.65883, 0.215645
84, 5.69228, 0.215672
85, 5.72561, 0.215711
86, 5.7587, 0.21574
87, 5.79156, 0.215763
88, 5.82413, 0.21577
89, 5.85648, 0.21577
90, 5.88863, 0.215768
91, 5.92054, 0.215756
92, 5.95228, 0.215746
93, 5.98383, 0.215733
94, 6.01515, 0.215711
95, 6.04619, 0.215675
96, 6.07701, 0.21563
97, 6.10764, 0.215582
98, 6.13803, 0.215525
99, 6.16828, 0.215469
100, 6.19832, 0.215409
