block, sum_prog, err_prog
1, 5.28117, 0
2, 5.49447, 0.213298
3, 5.64139, 0.191704
4, 5.50961, 0.189049
5, 5.4654, 0.152967
6, 5.43243, 0.129174
7, 5.46367, 0.113554
8, 5.43217, 0.103263
9, 5.36763, 0.111622
10, 5.39635, 0.103888
11, 5.39504, 0.0939795
12, 5.36042, 0.0925161
13, 5.40486, 0.0960073
14, 5.43042, 0.0924891
15, 5.43122, 0.0861064
16, 5.45354, 0.0835808
17, 5.46396, 0.0791987
18, 5.43184, 0.0812835
19, 5.45855, 0.0813915
20, 5.49005, 0.0833953
21, 5.47767, 0.0802861
22, 5.47929, 0.076567
23, 5.48399, 0.0733128
24, 5.45969, 0.0742782
25, 5.46804, 0.0717329
26, 5.4586, 0.0695629
27, 5.47022, 0.0679392
28, 5.48948, 0.0682411
29, 5.49085, 0.0658603
30, 5.49853, 0.0640887
31, 5.51581, 0.064351
32, 5.52351, 0.0627808
33, 5.52114, 0.0608945
34, 5.51068, 0.0599953
35, 5.52448, 0.0598666
36, 5.51142, 0.0596259
37, 5.51209, 0.0579959
38, 5.51968, 0.0569566
39, 5.5105, 0.056231
40, 5.51064, 0.0548074
41, 5.51464, 0.0536031
42, 5.50876, 0.0526406
43, 5.50709, 0.0514289
44, 5.50306, 0.0504078
45, 5.49741, 0.0495986
46, 5.49557, 0.0485433
47, 5.49357, 0.0475413
48, 5.49446, 0.0465489
49, 5.49772, 0.0457051
50, 5.50145, 0.044937
51, 5.49953, 0.0440887
52, 5.49893, 0.0432367
53, 5.49768, 0.0424317
54, 5.50286, 0.0419603
55, 5.51232, 0.0422616
56, 5.51048, 0.0415409
57, 5.50853, 0.040852
58, 5.50734, 0.0401592
59, 5.50593, 0.0394977
60, 5.49541, 0.040233
61, 5.49751, 0.0396236
62, 5.49761, 0.0389794
63, 5.49646, 0.0383729
64, 5.49928, 0.0378738
65, 5.49938, 0.0372867
66, 5.4987, 0.0367236
67, 5.504, 0.0365573
68, 5.51052, 0.0366007
69, 5.51786, 0.0368073
70, 5.51925, 0.0363041
71, 5.5146, 0.0360898
72, 5.51398, 0.0355906
73, 5.51159, 0.0351806
74, 5.5072, 0.0349779
75, 5.51533, 0.0354522
76, 5.51734, 0.0350406
77, 5.52046, 0.0347223
78, 5.52199, 0.0343087
79, 5.5202, 0.0339188
80, 5.51975, 0.0334952
81, 5.5265, 0.0337613
82, 5.5322, 0.0338311
83, 5.53143, 0.03343
84, 5.53601, 0.0333465
85, 5.53135, 0.0332806
86, 5.53471, 0.0330633
87, 5.5295, 0.0330941
88, 5.53125, 0.0327627
89, 5.53267, 0.0324234
90, 5.53074, 0.032119
91, 5.52849, 0.0318436
92, 5.52894, 0.0314987
93, 5.52585, 0.0313108
94, 5.52392, 0.0310363
95, 5.52691, 0.0308533
96, 5.53251, 0.0310402
97, 5.53266, 0.0307189
98, 5.52719, 0.0308912
99, 5.53126, 0.0308468
100, 5.53017, 0.0305562
