prize, sum_prog, err_prog
1, 27.0484, 0
2, 26.7197, 0.3287
3, 26.5877, 0.231168
4, 26.5246, 0.175198
5, 26.2551, 0.30177
6, 26.1934, 0.253999
7, 26.2967, 0.238236
8, 26.4335, 0.247563
9, 26.3939, 0.221901
10, 26.3472, 0.20388
11, 26.2435, 0.211584
12, 26.3002, 0.201289
13, 26.347, 0.190983
14, 26.352, 0.176889
15, 26.2704, 0.183789
16, 26.2766, 0.17203
17, 26.1671, 0.195171
18, 26.2319, 0.195066
19, 26.2217, 0.184797
20, 26.2052, 0.176087
21, 26.2084, 0.167524
22, 26.2392, 0.162658
23, 26.2001, 0.160268
24, 26.1907, 0.153734
25, 26.1987, 0.147676
26, 26.2194, 0.143386
27, 26.2495, 0.141207
28, 26.2808, 0.139619
29, 26.2887, 0.13495
30, 26.2865, 0.130392
31, 26.2864, 0.126116
32, 26.318, 0.126119
33, 26.2994, 0.123641
34, 26.3125, 0.120662
35, 26.3151, 0.117193
36, 26.2809, 0.11893
37, 26.2853, 0.115755
38, 26.3031, 0.114064
39, 26.3104, 0.111345
40, 26.31, 0.108526
41, 26.2846, 0.108867
42, 26.2952, 0.106778
43, 26.3133, 0.105822
44, 26.3365, 0.105948
45, 26.3199, 0.104878
46, 26.2943, 0.105732
47, 26.2906, 0.103522
48, 26.2824, 0.101675
49, 26.2545, 0.103426
50, 26.2593, 0.101453
51, 26.267, 0.0997417
52, 26.2661, 0.0978095
53, 26.2652, 0.0959506
54, 26.2565, 0.0945557
55, 26.2723, 0.0941481
56, 26.247, 0.0958515
57, 26.2525, 0.0943169
58, 26.2473, 0.0928188
59, 26.268, 0.0935373
60, 26.2507, 0.0935742
61, 26.2381, 0.0928818
62, 26.2432, 0.0915102
63, 26.2434, 0.0900462
64, 26.2591, 0.0900048
65, 26.2759, 0.090197
66, 26.2687, 0.0891091
67, 26.278, 0.0882559
68, 26.2752, 0.0869922
69, 26.2796, 0.0858321
70, 26.2755, 0.0846976
71, 26.287, 0.0842891
72, 26.3146, 0.0875838
73, 26.327, 0.0872566
74, 26.3322, 0.086226
75, 26.3341, 0.0850893
76, 26.3344, 0.0839629
77, 26.3328, 0.0828813
78, 26.3406, 0.0821896
79, 26.3362, 0.0812619
80, 26.3395, 0.0803067
81, 26.3423, 0.0793564
82, 26.3332, 0.0789044
83, 26.331, 0.0779796
84, 26.3262, 0.077194
85, 26.3187, 0.0766531
86, 26.3127, 0.0759917
87, 26.3013, 0.075973
88, 26.3005, 0.0751085
89, 26.3011, 0.0742617
90, 26.2987, 0.0734684
91, 26.2889, 0.0733222
92, 26.2866, 0.0725574
93, 26.2884, 0.0717957
94, 26.2905, 0.0710605
95, 26.2977, 0.0706699
96, 26.3085, 0.0707589
97, 26.3225, 0.0714054
98, 26.3219, 0.0706751
99, 26.3183, 0.0700482
100, 26.3065, 0.0703433
