block, sum_prog, err_prog
1, 2.13326, 0
2, 2.77055, -nan
3, 2.38713, -nan
4, 2.27402, -nan
5, 2.23058, -nan
6, 2.2078, -nan
7, 2.19679, -nan
8, 2.18868, -nan
9, 2.18296, -nan
10, 2.17442, -nan
11, 2.16955, -nan
12, 2.16329, -nan
13, 2.1582, -nan
14, 2.15519, -nan
15, 2.15275, -nan
16, 2.15242, -nan
17, 2.15198, -nan
18, 2.15173, -nan
19, 2.15163, -nan
20, 2.15127, -nan
21, 2.15089, -nan
22, 2.1492, -nan
23, 2.149, -nan
24, 2.14922, -nan
25, 2.14956, -nan
26, 2.15022, -nan
27, 2.15064, -nan
28, 2.14992, -nan
29, 2.15011, -nan
30, 2.14964, -nan
31, 2.14954, -nan
32, 2.14975, -nan
33, 2.14982, -nan
34, 2.15064, 0.00194989
35, 2.15222, 0.00325049
36, 2.15359, 0.0039688
37, 2.15439, 0.00432886
38, 2.15563, 0.00473897
39, 2.15635, 0.00493821
40, 2.15785, 0.00530744
41, 2.15837, 0.0053957
42, 2.15923, 0.00552053
43, 2.15935, 0.00553137
44, 2.15912, 0.0055218
45, 2.15778, 0.00562035
46, 2.15676, 0.00565397
47, 2.15471, 0.00592055
48, 2.15347, 0.00596667
49, 2.15189, 0.00607911
50, 2.15117, 0.00604526
