block, sum_prog, err_prog
1, -0.451226, 0
2, -0.457652, 0.943653
3, -0.470079, 0.544917
4, -0.478723, 0.385418
5, -0.474088, 0.298583
6, -0.471868, 0.243808
7, -0.466971, 0.206112
8, -0.460415, 0.178621
9, -0.453956, 0.157659
10, -0.449053, 0.141098
11, -0.447589, 0.127634
12, -0.447699, 0.116512
13, -0.449121, 0.107184
14, -0.452806, 0.0993004
15, -0.457595, 0.0925675
16, -0.460415, 0.0866343
17, -0.462343, 0.0814014
18, -0.465656, 0.0768171
19, -0.467084, 0.0726756
20, -0.466909, 0.0689469
21, -0.467759, 0.0655866
22, -0.467732, 0.0625342
23, -0.466848, 0.0597605
24, -0.465847, 0.057225
25, -0.464291, 0.0549105
26, -0.462463, 0.0527879
27, -0.459959, 0.0508569
28, -0.458656, 0.0490244
29, -0.457227, 0.0473253
30, -0.456457, 0.0457269
31, -0.456225, 0.044228
32, -0.455908, 0.0428246
33, -0.455329, 0.0415109
34, -0.453756, 0.0403022
35, -0.453317, 0.0391363
36, -0.452086, 0.0380537
37, -0.45055, 0.0370427
38, -0.450436, 0.0360548
39, -0.450555, 0.0351183
40, -0.450927, 0.0342311
41, -0.45067, 0.0333868
42, -0.450949, 0.0325833
43, -0.451059, 0.0318167
44, -0.451245, 0.0310857
45, -0.451788, 0.0303919
46, -0.451406, 0.0297264
47, -0.451608, 0.0290877
48, -0.451658, 0.0284752
49, -0.452207, 0.0278933
50, -0.452657, 0.0273335
