block, sum_prog, err_prog
1, 1.33438, 0
2, 1.33447, 8.525e-05
3, 1.33434, 0.000132405
4, 1.33438, 0.000100144
5, 1.3344, 8.0803e-05
6, 1.33443, 7.33263e-05
7, 1.33443, 6.23989e-05
8, 1.33445, 5.72937e-05
9, 1.33443, 5.28604e-05
10, 1.33441, 5.00179e-05
11, 1.33439, 4.9518e-05
12, 1.33438, 4.71118e-05
13, 1.33436, 4.71353e-05
14, 1.33435, 4.52109e-05
15, 1.33435, 4.20958e-05
16, 1.33434, 4.05054e-05
17, 1.33434, 3.80787e-05
18, 1.33433, 3.63188e-05
19, 1.33433, 3.4471e-05
20, 1.33434, 3.47312e-05
21, 1.33433, 3.4668e-05
22, 1.33433, 3.31775e-05
23, 1.33434, 3.33162e-05
24, 1.33434, 3.1913e-05
25, 1.33434, 3.07888e-05
26, 1.33434, 2.96523e-05
27, 1.33434, 2.86098e-05
28, 1.33435, 2.79937e-05
29, 1.33435, 2.70111e-05
30, 1.33434, 2.62647e-05
31, 1.33435, 2.56265e-05
32, 1.33434, 2.5335e-05
33, 1.33435, 2.61564e-05
34, 1.33435, 2.53967e-05
35, 1.33435, 2.47256e-05
36, 1.33436, 2.41545e-05
37, 1.33436, 2.35386e-05
38, 1.33435, 2.29427e-05
39, 1.33435, 2.24559e-05
40, 1.33435, 2.18882e-05
41, 1.33435, 2.14244e-05
42, 1.33435, 2.17721e-05
43, 1.33435, 2.14514e-05
44, 1.33435, 2.10819e-05
45, 1.33435, 2.06595e-05
46, 1.33435, 2.02608e-05
47, 1.33435, 1.98425e-05
48, 1.33434, 1.98005e-05
49, 1.33434, 1.99984e-05
50, 1.33434, 1.95954e-05
