block, sum_prog, err_prog
1, 4.64776e-310, 0
2, -nan, -nan
3, -nan, -nan
4, -nan, -nan
5, -nan, -nan
6, -nan, -nan
7, -nan, -nan
8, -nan, -nan
9, -nan, -nan
10, -nan, -nan
11, -nan, -nan
12, -nan, -nan
13, -nan, -nan
14, -nan, -nan
15, 0.00586694, 0.0232246
16, 0.00513355, 0.0210156
17, 0.00452799, 0.0191309
18, 0.00402709, 0.0175328
19, 0.00360173, 0.0161321
20, 0.00323777, 0.0148955
21, 0.00292783, 0.0138196
22, 0.00265915, 0.0128628
23, 0.00242468, 0.0120068
24, 0.00221962, 0.0112432
25, 0.00203878, 0.0105551
26, 0.00187876, 0.00993313
27, 0.0017361, 0.00936579
28, 0.00160996, 0.00885756
29, 0.00149689, 0.00839276
30, 0.00139576, 0.00796984
31, 0.00130489, 0.00758336
32, 0.00122256, 0.00722672
33, 0.0011476, 0.00689658
34, 0.00107873, 0.0065871
35, 0.00101644, 0.00630674
36, 0.000958951, 0.00604322
37, 0.000906021, 0.00579599
38, 0.000857986, 0.00557024
39, 0.000813773, 0.00535933
40, 0.000773006, 0.00516228
41, 0.000734978, 0.00497518
42, 0.000699888, 0.00480164
43, 0.000667196, 0.00463758
44, 0.000636769, 0.00448311
45, 0.000608504, 0.00433853
46, 0.000581788, 0.00419877
47, 0.000556966, 0.0040683
48, 0.000533656, 0.00394417
49, 0.000511923, 0.00382765
50, 0.000491471, 0.00371659
