block, sum_prog, err_prog
1, 0.0591361, 0
2, -nan, -nan
3, -nan, -nan
4, -nan, -nan
5, -nan, -nan
6, -nan, -nan
7, -nan, -nan
8, -nan, -nan
9, -nan, -nan
10, -nan, -nan
11, -nan, -nan
12, -nan, -nan
13, -nan, -nan
14, -nan, -nan
15, 0.0732125, 0.0880041
16, 0.0722665, 0.0821367
17, 0.0713731, 0.0769758
18, 0.0709238, 0.0724877
19, 0.0703917, 0.0684329
20, 0.0696483, 0.0647553
21, 0.0691733, 0.0614845
22, 0.0687299, 0.0585014
23, 0.0682765, 0.0557677
24, 0.0680289, 0.0532708
25, 0.06783, 0.0509696
26, 0.0676238, 0.0488477
27, 0.0673162, 0.0468746
28, 0.0672245, 0.0450787
29, 0.0670629, 0.0434098
30, 0.0668807, 0.0418727
31, 0.0666657, 0.0404517
32, 0.066405, 0.0391218
33, 0.0661471, 0.0378708
34, 0.0658145, 0.0366769
35, 0.0658619, 0.0355753
36, 0.0658519, 0.0345222
37, 0.0657341, 0.0335228
38, 0.065744, 0.0326035
39, 0.0657044, 0.0317372
40, 0.0656519, 0.0309202
41, 0.0655249, 0.0301341
42, 0.0655369, 0.0293953
43, 0.0655095, 0.0286894
44, 0.0654888, 0.0280178
45, 0.0655304, 0.0273827
46, 0.0654149, 0.0267623
47, 0.0653917, 0.0261774
48, 0.0653437, 0.0256155
49, 0.0653402, 0.0250842
50, 0.065306, 0.0245735
