block, sum_prog, err_prog
1, 1.42218, 0
2, -nan, -nan
3, -nan, -nan
4, -nan, -nan
5, -nan, -nan
6, -nan, -nan
7, -nan, -nan
8, -nan, -nan
9, -nan, -nan
10, -nan, -nan
11, -nan, -nan
12, -nan, -nan
13, -nan, -nan
14, -nan, -nan
15, -nan, -nan
16, -nan, -nan
17, -nan, -nan
18, -nan, -nan
19, -nan, -nan
20, -nan, -nan
21, -nan, -nan
22, -nan, -nan
23, -nan, -nan
24, -nan, -nan
25, -nan, -nan
26, -nan, -nan
27, -nan, -nan
28, -nan, -nan
29, -nan, -nan
30, -nan, -nan
31, -nan, -nan
32, -nan, -nan
33, -nan, -nan
34, 1.43277, 0.0642027
35, 1.43392, 0.0623736
36, 1.4349, 0.0606501
37, 1.43549, 0.0590072
38, 1.43637, 0.057467
39, 1.43689, 0.0559921
40, 1.43794, 0.054617
41, 1.43833, 0.0532815
42, 1.43893, 0.05202
43, 1.43904, 0.0507989
44, 1.43891, 0.0496261
45, 1.43805, 0.0484873
46, 1.43739, 0.0474034
47, 1.43605, 0.0463563
48, 1.43525, 0.0453611
49, 1.43421, 0.0444041
50, 1.43375, 0.0434955
