block, sum_prog, err_prog
1, 0.817523, 0
2, 2.47411, 3.89531
3, 1.47305, 2.35885
4, 1.17518, 1.66511
5, 1.03875, 1.2818
6, 0.97993, 1.04292
7, 0.943783, 0.878469
8, 0.921741, 0.75874
9, 0.904443, 0.667383
10, 0.889707, 0.595438
11, 0.881472, 0.537711
12, 0.876852, 0.4903
13, 0.871722, 0.450452
14, 0.871917, 0.416903
15, 0.868926, 0.387761
16, 0.868096, 0.36253
17, 0.868831, 0.340466
18, 0.87241, 0.32112
19, 0.872959, 0.303681
20, 0.872741, 0.288
21, 0.870669, 0.273766
22, 0.868009, 0.260838
23, 0.865515, 0.249065
24, 0.86178, 0.238267
25, 0.859301, 0.228394
26, 0.856989, 0.219303
27, 0.855992, 0.21094
28, 0.854179, 0.203163
29, 0.852901, 0.195952
30, 0.851065, 0.18922
31, 0.849765, 0.182947
32, 0.84748, 0.177052
33, 0.847213, 0.17157
34, 0.848646, 0.166474
35, 0.849565, 0.161655
36, 0.850583, 0.157113
37, 0.850654, 0.152789
38, 0.851317, 0.148716
39, 0.852584, 0.144874
40, 0.852646, 0.141189
41, 0.851403, 0.137661
42, 0.85182, 0.134342
43, 0.851758, 0.131166
44, 0.851366, 0.128129
45, 0.850517, 0.125219
46, 0.849381, 0.122436
47, 0.848477, 0.119775
48, 0.846818, 0.11722
49, 0.847272, 0.114804
50, 0.847457, 0.112479
51, 0.847393, 0.110241
52, 0.847569, 0.108097
53, 0.847678, 0.106033
54, 0.847176, 0.104035
55, 0.847088, 0.102118
56, 0.846192, 0.100259
57, 0.845692, 0.0984696
58, 0.845662, 0.0967499
59, 0.845268, 0.0950836
60, 0.845096, 0.0934766
61, 0.845447, 0.0919323
62, 0.845465, 0.0904329
63, 0.844166, 0.0889702
64, 0.84361, 0.0875575
65, 0.842933, 0.0861879
66, 0.843139, 0.0848713
67, 0.84291, 0.0835884
68, 0.841656, 0.0823377
69, 0.841362, 0.0811288
70, 0.841794, 0.0799662
71, 0.843294, 0.078865
72, 0.843975, 0.0777722
73, 0.844811, 0.0767137
74, 0.845517, 0.0756811
75, 0.845008, 0.0746581
76, 0.845195, 0.0736702
77, 0.845772, 0.072715
78, 0.845544, 0.0717721
79, 0.844932, 0.0708504
80, 0.845385, 0.0699643
81, 0.845305, 0.0690921
82, 0.844859, 0.0682384
83, 0.844953, 0.0674106
84, 0.845583, 0.0666117
85, 0.845566, 0.0658212
86, 0.845485, 0.0650485
87, 0.845518, 0.0642951
88, 0.844647, 0.0635546
89, 0.844141, 0.0628311
90, 0.844643, 0.0621351
91, 0.844746, 0.0614478
92, 0.84445, 0.060772
93, 0.844837, 0.0601188
94, 0.845129, 0.0594778
95, 0.84514, 0.0588468
96, 0.845694, 0.0582375
97, 0.845842, 0.0576342
98, 0.84622, 0.0570468
99, 0.846369, 0.0564679
100, 0.846229, 0.0558978
