block, sum_prog, err_prog
1, -5.50227, 0
2, -5.50254, 3.31271
3, -5.52063, 1.91344
4, -5.52266, 1.35299
5, -5.51546, 1.04822
6, -5.52422, 0.856041
7, -5.52776, 0.723539
8, -5.53083, 0.626599
9, -5.53043, 0.552591
10, -5.52799, 0.494295
11, -5.52889, 0.447145
12, -5.53116, 0.408212
13, -5.53153, 0.375535
14, -5.5361, 0.347733
15, -5.53652, 0.32373
16, -5.53856, 0.302842
17, -5.54169, 0.284498
18, -5.54725, 0.268292
19, -5.54944, 0.253791
20, -5.55068, 0.240777
21, -5.54981, 0.229028
22, -5.54816, 0.218376
23, -5.54641, 0.208667
24, -5.54344, 0.199805
25, -5.54166, 0.191655
26, -5.53995, 0.184144
27, -5.53943, 0.177191
28, -5.53801, 0.170748
29, -5.53714, 0.164757
30, -5.53574, 0.159178
31, -5.5349, 0.153963
32, -5.53302, 0.149089
33, -5.53311, 0.144503
34, -5.53488, 0.140202
35, -5.53607, 0.136143
36, -5.53735, 0.132315
37, -5.53762, 0.128689
38, -5.53851, 0.12526
39, -5.53994, 0.122014
40, -5.54007, 0.118923
41, -5.53896, 0.115991
42, -5.53955, 0.113198
43, -5.53962, 0.110534
44, -5.53935, 0.107993
45, -5.53853, 0.105567
46, -5.53748, 0.103251
47, -5.53664, 0.101033
48, -5.53506, 0.0989184
49, -5.5356, 0.0968799
50, -5.53583, 0.0949221
51, -5.53582, 0.0930418
52, -5.5361, 0.0912359
53, -5.5363, 0.0894984
54, -5.53584, 0.0878261
55, -5.5358, 0.0862142
56, -5.53493, 0.0846645
57, -5.53445, 0.0831666
58, -5.53442, 0.0817193
59, -5.53403, 0.0803224
60, -5.53385, 0.0789717
61, -5.5342, 0.0776663
62, -5.53426, 0.0764033
63, -5.53302, 0.0751912
64, -5.53249, 0.0740087
65, -5.53185, 0.072864
66, -5.53208, 0.0717517
67, -5.53191, 0.0706732
68, -5.53071, 0.0696367
69, -5.53048, 0.0686209
70, -5.53099, 0.0676362
71, -5.53255, 0.0666953
72, -5.53331, 0.0657677
73, -5.53425, 0.0648685
74, -5.53505, 0.0639919
75, -5.53462, 0.0631352
76, -5.5349, 0.0623005
77, -5.53554, 0.0614899
78, -5.53536, 0.0606971
79, -5.53478, 0.0599268
80, -5.53527, 0.0591752
81, -5.53522, 0.0584401
82, -5.53481, 0.0577247
83, -5.53494, 0.0570253
84, -5.53557, 0.0563456
85, -5.53556, 0.0556787
86, -5.53549, 0.0550274
87, -5.53554, 0.0543913
88, -5.53469, 0.0537764
89, -5.5342, 0.053171
90, -5.53471, 0.0525792
91, -5.5348, 0.051998
92, -5.53449, 0.0514303
93, -5.53488, 0.0508756
94, -5.53514, 0.0503317
95, -5.53513, 0.0497987
96, -5.53567, 0.0492801
97, -5.53581, 0.0487694
98, -5.53619, 0.0482705
99, -5.53632, 0.0477803
100, -5.53618, 0.0473002
