block, sum_prog, err_prog
1, -5.18529, 0
2, -5.18695, 0.001656
3, -5.18822, 0.00159606
4, -5.18822, 0.00112858
5, -5.18834, 0.000882566
6, -5.18846, 0.000729315
7, -5.18842, 0.000617224
8, -5.18841, 0.000534659
9, -5.18832, 0.000479861
10, -5.18835, 0.000430183
11, -5.18831, 0.000391981
12, -5.18849, 0.000400732
13, -5.18857, 0.000378508
14, -5.18853, 0.000352876
15, -5.18864, 0.00034753
16, -5.18868, 0.000327464
17, -5.18871, 0.000308544
18, -5.18879, 0.000301683
19, -5.18884, 0.00029038
20, -5.18882, 0.000275933
21, -5.18874, 0.000275737
22, -5.18866, 0.000275279
23, -5.18856, 0.000279678
24, -5.18845, 0.00029253
25, -5.18837, 0.000291085
26, -5.18834, 0.000281194
27, -5.18832, 0.000271402
28, -5.18826, 0.000267236
29, -5.18823, 0.000260478
30, -5.18815, 0.000262331
31, -5.188, 0.000294572
32, -5.18788, 0.000310307
33, -5.18778, 0.000316767
34, -5.18767, 0.000327791
35, -5.18759, 0.000328559
36, -5.1875, 0.00033112
37, -5.18748, 0.000322559
38, -5.18754, 0.000320384
39, -5.18764, 0.000327651
40, -5.18771, 0.000326713
41, -5.18776, 0.000322978
42, -5.18775, 0.000315471
43, -5.18773, 0.000309076
44, -5.18772, 0.000302091
45, -5.18771, 0.000295477
46, -5.18771, 0.000288998
47, -5.18772, 0.000283035
48, -5.18773, 0.000277329
49, -5.18775, 0.000272295
50, -5.18772, 0.000268373
51, -5.18771, 0.000263538
52, -5.18769, 0.000259308
53, -5.18765, 0.000257087
54, -5.18759, 0.000259404
55, -5.18753, 0.000260778
56, -5.18749, 0.000259621
57, -5.18747, 0.000255722
58, -5.18747, 0.000251309
59, -5.18749, 0.00024846
60, -5.18747, 0.000245637
61, -5.18743, 0.000245233
62, -5.18739, 0.000243608
63, -5.18734, 0.000244907
64, -5.18727, 0.000250554
65, -5.18722, 0.000251996
66, -5.18716, 0.000255964
67, -5.18708, 0.000264615
68, -5.18698, 0.000277944
69, -5.18688, 0.000292147
70, -5.18677, 0.000308569
71, -5.1867, 0.000312207
72, -5.18664, 0.000313628
73, -5.18658, 0.000314946
74, -5.1865, 0.000320273
75, -5.18646, 0.000318752
76, -5.18643, 0.000316432
77, -5.18642, 0.000312361
78, -5.18641, 0.000308429
79, -5.18639, 0.000305079
80, -5.18638, 0.000301428
81, -5.18636, 0.0002987
82, -5.18636, 0.000295061
83, -5.18636, 0.000291491
84, -5.18635, 0.00028835
85, -5.18634, 0.000284958
86, -5.18636, 0.000282385
87, -5.18638, 0.000279573
88, -5.18639, 0.000276835
89, -5.18641, 0.000274133
90, -5.18643, 0.000271827
91, -5.18644, 0.000268998
92, -5.18647, 0.000267304
93, -5.1865, 0.000266079
94, -5.18651, 0.000263462
95, -5.18653, 0.000261992
96, -5.18655, 0.000260115
97, -5.18657, 0.000258245
98, -5.1866, 0.000256622
99, -5.18663, 0.000255823
100, -5.18668, 0.000258046
