block, sum_prog, err_prog
1, 0.905483, 0
2, 1.81927, 0.585579
3, 1.14822, 0.219264
4, 1.00575, 0.102115
5, 0.957173, 0.0672198
6, 0.936225, 0.0570333
7, 0.925614, 0.0507656
8, 0.91951, 0.0461522
9, 0.915899, 0.0420887
10, 0.913466, 0.0385059
11, 0.911882, 0.035659
12, 0.910935, 0.0332629
13, 0.910474, 0.0310593
14, 0.910101, 0.0293071
15, 0.909806, 0.0275833
16, 0.909553, 0.0261058
17, 0.909343, 0.024818
18, 0.909126, 0.0237347
19, 0.908961, 0.0226503
20, 0.908884, 0.0216337
21, 0.908786, 0.0206475
22, 0.908663, 0.0197242
23, 0.908609, 0.0188767
24, 0.908629, 0.0180619
25, 0.908678, 0.0173371
26, 0.908701, 0.0166671
27, 0.908696, 0.0160716
28, 0.908685, 0.0154984
29, 0.908711, 0.0149725
30, 0.908789, 0.0144687
31, 0.908898, 0.0140054
32, 0.908967, 0.013551
33, 0.908932, 0.0131578
34, 0.908926, 0.0128142
35, 0.908928, 0.012481
36, 0.908931, 0.0121667
37, 0.908958, 0.0118542
38, 0.908953, 0.011566
39, 0.908912, 0.0113004
40, 0.908851, 0.0110306
41, 0.908883, 0.0107552
42, 0.908895, 0.0105147
43, 0.908902, 0.0102788
44, 0.908903, 0.0100488
45, 0.908931, 0.00982276
46, 0.908977, 0.00960264
47, 0.909058, 0.00939461
48, 0.909151, 0.00918593
49, 0.909235, 0.00900995
50, 0.909331, 0.00883794
51, 0.909451, 0.00867002
52, 0.909544, 0.00851063
53, 0.90959, 0.00835599
54, 0.909639, 0.00820058
55, 0.909688, 0.00805485
56, 0.909705, 0.00790584
57, 0.909696, 0.00776589
58, 0.909664, 0.00763527
59, 0.909599, 0.00750578
60, 0.909517, 0.00738279
61, 0.90946, 0.00726825
62, 0.909386, 0.00715453
63, 0.909306, 0.00703251
64, 0.909215, 0.006921
65, 0.909131, 0.00681168
66, 0.909122, 0.00671255
67, 0.909155, 0.00661273
68, 0.909213, 0.00650736
69, 0.909262, 0.00641294
70, 0.909305, 0.00632688
71, 0.909346, 0.0062511
72, 0.909384, 0.00617143
73, 0.909426, 0.00609504
74, 0.909458, 0.00601966
75, 0.909482, 0.00593731
76, 0.9095, 0.00586218
77, 0.909508, 0.0057917
78, 0.909516, 0.00571734
79, 0.909517, 0.0056421
80, 0.909513, 0.00557603
81, 0.909519, 0.00550794
82, 0.909528, 0.00543897
83, 0.909542, 0.00537525
84, 0.909563, 0.00531646
85, 0.909587, 0.0052549
86, 0.909602, 0.0051943
87, 0.909608, 0.00513579
88, 0.909609, 0.00507279
89, 0.90961, 0.00501355
90, 0.909597, 0.0049618
91, 0.909584, 0.00490881
92, 0.909568, 0.00485458
93, 0.90953, 0.00480565
94, 0.909479, 0.00475732
95, 0.909433, 0.00470832
96, 0.909393, 0.00466332
97, 0.909364, 0.00461689
98, 0.909341, 0.00457263
99, 0.909311, 0.00452802
100, 0.909294, 0.00448266
