block, sum_prog, err_prog
1, 0.331145, 0
2, 1.51667, 1.95294
3, 0.755611, 0.770535
4, 0.520199, 0.412845
5, 0.425909, 0.258102
6, 0.383631, 0.178105
7, 0.360533, 0.131449
8, 0.346198, 0.101872
9, 0.336595, 0.0819379
10, 0.330891, 0.0679295
11, 0.32612, 0.057602
12, 0.32373, 0.0498695
13, 0.322031, 0.0438645
14, 0.320204, 0.0390525
15, 0.319293, 0.0351907
16, 0.318967, 0.0320377
17, 0.318522, 0.029383
18, 0.317723, 0.0271068
19, 0.316917, 0.0251512
20, 0.316895, 0.0234982
21, 0.316431, 0.0220262
22, 0.315346, 0.0207114
23, 0.315641, 0.0196026
24, 0.315728, 0.0185974
25, 0.315314, 0.0176701
26, 0.314627, 0.0168264
27, 0.314277, 0.016067
28, 0.313908, 0.0153738
29, 0.313143, 0.0147358
30, 0.312979, 0.0141576
31, 0.313509, 0.0136644
32, 0.31302, 0.0131635
33, 0.313243, 0.0127207
34, 0.312977, 0.0122901
35, 0.312208, 0.0118913
36, 0.3118, 0.0115141
37, 0.311367, 0.0111606
38, 0.311122, 0.0108293
39, 0.310982, 0.0105191
40, 0.310865, 0.0102271
41, 0.31107, 0.00996314
42, 0.311401, 0.0097212
43, 0.31113, 0.00947173
44, 0.311135, 0.00923926
45, 0.310926, 0.00901431
46, 0.311234, 0.00881794
47, 0.311972, 0.00866944
48, 0.31181, 0.00847353
49, 0.31169, 0.0082868
50, 0.311439, 0.00810793
51, 0.310878, 0.00794514
52, 0.310918, 0.00778436
53, 0.311131, 0.00763725
54, 0.311103, 0.00748736
55, 0.31078, 0.00734363
56, 0.310479, 0.00720524
57, 0.310285, 0.00707086
58, 0.310276, 0.00694286
59, 0.310438, 0.0068251
60, 0.310561, 0.00670993
61, 0.31036, 0.00659404
62, 0.31004, 0.00648473
63, 0.309901, 0.00637641
64, 0.309565, 0.00627542
65, 0.309448, 0.00617411
66, 0.309729, 0.00608911
67, 0.309641, 0.00599406
68, 0.309182, 0.00591257
69, 0.308969, 0.00582414
70, 0.308691, 0.00574018
71, 0.308324, 0.00566244
72, 0.307825, 0.00559539
73, 0.307598, 0.00551733
74, 0.307583, 0.00544036
75, 0.307623, 0.00536656
76, 0.307716, 0.00529635
77, 0.307662, 0.00522513
78, 0.307756, 0.00515873
79, 0.30773, 0.00509141
80, 0.307715, 0.00502596
81, 0.307516, 0.0049634
82, 0.30739, 0.00490115
83, 0.30754, 0.00484527
84, 0.30753, 0.00478611
85, 0.307329, 0.00472994
86, 0.307096, 0.00467623
87, 0.306826, 0.00462547
88, 0.306709, 0.00457164
89, 0.306563, 0.00451955
90, 0.306475, 0.00446796
91, 0.306626, 0.00442249
92, 0.306664, 0.00437413
93, 0.306552, 0.00432619
94, 0.306396, 0.00428014
95, 0.30648, 0.00423615
96, 0.306677, 0.00419831
97, 0.306777, 0.00415669
98, 0.306902, 0.00411695
99, 0.306851, 0.00407434
100, 0.306792, 0.00403263
