block, sum_prog, err_prog
1, 0.545015, 0
2, 2.49283, 2.17494
3, 1.3431, 1.21225
4, 0.974229, 0.771815
5, 0.809099, 0.543455
6, 0.731991, 0.410504
7, 0.685776, 0.324727
8, 0.65712, 0.265817
9, 0.636183, 0.223116
10, 0.619729, 0.190989
11, 0.609431, 0.166302
12, 0.602748, 0.14682
13, 0.59654, 0.130978
14, 0.594498, 0.118162
15, 0.590746, 0.107274
16, 0.58877, 0.0981363
17, 0.588091, 0.090383
18, 0.58951, 0.0838473
19, 0.589051, 0.0779841
20, 0.588201, 0.0727992
21, 0.586211, 0.0681512
22, 0.583912, 0.0640003
23, 0.581791, 0.0602864
24, 0.578898, 0.0569354
25, 0.576892, 0.0539175
26, 0.575039, 0.0511804
27, 0.574099, 0.0487062
28, 0.572643, 0.0464301
29, 0.57157, 0.0443488
30, 0.570147, 0.0424272
31, 0.5691, 0.0406588
32, 0.567414, 0.039017
33, 0.567088, 0.0375142
34, 0.567911, 0.0361715
35, 0.568402, 0.0349004
36, 0.568969, 0.0337171
37, 0.568913, 0.0325807
38, 0.569261, 0.0315313
39, 0.570018, 0.0305677
40, 0.569978, 0.0296232
41, 0.569074, 0.0287178
42, 0.569282, 0.0278861
43, 0.569175, 0.0270886
44, 0.568853, 0.0263282
45, 0.56823, 0.0256033
46, 0.567419, 0.0249153
47, 0.566767, 0.0242615
48, 0.565614, 0.0236449
49, 0.565873, 0.0230705
50, 0.565955, 0.0225164
51, 0.565874, 0.0219829
52, 0.565955, 0.0214775
53, 0.565994, 0.0209928
54, 0.565627, 0.0205216
55, 0.565537, 0.0200739
56, 0.56491, 0.0196412
57, 0.56455, 0.0192258
58, 0.564504, 0.0188308
59, 0.564216, 0.0184478
60, 0.564078, 0.018081
61, 0.56429, 0.0177367
62, 0.56428, 0.0173989
63, 0.563394, 0.0170777
64, 0.563004, 0.01676
65, 0.562534, 0.016454
66, 0.562654, 0.0161646
67, 0.562485, 0.0158795
68, 0.561632, 0.015613
69, 0.561421, 0.0153461
70, 0.561694, 0.0150985
71, 0.56268, 0.0149039
72, 0.563121, 0.0146789
73, 0.563666, 0.0144667
74, 0.564124, 0.0142567
75, 0.563773, 0.014035
76, 0.563886, 0.0138244
77, 0.56426, 0.0136294
78, 0.564097, 0.0134264
79, 0.563679, 0.0132303
80, 0.563972, 0.0130488
81, 0.563909, 0.0128631
82, 0.563602, 0.0126819
83, 0.563656, 0.012508
84, 0.564068, 0.0123516
85, 0.564049, 0.0121854
86, 0.563987, 0.0120229
87, 0.564001, 0.0118657
88, 0.563413, 0.011718
89, 0.563068, 0.0115682
90, 0.563396, 0.011432
91, 0.563458, 0.0112906
92, 0.563255, 0.0111503
93, 0.563506, 0.0110212
94, 0.563695, 0.010893
95, 0.563697, 0.0107635
96, 0.56406, 0.0106485
97, 0.564154, 0.0105264
98, 0.564401, 0.0104119
99, 0.564494, 0.0102952
100, 0.564397, 0.0101786
