block, sum_prog, err_prog
1, 0.865716, 0
2, 2.99989, 5.04537
3, 1.64961, 3.02503
4, 1.27748, 2.13113
5, 1.11408, 1.63935
6, 1.01064, 1.32797
7, 0.96058, 1.11687
8, 0.940865, 0.964977
9, 0.915047, 0.847907
10, 0.892699, 0.755775
11, 0.885662, 0.682492
12, 0.883866, 0.622418
13, 0.873138, 0.57132
14, 0.867386, 0.528151
15, 0.861543, 0.490963
16, 0.857683, 0.458732
17, 0.856365, 0.430572
18, 0.852768, 0.405531
19, 0.851803, 0.383344
20, 0.849679, 0.363398
21, 0.849915, 0.345525
22, 0.847488, 0.32921
23, 0.846031, 0.314392
24, 0.847662, 0.300983
25, 0.846715, 0.288562
26, 0.845792, 0.277119
27, 0.84566, 0.266572
28, 0.844059, 0.256746
29, 0.842403, 0.247617
30, 0.843129, 0.239189
31, 0.843427, 0.231303
32, 0.842535, 0.223883
33, 0.843431, 0.216977
34, 0.8425, 0.210431
35, 0.842953, 0.204305
36, 0.841973, 0.198487
37, 0.840996, 0.192988
38, 0.840338, 0.187794
39, 0.841809, 0.182932
40, 0.842225, 0.178282
41, 0.840812, 0.173824
42, 0.839662, 0.169587
43, 0.840833, 0.165607
44, 0.839864, 0.161759
45, 0.839107, 0.15809
46, 0.839246, 0.154602
47, 0.841022, 0.151311
48, 0.839582, 0.148084
49, 0.838217, 0.144993
50, 0.839696, 0.14209
51, 0.839396, 0.13926
52, 0.839669, 0.13655
53, 0.839776, 0.13394
54, 0.839486, 0.131419
55, 0.839296, 0.128993
56, 0.838964, 0.126653
57, 0.840272, 0.124432
58, 0.839833, 0.122252
59, 0.839445, 0.120147
60, 0.838785, 0.11811
61, 0.839645, 0.116168
62, 0.839572, 0.114269
63, 0.838617, 0.112422
64, 0.838379, 0.11064
65, 0.838362, 0.108918
66, 0.838388, 0.107249
67, 0.839079, 0.105643
68, 0.838634, 0.104066
69, 0.839317, 0.102553
70, 0.838997, 0.101067
71, 0.838251, 0.0996202
72, 0.838264, 0.0982226
73, 0.838626, 0.096869
74, 0.839174, 0.0955551
75, 0.838751, 0.0942635
76, 0.83854, 0.0930078
77, 0.838252, 0.0917845
78, 0.8383, 0.0905969
79, 0.83825, 0.0894381
80, 0.838683, 0.0883157
81, 0.838597, 0.0872137
82, 0.838437, 0.0861382
83, 0.83826, 0.0850887
84, 0.838403, 0.0840686
85, 0.839082, 0.0830818
86, 0.838317, 0.0821013
87, 0.837961, 0.0811456
88, 0.838212, 0.0802189
89, 0.838614, 0.079316
90, 0.838876, 0.0784304
91, 0.838077, 0.0775562
92, 0.838447, 0.0767113
93, 0.838473, 0.0758798
94, 0.838308, 0.0750644
95, 0.838342, 0.0742683
96, 0.838073, 0.0734861
97, 0.838751, 0.0727331
98, 0.838273, 0.0719813
99, 0.83768, 0.0712445
100, 0.838402, 0.0705378
