block, sum_prog, err_prog
1, -7.01319, 0
2, -6.97345, 4.34922
3, -6.96197, 2.51148
4, -6.98395, 1.77625
5, -6.98961, 1.37582
6, -6.97409, 1.12341
7, -6.97567, 0.949436
8, -6.98912, 0.822385
9, -6.98548, 0.725267
10, -6.97884, 0.648724
11, -6.9834, 0.586811
12, -6.99021, 0.535714
13, -6.986, 0.492787
14, -6.98538, 0.456218
15, -6.98358, 0.424706
16, -6.98319, 0.397273
17, -6.98465, 0.373168
18, -6.98338, 0.351823
19, -6.9843, 0.332785
20, -6.98388, 0.315705
21, -6.98563, 0.3003
22, -6.98456, 0.28633
23, -6.98427, 0.273599
24, -6.987, 0.261971
25, -6.98697, 0.251275
26, -6.98676, 0.241415
27, -6.98723, 0.232299
28, -6.98613, 0.223847
29, -6.98502, 0.215993
30, -6.98624, 0.208672
31, -6.98701, 0.201831
32, -6.98655, 0.195423
33, -6.9878, 0.189412
34, -6.98721, 0.183757
35, -6.98792, 0.17843
36, -6.98721, 0.173403
37, -6.98638, 0.168651
38, -6.98599, 0.164154
39, -6.98765, 0.159897
40, -6.98818, 0.155847
41, -6.98688, 0.152002
42, -6.9859, 0.148342
43, -6.98724, 0.144857
44, -6.98639, 0.141528
45, -6.9858, 0.138349
46, -6.98614, 0.13531
47, -6.98813, 0.132417
48, -6.9867, 0.129635
49, -6.98542, 0.126967
50, -6.98711, 0.124416
51, -6.98702, 0.121955
52, -6.98746, 0.119589
53, -6.98768, 0.117311
54, -6.98744, 0.115118
55, -6.98734, 0.113006
56, -6.98706, 0.110969
57, -6.98844, 0.109014
58, -6.98807, 0.107118
59, -6.98773, 0.105287
60, -6.98714, 0.103519
61, -6.98806, 0.101813
62, -6.98799, 0.100156
63, -6.98705, 0.0985574
64, -6.98683, 0.0970049
65, -6.98686, 0.0955007
66, -6.98696, 0.0940432
67, -6.98767, 0.0926312
68, -6.98723, 0.0912593
69, -6.98794, 0.0899296
70, -6.98759, 0.0886354
71, -6.98685, 0.0873808
72, -6.98693, 0.0861591
73, -6.98734, 0.0849717
74, -6.98789, 0.0838169
75, -6.9875, 0.0826927
76, -6.98729, 0.0815973
77, -6.98702, 0.0805309
78, -6.9871, 0.0794918
79, -6.98705, 0.0784787
80, -6.98749, 0.0774925
81, -6.98739, 0.0765294
82, -6.98724, 0.0755904
83, -6.98706, 0.074674
84, -6.98725, 0.0737802
85, -6.98797, 0.0729107
86, -6.98719, 0.0720617
87, -6.98682, 0.0712292
88, -6.9871, 0.0704158
89, -6.98757, 0.0696223
90, -6.98783, 0.0688446
91, -6.98702, 0.0680884
92, -6.98742, 0.0673454
93, -6.98744, 0.0666172
94, -6.9873, 0.0659048
95, -6.98736, 0.0652075
96, -6.9871, 0.0645251
97, -6.98782, 0.0638608
98, -6.9873, 0.0632074
99, -6.98667, 0.0625684
100, -6.98742, 0.0619442
