block, sum_prog, err_prog
1, -6.14748, 0
2, -6.14888, 0.0014065
3, -6.14998, 0.00136713
4, -6.15085, 0.00130016
5, -6.1509, 0.00100826
6, -6.15082, 0.000826793
7, -6.15083, 0.000698773
8, -6.15114, 0.000681679
9, -6.15108, 0.000603832
10, -6.15107, 0.000540221
11, -6.15113, 0.000492039
12, -6.15102, 0.000461686
13, -6.15081, 0.000474718
14, -6.15061, 0.000481911
15, -6.15038, 0.00050324
16, -6.15037, 0.00047107
17, -6.15026, 0.000455387
18, -6.15018, 0.000436495
19, -6.15003, 0.000437811
20, -6.15001, 0.000416023
21, -6.15003, 0.000396392
22, -6.15011, 0.000385363
23, -6.15015, 0.000370999
24, -6.15027, 0.000373794
25, -6.15032, 0.000361591
26, -6.15027, 0.000350588
27, -6.15019, 0.000347585
28, -6.15007, 0.000353348
29, -6.15008, 0.000340963
30, -6.15007, 0.000329414
31, -6.1501, 0.000319953
32, -6.15013, 0.000311056
33, -6.15011, 0.000301957
34, -6.15012, 0.000293013
35, -6.15007, 0.000288767
36, -6.15006, 0.000281041
37, -6.14995, 0.000292168
38, -6.14998, 0.000285228
39, -6.14994, 0.000279704
40, -6.14986, 0.000286444
41, -6.14978, 0.000289329
42, -6.14977, 0.000282425
43, -6.14978, 0.000275939
44, -6.14975, 0.000271385
45, -6.14977, 0.000266263
46, -6.14984, 0.000268687
47, -6.14993, 0.00027628
48, -6.14982, 0.000289412
49, -6.1498, 0.000284163
50, -6.14991, 0.000297769
51, -6.15002, 0.000312747
52, -6.15009, 0.000314869
53, -6.15013, 0.000310924
54, -6.1501, 0.000306834
55, -6.1501, 0.000301266
56, -6.15008, 0.000296595
57, -6.15009, 0.000291435
58, -6.15009, 0.000286373
59, -6.15008, 0.000281691
60, -6.15008, 0.000277024
61, -6.15009, 0.000272585
62, -6.15004, 0.000273335
63, -6.15, 0.000271295
64, -6.14997, 0.000268809
65, -6.14997, 0.000264749
66, -6.15, 0.000263459
67, -6.14997, 0.000261195
68, -6.14994, 0.000259125
69, -6.14993, 0.000255515
70, -6.14987, 0.000260711
71, -6.14984, 0.000258943
72, -6.14987, 0.00025759
73, -6.14988, 0.000254264
74, -6.14985, 0.000253057
75, -6.14986, 0.000249857
76, -6.14983, 0.000248507
77, -6.14982, 0.000245337
78, -6.14982, 0.000242174
79, -6.14979, 0.000240807
80, -6.14977, 0.000238422
81, -6.14974, 0.000238435
82, -6.14972, 0.000235814
83, -6.14971, 0.000233624
84, -6.14973, 0.000232065
85, -6.14975, 0.00022989
86, -6.14971, 0.000230254
87, -6.14968, 0.00022896
88, -6.14969, 0.000226533
89, -6.14975, 0.00022987
90, -6.14972, 0.000228369
91, -6.1497, 0.000227512
92, -6.1497, 0.000225142
93, -6.14969, 0.000223111
94, -6.14969, 0.000220732
95, -6.1497, 0.000218654
96, -6.1497, 0.000216428
97, -6.14972, 0.00021593
98, -6.14967, 0.00022003
99, -6.14963, 0.000222704
100, -6.14964, 0.000220839
