block, sum_prog, err_prog
1, 0.79756, 0
2, 1.9868, 1.21263
3, 1.10848, 0.402653
4, 0.921578, 0.183123
5, 0.859073, 0.106841
6, 0.832533, 0.0749406
7, 0.81939, 0.0610823
8, 0.812074, 0.0523682
9, 0.80773, 0.046576
10, 0.804931, 0.0418197
11, 0.803161, 0.0385061
12, 0.801992, 0.0354011
13, 0.80115, 0.0327088
14, 0.800591, 0.0304354
15, 0.800143, 0.0283667
16, 0.799746, 0.0268141
17, 0.799398, 0.0253385
18, 0.799058, 0.0240369
19, 0.798791, 0.0228694
20, 0.798591, 0.0217561
21, 0.798455, 0.0207963
22, 0.798304, 0.0198839
23, 0.79817, 0.01907
24, 0.798075, 0.0182636
25, 0.797993, 0.017585
26, 0.797927, 0.0169498
27, 0.797884, 0.0163738
28, 0.797851, 0.015756
29, 0.79781, 0.0152462
30, 0.797745, 0.0147274
31, 0.797716, 0.0142824
32, 0.797668, 0.0138616
33, 0.797657, 0.0134373
34, 0.797646, 0.0130367
35, 0.797619, 0.0127098
36, 0.797614, 0.0123434
37, 0.797616, 0.0120015
38, 0.797602, 0.0116767
39, 0.797597, 0.0113927
40, 0.797557, 0.0111295
41, 0.797517, 0.0108636
42, 0.797504, 0.010602
43, 0.797508, 0.0103626
44, 0.797505, 0.0101333
45, 0.797511, 0.00990577
46, 0.797504, 0.00968931
47, 0.79751, 0.00950102
48, 0.797515, 0.0093114
49, 0.797523, 0.00912309
50, 0.797541, 0.00892652
51, 0.797544, 0.00875892
52, 0.797529, 0.00860072
53, 0.797522, 0.00843973
54, 0.797531, 0.00829699
55, 0.797544, 0.00813356
56, 0.797552, 0.00799113
57, 0.797543, 0.00785508
58, 0.797531, 0.00772015
59, 0.797532, 0.00758811
60, 0.797531, 0.00746458
61, 0.797524, 0.00734804
62, 0.797515, 0.00723086
63, 0.797503, 0.00711627
64, 0.797502, 0.00700576
65, 0.797523, 0.00690114
66, 0.797531, 0.00679124
67, 0.797513, 0.00668683
68, 0.797493, 0.00659293
69, 0.797475, 0.00650716
70, 0.797476, 0.00640594
71, 0.797482, 0.00631565
72, 0.797492, 0.00623114
73, 0.797513, 0.00614557
74, 0.797527, 0.00606097
75, 0.797522, 0.00598192
76, 0.797507, 0.00590531
77, 0.797503, 0.0058295
78, 0.797505, 0.0057579
79, 0.797507, 0.00568457
80, 0.797509, 0.00561413
81, 0.797528, 0.00554258
82, 0.797536, 0.00547432
83, 0.797536, 0.00541322
84, 0.797534, 0.00534673
85, 0.797542, 0.00528519
86, 0.797549, 0.00522594
87, 0.797563, 0.00516503
88, 0.79757, 0.00510434
89, 0.797568, 0.00504701
90, 0.797567, 0.00499333
91, 0.797562, 0.00493937
92, 0.797563, 0.00488759
93, 0.797577, 0.00483376
94, 0.797592, 0.00478503
95, 0.797611, 0.00472914
96, 0.797611, 0.00467863
97, 0.797602, 0.00463703
98, 0.797602, 0.00458787
99, 0.797606, 0.00453877
100, 0.79761, 0.00449661
