block, sum_prog, err_prog
1, 0.626669, 0
2, 2.01873, 2.2466
3, 1.10893, 0.880272
4, 0.850238, 0.473552
5, 0.745587, 0.298269
6, 0.681926, 0.207243
7, 0.654851, 0.154536
8, 0.647886, 0.122182
9, 0.634482, 0.0995662
10, 0.62235, 0.0835208
11, 0.620675, 0.0720629
12, 0.622183, 0.0636223
13, 0.6165, 0.0565417
14, 0.614116, 0.0509116
15, 0.611341, 0.0462834
16, 0.609792, 0.0424589
17, 0.609931, 0.03931
18, 0.608215, 0.0365322
19, 0.60832, 0.0341952
20, 0.607457, 0.0321076
21, 0.608258, 0.030353
22, 0.607004, 0.0287084
23, 0.606408, 0.0272469
24, 0.608049, 0.0260772
25, 0.607729, 0.0248874
26, 0.607386, 0.0238038
27, 0.607597, 0.022833
28, 0.606685, 0.0219186
29, 0.605709, 0.021078
30, 0.606477, 0.0203528
31, 0.606906, 0.0196598
32, 0.606434, 0.0189881
33, 0.607273, 0.0184151
34, 0.606742, 0.0178284
35, 0.607224, 0.0173062
36, 0.606632, 0.0167903
37, 0.606032, 0.0163054
38, 0.605661, 0.0158475
39, 0.60686, 0.0154968
40, 0.607268, 0.0151058
41, 0.606313, 0.0147292
42, 0.605547, 0.0143661
43, 0.606497, 0.0140714
44, 0.605855, 0.0137401
45, 0.605365, 0.0134219
46, 0.605535, 0.013124
47, 0.606917, 0.0129372
48, 0.605909, 0.0126798
49, 0.604952, 0.0124319
50, 0.606102, 0.0122515
51, 0.605929, 0.0120025
52, 0.606179, 0.0117723
53, 0.606303, 0.0115471
54, 0.60613, 0.0113262
55, 0.60603, 0.011114
56, 0.605822, 0.0109094
57, 0.606828, 0.010777
58, 0.606537, 0.0105866
59, 0.606282, 0.0104027
60, 0.605824, 0.0102292
61, 0.606491, 0.0100902
62, 0.606466, 0.00992402
63, 0.605785, 0.00977788
64, 0.605634, 0.00962147
65, 0.605646, 0.00947106
66, 0.60569, 0.00932582
67, 0.606225, 0.00920706
68, 0.605917, 0.00907082
69, 0.606445, 0.00895969
70, 0.606226, 0.00882979
71, 0.605693, 0.00871351
72, 0.605721, 0.00859117
73, 0.606007, 0.00848017
74, 0.606431, 0.00837979
75, 0.606134, 0.00826854
76, 0.605994, 0.00815799
77, 0.605795, 0.00805098
78, 0.605846, 0.00794725
79, 0.605823, 0.00784527
80, 0.606158, 0.00775693
81, 0.606107, 0.00765974
82, 0.606001, 0.00756496
83, 0.605882, 0.00747258
84, 0.605999, 0.00738485
85, 0.606514, 0.00732047
86, 0.605957, 0.00725049
87, 0.605703, 0.00716837
88, 0.6059, 0.0070908
89, 0.606208, 0.00702009
90, 0.606412, 0.00694633
91, 0.605828, 0.00688878
92, 0.606111, 0.00682176
93, 0.606139, 0.00674811
94, 0.606025, 0.0066757
95, 0.606058, 0.00660524
96, 0.605867, 0.00653703
97, 0.606377, 0.00649369
98, 0.60603, 0.00643335
99, 0.605598, 0.00637897
100, 0.606141, 0.00634258
