block, sum_prog, err_prog
1, 0.404947, 0
2, 3.08502, 3.03083
3, 1.47462, 1.65255
4, 0.978294, 1.03724
5, 0.759632, 0.722328
6, 0.643591, 0.538852
7, 0.583235, 0.42216
8, 0.542943, 0.342273
9, 0.516946, 0.284959
10, 0.496159, 0.242048
11, 0.484483, 0.209228
12, 0.473082, 0.183181
13, 0.46347, 0.162174
14, 0.456073, 0.144968
15, 0.448949, 0.130626
16, 0.446231, 0.118673
17, 0.442956, 0.108438
18, 0.440545, 0.0996465
19, 0.438678, 0.0920202
20, 0.436246, 0.0853208
21, 0.435037, 0.0794516
22, 0.433408, 0.0742286
23, 0.432423, 0.0695878
24, 0.430448, 0.0654009
25, 0.430001, 0.0616684
26, 0.429524, 0.0582908
27, 0.429482, 0.0552372
28, 0.427591, 0.0524138
29, 0.427402, 0.049862
30, 0.4262, 0.0474978
31, 0.426154, 0.0453481
32, 0.426079, 0.043362
33, 0.425238, 0.041507
34, 0.424418, 0.0397864
35, 0.425233, 0.0382404
36, 0.424258, 0.0367484
37, 0.423465, 0.0353569
38, 0.422683, 0.0340558
39, 0.422747, 0.0328522
40, 0.423077, 0.0317315
41, 0.422871, 0.030662
42, 0.422385, 0.0296506
43, 0.422295, 0.0287034
44, 0.422198, 0.0278088
45, 0.421789, 0.0269578
46, 0.421444, 0.0261527
47, 0.421913, 0.0254114
48, 0.421997, 0.0246945
49, 0.421815, 0.0240074
50, 0.420975, 0.0233539
51, 0.421078, 0.0227376
52, 0.421333, 0.0221546
53, 0.421183, 0.0215889
54, 0.421643, 0.0210663
55, 0.420866, 0.0205512
56, 0.420821, 0.0200586
57, 0.420854, 0.0195886
58, 0.420712, 0.0191352
59, 0.42049, 0.0186996
60, 0.420491, 0.0182845
61, 0.42066, 0.0178899
62, 0.42059, 0.0175056
63, 0.420464, 0.0171353
64, 0.420371, 0.0167794
65, 0.420424, 0.0164391
66, 0.419999, 0.0161085
67, 0.419703, 0.0157892
68, 0.419857, 0.0154869
69, 0.420363, 0.0152091
70, 0.419765, 0.0149264
71, 0.419658, 0.0146495
72, 0.419764, 0.0143854
73, 0.419652, 0.0141264
74, 0.419457, 0.0138755
75, 0.419484, 0.0136348
76, 0.419537, 0.0134021
77, 0.419513, 0.0131754
78, 0.41965, 0.0129589
79, 0.419539, 0.0127451
80, 0.419506, 0.0125382
81, 0.419271, 0.0123368
82, 0.41915, 0.0121413
83, 0.419444, 0.0119604
84, 0.419226, 0.0117759
85, 0.419262, 0.0115981
86, 0.419366, 0.0114267
87, 0.419236, 0.011257
88, 0.41902, 0.0110921
89, 0.418962, 0.0109318
90, 0.419098, 0.010779
91, 0.419114, 0.0106279
92, 0.419215, 0.0104822
93, 0.419056, 0.0103377
94, 0.419228, 0.0102012
95, 0.418727, 0.010071
96, 0.418572, 0.00993699
97, 0.419122, 0.00982947
98, 0.418916, 0.0097021
99, 0.418632, 0.00957895
100, 0.418878, 0.00946407
