x, y, z
0.272286, 0.831308, 2.10556
0.272286, 0.831308, 2.10556
0.272286, 0.831308, 2.10556
0.610404, 1.78916, 2.04674
0.610404, 1.78916, 2.04674
-0.453211, 1.53558, 1.17872
0.505451, 1.97059, 1.05316
0.505451, 1.97059, 1.05316
-0.255787, 1.52296, 1.11773
-0.961527, 0.507119, 0.325634
-1.10605, -0.121911, 0.64438
-0.0899864, 0.00890091, 0.671221
-0.0899864, 0.00890091, 0.671221
-0.371062, -0.218276, 0.871414
-0.259373, -0.373816, 0.0596225
-0.259373, -0.373816, 0.0596225
0.0801021, 0.583888, 0.817531
0.840648, -0.137917, 0.687117
0.840648, -0.137917, 0.687117
1.04864, -0.925728, 0.00235413
1.04864, -0.925728, 0.00235413
1.04864, -0.925728, 0.00235413
1.04864, -0.925728, 0.00235413
1.06314, -1.10334, 0.294608
0.855374, -0.910834, 0.334795
0.509278, -1.76644, -0.111013
0.223759, -1.28167, 0.663179
0.020131, -1.52354, -0.420535
-0.234907, -1.40557, -0.00489342
0.734857, -0.939438, -0.588274
0.0325633, -0.93729, 0.157078
-0.0595546, -0.666329, -0.880797
-0.0595546, -0.666329, -0.880797
-0.0595546, -0.666329, -0.880797
0.0225988, -0.899056, -1.23128
0.146454, -0.0872411, -1.42603
0.742332, -1.15955, -1.48847
0.742332, -1.15955, -1.48847
0.447572, -1.38227, -0.579481
-0.209357, -1.44768, 0.159166
-0.209357, -1.44768, 0.159166
-0.209357, -1.44768, 0.159166
0.424423, -0.616532, -0.717076
0.424423, -0.616532, -0.717076
0.424423, -0.616532, -0.717076
0.242154, -0.844718, -0.681859
-0.132635, -0.36282, -1.20504
-0.267831, 0.448876, -1.54853
-0.425688, -0.195797, -0.757778
0.113575, -0.511211, -0.949189
0.113575, -0.511211, -0.949189
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
0.232934, 0.0740587, -0.280458
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
-0.139953, 0.223554, -0.0491437
0.582355, -0.287748, -0.0113863
-0.286146, 0.721929, 0.477538
-0.286146, 0.721929, 0.477538
-0.286146, 0.721929, 0.477538
-0.286146, 0.721929, 0.477538
