x, y, z
0, 0, 12.5
-1.1081, 4.14845, 10.634
-6.41675, 7.88902, 9.84716
-6.41675, 7.88902, 9.84716
-4.83164, 3.48652, 10.6061
-4.83164, 3.48652, 10.6061
-5.33214, 3.71883, 6.4074
-1.55479, 6.65575, 8.55236
-2.17203, 9.16735, 11.2203
-2.09274, 3.69774, 10.6917
-2.09274, 3.69774, 10.6917
-6.60566, 0.92926, 10.7516
-2.67088, -2.49082, 8.79155
-2.67088, -2.49082, 8.79155
-0.905386, 1.62762, 8.89933
-4.11803, -1.26717, 8.298
-4.11803, -1.26717, 8.298
-1.13869, 3.11743, 12.0797
1.8953, -2.12937, 10.9774
1.8953, -2.12937, 10.9774
6.20831, -1.32624, 5.33558
6.20831, -1.32624, 5.33558
7.54752, -6.48479, 8.04828
7.54752, -6.48479, 8.04828
2.87717, -1.40175, 8.56583
2.5265, -3.05465, 10.3332
2.5265, -3.05465, 10.3332
2.5265, -3.05465, 10.3332
2.5265, -3.05465, 10.3332
2.5265, -3.05465, 10.3332
2.5265, -3.05465, 10.3332
5.24419, -5.76184, 6.67178
5.24419, -5.76184, 6.67178
5.24419, -5.76184, 6.67178
5.24419, -5.76184, 6.67178
1.27104, -5.23454, 7.9625
1.27104, -5.23454, 7.9625
1.03359, -6.64115, 4.38649
1.03985, -9.31604, 6.10496
3.90565, -5.22214, 11.6118
3.90565, -5.22214, 11.6118
3.90565, -5.22214, 11.6118
7.01022, -8.4692, 7.37977
7.01022, -8.4692, 7.37977
10.1978, -4.94699, 7.33782
8.63229, -8.87932, 9.99865
6.30936, -5.23119, 10.945
9.29424, -6.28885, 14.3288
7.76211, -5.75621, 18.2005
9.36076, -5.46684, 15.708
7.33854, -10.905, 11.6251
3.18581, -6.32583, 10.0818
3.03438, -5.89835, 8.44449
5.58123, -8.32968, 11.7999
2.20001, -7.31841, 16.6388
2.32791, -2.16574, 12.1844
2.47374, -3.38364, 14.2582
2.41024, -2.28321, 10.2148
2.41024, -2.28321, 10.2148
3.91706, -0.985207, 13.485
3.91706, -0.985207, 13.485
-1.27857, -2.46644, 14.1309
3.99134, -2.92835, 13.0419
2.59315, 2.61492, 8.05621
2.59315, 2.61492, 8.05621
2.59315, 2.61492, 8.05621
2.59315, 2.61492, 8.05621
2.59315, 2.61492, 8.05621
2.58789, -1.67587, 7.66567
-2.98386, -0.0572178, 3.92462
0.855404, 5.31215, 6.40037
-0.863915, 7.46105, 8.72045
-0.863915, 7.46105, 8.72045
-2.63369, 7.93444, 9.57251
0.786674, 8.21318, 5.3784
0.786674, 8.21318, 5.3784
0.786674, 8.21318, 5.3784
0.786674, 8.21318, 5.3784
3.03986, 9.21008, 10.0464
3.03986, 9.21008, 10.0464
0.608021, 7.09908, 4.81727
0.608021, 7.09908, 4.81727
0.608021, 7.09908, 4.81727
0.608021, 7.09908, 4.81727
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
3.22216, 9.64063, 6.14098
7.56688, 5.75493, 3.38429
9.44849, 8.27126, 4.31544
9.44849, 8.27126, 4.31544
7.35838, 7.4037, 4.2803
7.35838, 7.4037, 4.2803
9.61196, 11.6117, 8.37082
9.48491, 8.31954, 3.72721
4.24367, 8.56991, 4.84436
4.24367, 8.56991, 4.84436
4.24367, 8.56991, 4.84436
4.24367, 8.56991, 4.84436
4.24367, 8.56991, 4.84436
4.24367, 8.56991, 4.84436
1.0938, 10.8162, 7.99093
-2.39081, 7.79163, 13.1421
-2.39081, 7.79163, 13.1421
-2.39081, 7.79163, 13.1421
-6.2271, 2.16901, 8.49025
-6.2271, 2.16901, 8.49025
-4.57899, 0.0421813, 5.97947
-4.57899, 0.0421813, 5.97947
-8.51059, 0.486426, 4.78104
-8.51059, 0.486426, 4.78104
-8.51059, 0.486426, 4.78104
-8.51059, 0.486426, 4.78104
-8.51059, 0.486426, 4.78104
-8.51059, 0.486426, 4.78104
-3.02718, 1.89111, 7.11714
-1.85575, -0.200838, 3.1481
-0.346788, 5.24057, 8.58575
0.716842, 3.34588, 2.95525
2.14697, 2.56431, 7.02745
1.16879, 7.92406, 8.07283
1.16879, 7.92406, 8.07283
1.16879, 7.92406, 8.07283
1.86664, 2.61417, 3.56828
1.86664, 2.61417, 3.56828
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
1.1321, -1.29481, 2.88171
4.37967, 3.97207, 7.93664
1.83292, 5.59975, 10.6704
1.83292, 5.59975, 10.6704
0.27153, 0.824178, 15.1116
-0.472952, 0.670132, 9.69388
4.51135, -2.32137, 9.12489
6.30725, 1.57389, 8.49079
5.40431, -1.76802, 7.41543
5.40431, -1.76802, 7.41543
3.66883, 1.06998, 8.80891
3.66883, 1.06998, 8.80891
3.66883, 1.06998, 8.80891
8.60868, -1.83051, 12.0978
8.60868, -1.83051, 12.0978
8.7678, -0.334044, 11.8272
8.7678, -0.334044, 11.8272
5.94257, 3.00214, 11.3928
0.772859, 6.6544, 13.9695
3.75672, 10.7197, 10.2432
3.75672, 10.7197, 10.2432
5.69035, 8.14281, 8.37122
4.05174, 5.52604, 6.28712
4.05174, 5.52604, 6.28712
5.36603, 3.51119, 10.6551
5.36603, 3.51119, 10.6551
5.36603, 3.51119, 10.6551
6.88538, 0.475737, 9.36087
4.0915, -1.74241, 8.44211
4.0915, -1.74241, 8.44211
8.93525, -0.387119, 8.60027
5.77637, 2.80172, 10.7937
5.77637, 2.80172, 10.7937
8.94003, 4.86653, 7.55119
8.94003, 4.86653, 7.55119
6.49328, 3.72834, 8.2053
2.49542, -0.444407, 7.83389
2.49542, -0.444407, 7.83389
5.94627, -5.4501, 8.43049
5.94627, -5.4501, 8.43049
1.478, -8.29528, 10.8403
2.88952, -11.5738, 12.5286
-1.85145, -6.6064, 7.63503
1.49775, -2.5443, 12.5036
0.582105, -1.55125, 13.1608
0.582105, -1.55125, 13.1608
0.582105, -1.55125, 13.1608
1.65889, -4.74336, 10.1653
1.65889, -4.74336, 10.1653
-3.68196, -2.54906, 13.1223
-3.68196, -2.54906, 13.1223
0.623098, 2.15003, 8.10059
0.623098, 2.15003, 8.10059
-2.45443, -0.853746, 3.59443
-2.45443, -0.853746, 3.59443
-2.10403, -1.62778, -1.29312
-2.10403, -1.62778, -1.29312
-2.10403, -1.62778, -1.29312
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
-0.556592, 1.71306, 1.39177
2.48094, 0.0148463, 1.844
2.48094, 0.0148463, 1.844
2.48094, 0.0148463, 1.844
-0.731724, -1.73469, 3.10611
-0.822937, 1.73437, 3.71484
-0.794433, -2.10172, 2.4595
-0.794433, -2.10172, 2.4595
-0.794433, -2.10172, 2.4595
-0.794433, -2.10172, 2.4595
-0.794433, -2.10172, 2.4595
-0.794433, -2.10172, 2.4595
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-0.994575, 1.54352, 2.43408
-3.9762, -1.27309, 6.5408
-3.16897, -4.77373, 4.26115
-6.15415, -5.48481, 6.00439
-6.15415, -5.48481, 6.00439
-11.2258, -8.1395, 5.41435
-11.2258, -8.1395, 5.41435
-7.58071, -9.59466, 7.43835
-7.25177, -5.12752, 7.56192
-4.61348, -5.76143, 11.2749
-4.61348, -5.76143, 11.2749
-4.61348, -5.76143, 11.2749
-3.06652, -7.05371, 11.3318
-2.95211, -5.07353, 13.2642
-3.61478, 0.050188, 13.6402
1.41136, -0.0445289, 11.439
3.24604, 2.73266, 11.2651
3.24604, 2.73266, 11.2651
2.7779, -0.452627, 15.4333
8.16012, -2.83223, 17.0648
8.16012, -2.83223, 17.0648
6.96094, -0.430144, 14.6647
8.14813, 0.554078, 13.2787
11.3291, -2.9267, 8.18354
8.26047, -8.07482, 3.58215
8.26047, -8.07482, 3.58215
4.92697, -10.9147, 7.46406
4.92697, -10.9147, 7.46406
4.77189, -7.15689, 5.3823
4.77189, -7.15689, 5.3823
0.0252673, -8.24382, 3.0545
0.0252673, -8.24382, 3.0545
0.0252673, -8.24382, 3.0545
0.0252673, -8.24382, 3.0545
3.79923, -9.68903, 5.88401
3.79923, -9.68903, 5.88401
3.79923, -9.68903, 5.88401
3.79923, -9.68903, 5.88401
3.79923, -9.68903, 5.88401
1.81918, -7.56966, 7.93851
1.32916, -2.52309, 3.33826
1.32916, -2.52309, 3.33826
-2.27335, 0.76958, 7.54491
-3.97272, -0.952565, 8.88344
-5.94547, 4.10323, 6.05893
-7.80782, 4.79845, 11.5113
-5.74763, -0.826202, 7.48824
-5.74763, -0.826202, 7.48824
-6.13001, -3.83038, 6.50044
-8.66104, -0.13876, 8.89528
-3.80827, 2.8154, 8.8277
-3.80827, 2.8154, 8.8277
-6.82625, 0.531308, 12.0541
-6.82625, 0.531308, 12.0541
-6.82625, 0.531308, 12.0541
-6.82625, 0.531308, 12.0541
-5.79717, 0.344865, 11.5248
-2.85853, 2.40989, 9.08342
2.51245, 7.84448, 6.80937
1.65773, 7.52035, 5.62018
1.65773, 7.52035, 5.62018
1.92753, 3.11533, 10.4901
1.92753, 3.11533, 10.4901
0.679831, 4.87808, 15.1343
-4.60041, 1.33218, 18.2108
-3.42595, 0.835498, 14.2958
-0.0262758, -0.597887, 12.6535
4.27012, -1.5643, 12.3864
4.85474, -2.5941, 10.3039
7.59932, -1.83995, 9.88643
7.59932, -1.83995, 9.88643
4.56477, -4.36057, 7.18218
4.56477, -4.36057, 7.18218
4.67347, -4.89898, 9.54173
4.67347, -4.89898, 9.54173
7.38391, -8.53971, 6.09444
7.38391, -8.53971, 6.09444
7.38391, -8.53971, 6.09444
4.74576, -9.69144, 6.3924
4.74576, -9.69144, 6.3924
4.74576, -9.69144, 6.3924
1.32037, -6.23749, 9.81471
-3.14459, -2.66503, 8.97492
0.925189, -3.94912, 8.42295
0.925189, -3.94912, 8.42295
0.925189, -3.94912, 8.42295
-1.21708, -2.74965, 4.11177
-1.21708, -2.74965, 4.11177
-1.21708, -2.74965, 4.11177
-5.31325, -5.15621, 4.35529
-5.31325, -5.15621, 4.35529
-3.93311, -1.65884, 8.5643
-5.67526, -5.26289, 8.25362
-3.01434, -1.75447, 7.18871
-0.996218, -4.02353, 7.17714
-0.996218, -4.02353, 7.17714
3.84584, -6.69313, 4.08423
6.00354, -5.38986, 8.78026
4.55606, -4.53847, 6.22578
4.55606, -4.53847, 6.22578
5.61592, -9.20794, 5.12362
7.31406, -10.0981, 6.49579
1.77018, -10.6945, 6.97917
0.939082, -7.64538, 10.8243
1.79268, -8.17142, 8.76182
3.3608, -10.5777, 10.9845
3.3608, -10.5777, 10.9845
3.3608, -10.5777, 10.9845
3.12664, -6.84478, 16.1685
-1.66862, -8.87942, 15.3372
-4.8247, -11.1392, 14.8814
-4.8247, -11.1392, 14.8814
-4.8247, -11.1392, 14.8814
-4.8247, -11.1392, 14.8814
-1.5925, -8.27357, 10.061
1.3584, -8.00342, 8.09584
1.3584, -8.00342, 8.09584
1.3584, -8.00342, 8.09584
1.3584, -8.00342, 8.09584
-1.28198, -11.3446, 7.84157
4.01739, -10.6783, 4.30605
4.01739, -10.6783, 4.30605
4.73246, -5.52475, 5.18297
4.73246, -5.52475, 5.18297
2.3185, -10.8882, 7.79472
0.74031, -8.11185, 2.99123
0.74031, -8.11185, 2.99123
0.74031, -8.11185, 2.99123
0.74031, -8.11185, 2.99123
-1.46924, -8.97174, 6.29784
-1.46924, -8.97174, 6.29784
-1.46924, -8.97174, 6.29784
-1.46924, -8.97174, 6.29784
4.14574, -4.20937, 7.72913
7.55246, -8.43758, 10.2956
7.55246, -8.43758, 10.2956
4.84658, -7.69872, 5.64825
4.84658, -7.69872, 5.64825
1.47213, -2.89416, 6.53419
5.6778, -5.9122, 6.55404
5.6778, -5.9122, 6.55404
2.31672, -9.9573, 6.65587
2.31672, -9.9573, 6.65587
2.31672, -9.9573, 6.65587
0.672817, -10.1689, 11.1626
4.72983, -8.39433, 10.4317
1.32254, -4.13501, 11.2108
-0.687419, -0.919045, 10.1623
-0.687419, -0.919045, 10.1623
-0.687419, -0.919045, 10.1623
2.37852, 0.993794, 9.59282
2.37852, 0.993794, 9.59282
-2.89405, 4.94746, 7.66688
-0.986073, 8.55322, 10.675
-4.75122, 6.69978, 5.88425
-4.75122, 6.69978, 5.88425
-6.63463, 1.18532, 8.94141
-7.80757, 4.8411, 6.14918
-7.80757, 4.8411, 6.14918
-7.80757, 4.8411, 6.14918
-7.80757, 4.8411, 6.14918
-7.20584, 2.0492, 10.4262
-7.20584, 2.0492, 10.4262
-2.90476, -0.677662, 7.88632
-7.48923, -6.09749, 8.80337
-3.58325, -5.96246, 5.97518
-3.58325, -5.96246, 5.97518
-5.45095, -9.84399, 8.40781
-4.44091, -6.28472, 4.29574
-4.44091, -6.28472, 4.29574
-4.44091, -6.28472, 4.29574
-9.74677, -5.98789, 6.72149
-9.74677, -5.98789, 6.72149
-10.0135, -9.1888, 10.7554
-10.0135, -9.1888, 10.7554
-13.5204, -8.13261, 13.6454
-13.5204, -8.13261, 13.6454
-13.5204, -8.13261, 13.6454
-10.2104, -9.71683, 8.94066
-10.2104, -9.71683, 8.94066
-6.15525, -6.14131, 4.29141
-5.42405, -7.19404, 2.76463
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
-2.03572, -2.54215, -1.23189
1.06018, -6.02335, -6.07653
1.06018, -6.02335, -6.07653
-2.27565, -8.87798, -5.50008
