block, sum_prog, err_prog
1, 1.32385, 0
2, 1.53126, 0.207409
3, 1.50206, 0.123257
4, 1.59571, 0.127929
5, 1.54619, 0.110775
6, 1.53142, 0.0916463
7, 1.52455, 0.0777592
8, 1.53124, 0.0676728
9, 1.52563, 0.0599449
10, 1.54182, 0.056007
11, 1.53594, 0.0510006
12, 1.52941, 0.0470128
13, 1.50938, 0.047658
14, 1.49597, 0.0461164
15, 1.47837, 0.0463979
16, 1.46564, 0.0452292
17, 1.478, 0.044246
18, 1.47452, 0.0418608
19, 1.48058, 0.0400576
20, 1.50401, 0.0446452
21, 1.49504, 0.0434032
22, 1.49494, 0.0413835
23, 1.48447, 0.0409046
24, 1.48598, 0.039192
25, 1.49662, 0.03907
26, 1.49534, 0.0375593
27, 1.487, 0.0370917
28, 1.47742, 0.0370041
29, 1.47851, 0.035722
30, 1.47804, 0.0345138
31, 1.49136, 0.0359392
32, 1.49663, 0.0351958
33, 1.49676, 0.0341129
34, 1.48854, 0.0340983
35, 1.48842, 0.03311
36, 1.50261, 0.0351676
37, 1.50719, 0.0345088
38, 1.50656, 0.0335943
39, 1.50788, 0.0327481
40, 1.50755, 0.0319206
41, 1.51343, 0.0316826
42, 1.51353, 0.0309192
43, 1.51252, 0.0302086
44, 1.5161, 0.0297297
45, 1.52821, 0.0314851
46, 1.52364, 0.0311299
47, 1.52082, 0.0305904
48, 1.51996, 0.0299588
49, 1.51789, 0.0294138
50, 1.52153, 0.029049
51, 1.52369, 0.0285553
52, 1.51978, 0.028273
53, 1.51587, 0.0280086
54, 1.5171, 0.0275126
55, 1.5138, 0.0272081
56, 1.5189, 0.0271995
57, 1.51461, 0.0270604
58, 1.51009, 0.0269711
59, 1.51292, 0.0266607
60, 1.51513, 0.0263055
61, 1.51037, 0.0263057
62, 1.51153, 0.0259039
63, 1.51953, 0.0267166
64, 1.52141, 0.0263631
65, 1.52063, 0.0259662
66, 1.52348, 0.0257285
67, 1.52502, 0.025388
68, 1.52448, 0.0250177
69, 1.53047, 0.025369
70, 1.52837, 0.0250914
71, 1.52382, 0.0251511
72, 1.52052, 0.0250183
73, 1.52156, 0.0246953
74, 1.52016, 0.0243998
75, 1.52125, 0.024097
76, 1.52111, 0.0237782
77, 1.52092, 0.0234681
78, 1.51945, 0.0232123
79, 1.51828, 0.0229461
80, 1.51501, 0.0228926
81, 1.51417, 0.022624
82, 1.51341, 0.0223591
83, 1.51482, 0.0221329
84, 1.51327, 0.0219226
85, 1.51472, 0.0217113
86, 1.51397, 0.0214703
87, 1.51424, 0.0212239
88, 1.5151, 0.0209986
89, 1.51184, 0.0210157
90, 1.5108, 0.0208069
91, 1.50847, 0.0207088
92, 1.51001, 0.0205405
93, 1.50993, 0.0203185
94, 1.50917, 0.0201155
95, 1.50783, 0.0199474
96, 1.5093, 0.0197928
97, 1.50761, 0.0196606
98, 1.50797, 0.0194622
99, 1.51448, 0.0203343
100, 1.51647, 0.0202285
