block, sum_prog, err_prog
1, 10.1903, 0
2, 10.8181, 0.627795
3, 11.653, 0.910113
4, 11.5923, 0.646401
5, 12.0989, 0.712269
6, 12.6211, 0.78161
7, 12.4137, 0.692373
8, 12.2174, 0.630931
9, 12.058, 0.578788
10, 12.1172, 0.521058
11, 12.2157, 0.481485
12, 12.0254, 0.478958
13, 11.9988, 0.441376
14, 12.1824, 0.447965
15, 12.1205, 0.421598
16, 12.1281, 0.394443
17, 11.9306, 0.419886
18, 12.0794, 0.422906
19, 11.9396, 0.423737
20, 11.9465, 0.402051
21, 11.9622, 0.38275
22, 11.9803, 0.365385
23, 11.9197, 0.354355
24, 11.9068, 0.339516
25, 11.9601, 0.329982
26, 12.024, 0.323409
27, 12.1248, 0.327125
28, 12.1459, 0.315929
29, 12.1449, 0.304842
30, 12.0333, 0.314966
31, 12.0542, 0.305353
32, 12.1426, 0.308597
33, 12.141, 0.299104
34, 12.0641, 0.300167
35, 12.117, 0.296225
36, 12.1488, 0.289621
37, 12.2494, 0.299109
38, 12.2556, 0.291199
39, 12.3011, 0.287258
40, 12.3102, 0.280133
41, 12.3489, 0.275936
42, 12.3411, 0.2694
43, 12.2919, 0.267614
44, 12.2874, 0.2615
45, 12.2436, 0.259346
46, 12.2677, 0.254788
47, 12.2953, 0.250825
48, 12.3214, 0.246925
49, 12.3107, 0.242067
50, 12.3654, 0.243393
51, 12.3738, 0.238721
52, 12.414, 0.23751
53, 12.3785, 0.235673
54, 12.3752, 0.23129
55, 12.3726, 0.227062
56, 12.3867, 0.223419
57, 12.336, 0.225263
58, 12.3467, 0.221606
59, 12.3583, 0.218125
60, 12.284, 0.22697
61, 12.3316, 0.22825
62, 12.3023, 0.226449
63, 12.2798, 0.223953
64, 12.2784, 0.22043
65, 12.2425, 0.219969
66, 12.223, 0.217488
67, 12.2003, 0.215417
68, 12.195, 0.21229
69, 12.1759, 0.210064
70, 12.1625, 0.207474
71, 12.1791, 0.205208
72, 12.198, 0.203216
73, 12.2119, 0.200893
74, 12.2183, 0.198263
75, 12.2286, 0.195872
76, 12.2497, 0.194432
77, 12.2203, 0.194142
78, 12.2226, 0.191651
79, 12.2174, 0.189282
80, 12.2444, 0.18883
81, 12.2316, 0.18692
82, 12.2387, 0.184764
83, 12.2439, 0.182598
84, 12.2506, 0.180534
85, 12.2485, 0.17841
86, 12.2363, 0.176739
87, 12.2573, 0.175946
88, 12.2805, 0.17548
89, 12.2987, 0.174452
90, 12.2968, 0.172513
91, 12.2338, 0.181878
92, 12.2158, 0.180784
93, 12.2061, 0.179095
94, 12.2115, 0.17726
95, 12.2286, 0.176218
96, 12.2338, 0.174449
97, 12.2296, 0.17269
98, 12.2367, 0.171063
99, 12.1972, 0.173862
100, 12.2122, 0.17277
101, 12.2091, 0.17108
102, 12.2156, 0.169517
103, 12.2264, 0.168214
104, 12.1934, 0.169823
105, 12.1796, 0.168764
106, 12.1724, 0.167322
107, 12.1702, 0.165764
108, 12.1552, 0.164911
109, 12.1491, 0.163505
110, 12.133, 0.162802
111, 12.1573, 0.163148
112, 12.1476, 0.161976
113, 12.1318, 0.161312
114, 12.1484, 0.160744
115, 12.1431, 0.159427
116, 12.1559, 0.158566
117, 12.1651, 0.157475
118, 12.1607, 0.156199
119, 12.1738, 0.155435
120, 12.1781, 0.154195
121, 12.1795, 0.152922
122, 12.1691, 0.152018
123, 12.1538, 0.151556
124, 12.1782, 0.152306
125, 12.1644, 0.151719
126, 12.1974, 0.154095
127, 12.1739, 0.154675
128, 12.179, 0.153546
129, 12.1741, 0.152429
130, 12.1749, 0.151254
131, 12.1561, 0.151264
132, 12.1597, 0.150157
133, 12.1787, 0.150223
134, 12.193, 0.149785
135, 12.1933, 0.148672
136, 12.1929, 0.147575
137, 12.1968, 0.146544
138, 12.1826, 0.146163
139, 12.1659, 0.146069
140, 12.1677, 0.145033
141, 12.1706, 0.14403
142, 12.1811, 0.143393
143, 12.1892, 0.142617
144, 12.1835, 0.141737
145, 12.182, 0.140765
146, 12.1902, 0.140038
147, 12.2032, 0.139692
148, 12.2073, 0.138806
149, 12.199, 0.138124
150, 12.2071, 0.137443
151, 12.2115, 0.1366
152, 12.2192, 0.135915
153, 12.2338, 0.135807
154, 12.2376, 0.134977
155, 12.2111, 0.136691
156, 12.2198, 0.13609
157, 12.2226, 0.135249
158, 12.2295, 0.134565
159, 12.2075, 0.135511
160, 12.2079, 0.134662
161, 12.2192, 0.134303
162, 12.2199, 0.133473
163, 12.2285, 0.132932
164, 12.2194, 0.132437
165, 12.2232, 0.131688
166, 12.2278, 0.130975
167, 12.2259, 0.130202
168, 12.2349, 0.129734
169, 12.2339, 0.128968
170, 12.2368, 0.12824
171, 12.2473, 0.127921
172, 12.2429, 0.127252
173, 12.2363, 0.126684
174, 12.2438, 0.126175
175, 12.2399, 0.125513
176, 12.2501, 0.125217
177, 12.2515, 0.124515
178, 12.258, 0.123986
179, 12.2692, 0.123793
180, 12.2814, 0.123712
181, 12.2837, 0.123048
182, 12.2862, 0.122395
183, 12.2739, 0.122343
184, 12.2856, 0.122244
185, 12.2983, 0.122234
186, 12.3045, 0.121735
187, 12.3126, 0.121353
188, 12.3067, 0.120851
189, 12.3018, 0.120307
190, 12.3034, 0.119683
191, 12.2911, 0.119689
192, 12.2863, 0.119161
193, 12.2929, 0.118728
194, 12.2984, 0.118238
195, 12.2964, 0.117648
196, 12.3015, 0.117161
197, 12.2857, 0.11763
198, 12.2907, 0.117141
199, 12.2961, 0.116672
200, 12.2942, 0.116102
