block, sum_prog, err_prog
1, 5.74292, 0
2, 5.01917, 0.723745
3, 4.78956, 0.476785
4, 4.88693, 0.350918
5, 4.74216, 0.307967
6, 4.65253, 0.266951
7, 4.6592, 0.225713
8, 4.62384, 0.198645
9, 4.64889, 0.176969
10, 4.84646, 0.253164
11, 4.87804, 0.231162
12, 4.85557, 0.212214
13, 4.92257, 0.206384
14, 4.89209, 0.193491
15, 4.93441, 0.185035
16, 4.97136, 0.176986
17, 4.95791, 0.166793
18, 4.97093, 0.157792
19, 4.95068, 0.150624
20, 4.93287, 0.144
21, 4.91815, 0.13776
22, 4.92312, 0.131443
23, 4.94579, 0.127628
24, 4.95565, 0.122592
25, 4.91107, 0.125754
26, 4.92727, 0.121901
27, 5.00468, 0.140543
28, 5.00829, 0.135479
29, 4.96568, 0.137492
30, 4.94268, 0.134808
31, 4.92713, 0.131311
32, 4.93147, 0.127215
33, 4.91945, 0.123884
34, 4.9063, 0.120902
35, 4.87421, 0.121705
36, 4.91093, 0.123847
37, 4.90457, 0.120621
38, 4.92201, 0.118692
39, 4.95197, 0.119427
40, 4.97432, 0.11853
41, 4.96732, 0.115815
42, 4.98469, 0.114351
43, 4.98535, 0.111662
44, 4.96556, 0.110875
45, 4.94909, 0.109627
46, 4.95098, 0.107234
47, 4.94459, 0.105122
48, 4.94707, 0.102938
49, 4.9634, 0.102129
50, 4.97351, 0.100575
51, 5.00559, 0.103671
52, 4.99969, 0.101828
53, 4.99362, 0.100073
54, 4.99236, 0.0982105
55, 4.98508, 0.0966828
56, 4.97982, 0.0950859
57, 4.992, 0.0941937
58, 5.00266, 0.0931669
59, 5.00555, 0.0916197
60, 5.00634, 0.0900833
61, 4.99199, 0.0897497
62, 4.98509, 0.0885589
63, 4.99105, 0.0873456
64, 4.99037, 0.0859727
65, 4.98379, 0.084895
66, 4.98481, 0.083605
67, 4.98014, 0.0824798
68, 4.98075, 0.0812601
69, 4.9827, 0.0800975
70, 4.96457, 0.0809997
71, 4.97978, 0.0812871
72, 4.97972, 0.0801502
73, 4.98518, 0.0792333
74, 4.98522, 0.0781553
75, 4.98507, 0.0771063
76, 4.97507, 0.0767398
77, 4.99104, 0.077403
78, 4.996, 0.0765651
79, 5.01942, 0.0791337
80, 5.02082, 0.0781509
81, 5.01773, 0.0772418
82, 5.0427, 0.0802759
83, 5.03666, 0.0795329
84, 5.04102, 0.0787015
85, 5.03056, 0.078471
86, 5.02532, 0.07773
87, 5.02809, 0.0768815
88, 5.02748, 0.0760053
89, 5.02618, 0.0751577
90, 5.02834, 0.0743492
91, 5.02372, 0.0736723
92, 5.01642, 0.073232
93, 5.01604, 0.0724413
94, 5.01863, 0.0717131
95, 5.03489, 0.0727933
96, 5.03904, 0.0721505
97, 5.03189, 0.0717601
98, 5.02333, 0.0715378
99, 5.02352, 0.0708118
100, 5.01527, 0.0705842
101, 5.01939, 0.0700033
102, 5.01808, 0.069326
103, 5.02165, 0.0687428
104, 5.01705, 0.0682345
105, 5.01696, 0.0675816
106, 5.01704, 0.066941
107, 5.01041, 0.0666431
108, 5.00892, 0.0660399
109, 5.00936, 0.0654327
110, 5.00682, 0.0648849
111, 5.00113, 0.0645493
112, 5.00413, 0.0640408
113, 5.00878, 0.0636414
114, 5.00724, 0.0630995
115, 5.00065, 0.0628944
116, 5.00284, 0.0623885
117, 4.99345, 0.0625627
118, 4.99712, 0.0621387
119, 4.99928, 0.0616524
120, 4.98768, 0.0622274
121, 4.98205, 0.0619678
122, 4.99049, 0.0620354
123, 4.99543, 0.0617263
124, 5.00071, 0.0614538
125, 5.00129, 0.060963
126, 4.99411, 0.0609011
127, 5.00718, 0.0618161
128, 4.99904, 0.0618689
129, 4.99433, 0.0615677
130, 4.9908, 0.0611941
131, 4.98487, 0.0610142
132, 4.98118, 0.0606624
133, 4.9766, 0.0603787
134, 4.97886, 0.0599689
135, 4.97505, 0.059645
136, 4.97321, 0.0592332
137, 4.98314, 0.0596309
138, 4.98203, 0.0592075
139, 4.98296, 0.0587872
140, 4.98614, 0.0584523
141, 4.98394, 0.0580777
142, 4.98946, 0.0579309
143, 4.99414, 0.0577143
144, 5.00532, 0.0583921
145, 5.01187, 0.0583565
146, 5.00935, 0.0580102
147, 5.01261, 0.0577066
148, 5.01104, 0.0573371
149, 5.00461, 0.0573123
150, 5.0083, 0.0570483
151, 5.00881, 0.0566716
152, 4.99983, 0.0570103
153, 4.9935, 0.0569891
154, 4.99817, 0.0568108
155, 4.99858, 0.0564445
156, 4.99452, 0.0562278
157, 4.99048, 0.0560148
158, 4.99143, 0.0556673
159, 4.99117, 0.0553168
160, 4.98749, 0.0550925
161, 4.98781, 0.0547502
162, 4.99221, 0.0545891
163, 4.99641, 0.0544153
164, 4.99558, 0.0540888
165, 4.99534, 0.0537605
166, 4.9947, 0.0534394
167, 4.99014, 0.0533145
168, 4.98564, 0.0531868
169, 4.99472, 0.053646
170, 4.99248, 0.0533765
171, 4.99626, 0.053198
172, 4.9986, 0.0529393
173, 4.99886, 0.052633
174, 4.99835, 0.0523321
175, 4.99524, 0.0521249
176, 4.99651, 0.0518434
177, 4.9971, 0.051553
178, 4.99452, 0.0513274
179, 4.99391, 0.0510436
180, 4.99589, 0.050798
181, 4.99687, 0.050526
182, 5.00069, 0.0503923
183, 5.00094, 0.0501168
184, 4.99815, 0.0499218
185, 5.00188, 0.0497912
186, 4.99916, 0.0495974
187, 5.00127, 0.0493768
188, 5.00035, 0.0491222
189, 5.0019, 0.0488863
190, 4.99941, 0.0486922
191, 5.00101, 0.048463
192, 5.0023, 0.0482271
193, 4.99679, 0.0482914
194, 4.99923, 0.0481038
195, 4.99633, 0.0479447
196, 4.99643, 0.0476996
197, 4.99202, 0.0476612
198, 4.99062, 0.0474407
199, 4.98556, 0.0474718
200, 4.98924, 0.0473771
