block, sum_prog, err_prog
1, 14.2487, 0
2, 9.97699, 4.27172
3, 10.5123, 2.52371
4, 10.7139, 1.79588
5, 11.3921, 1.54762
6, 11.5136, 1.26945
7, 11.9333, 1.15206
8, 11.4356, 1.11496
9, 11.8752, 1.07708
10, 11.9794, 0.96899
11, 11.9958, 0.876636
12, 11.6809, 0.859987
13, 11.575, 0.798119
14, 11.8195, 0.778304
15, 11.9552, 0.737159
16, 11.9922, 0.69054
17, 12.0565, 0.651825
18, 12.0797, 0.614986
19, 12.044, 0.582812
20, 12.1669, 0.566399
21, 12.2245, 0.541824
22, 12.2303, 0.516641
23, 12.2975, 0.498212
24, 12.4092, 0.489927
25, 12.4435, 0.471171
26, 12.4505, 0.452739
27, 12.456, 0.435684
28, 12.5113, 0.423459
29, 12.5238, 0.408788
30, 12.546, 0.39555
31, 12.5567, 0.382727
32, 12.4848, 0.37749
33, 12.4166, 0.372174
34, 12.3913, 0.361948
35, 12.3612, 0.352735
36, 12.3825, 0.343454
37, 12.3945, 0.334259
38, 12.4272, 0.326986
39, 12.48, 0.322834
40, 12.4949, 0.315014
41, 12.5082, 0.307521
42, 12.5429, 0.302102
43, 12.6069, 0.301863
44, 12.6196, 0.295197
45, 12.5837, 0.290786
46, 12.5583, 0.285532
47, 12.5887, 0.281041
48, 12.5698, 0.275772
49, 12.6025, 0.27206
50, 12.6509, 0.270926
51, 12.6435, 0.265665
52, 12.6281, 0.260958
53, 12.6264, 0.255992
54, 12.6296, 0.251227
55, 12.6304, 0.246618
56, 12.589, 0.24569
57, 12.5633, 0.2427
58, 12.562, 0.238482
59, 12.5829, 0.235335
60, 12.564, 0.232148
61, 12.5619, 0.22832
62, 12.6029, 0.228312
63, 12.5543, 0.229848
64, 12.5553, 0.226231
65, 12.5619, 0.22282
66, 12.5561, 0.219494
67, 12.5603, 0.216233
68, 12.5989, 0.216497
69, 12.6321, 0.215898
70, 12.6045, 0.214564
71, 12.5824, 0.21268
72, 12.5948, 0.210077
73, 12.5841, 0.207458
74, 12.5951, 0.20493
75, 12.5699, 0.203741
76, 12.5557, 0.201543
77, 12.5534, 0.198922
78, 12.561, 0.196501
79, 12.5159, 0.199159
80, 12.5333, 0.197422
81, 12.524, 0.195192
82, 12.4834, 0.197027
83, 12.5233, 0.1987
84, 12.5303, 0.196444
85, 12.5422, 0.194481
86, 12.5277, 0.192752
87, 12.5004, 0.192469
88, 12.4716, 0.192434
89, 12.4959, 0.191803
90, 12.5096, 0.190157
91, 12.5018, 0.188218
92, 12.5052, 0.186193
93, 12.4931, 0.184579
94, 12.51, 0.183385
95, 12.4868, 0.182917
96, 12.5081, 0.182247
97, 12.5016, 0.180476
98, 12.493, 0.17883
99, 12.4943, 0.17702
100, 12.4986, 0.175293
101, 12.4892, 0.173804
102, 12.5006, 0.172467
103, 12.4997, 0.170787
104, 12.5011, 0.169143
105, 12.4961, 0.167597
106, 12.5151, 0.167088
107, 12.4882, 0.167699
108, 12.4702, 0.167106
109, 12.5178, 0.172261
110, 12.5131, 0.170751
111, 12.5029, 0.169513
112, 12.4858, 0.168861
113, 12.4865, 0.167362
114, 12.492, 0.165981
115, 12.5056, 0.165087
116, 12.5261, 0.16494
117, 12.5209, 0.163607
118, 12.5369, 0.163002
119, 12.5633, 0.163772
120, 12.5641, 0.162404
121, 12.5823, 0.162077
122, 12.5884, 0.160859
123, 12.6061, 0.16053
124, 12.607, 0.159232
125, 12.6168, 0.15826
126, 12.6262, 0.157276
127, 12.6227, 0.15607
128, 12.6165, 0.154972
129, 12.6359, 0.154988
130, 12.6267, 0.15407
131, 12.638, 0.153309
132, 12.6252, 0.152678
133, 12.6215, 0.151571
134, 12.6313, 0.150754
135, 12.6467, 0.150424
136, 12.6413, 0.149414
137, 12.63, 0.14875
138, 12.6495, 0.148961
139, 12.6482, 0.147891
140, 12.653, 0.146909
141, 12.6498, 0.145896
142, 12.6432, 0.145017
143, 12.6411, 0.144014
144, 12.6469, 0.143126
145, 12.6526, 0.14225
146, 12.6221, 0.144527
147, 12.6144, 0.143748
148, 12.6216, 0.142957
149, 12.6204, 0.142
150, 12.6313, 0.141468
151, 12.6277, 0.140572
152, 12.5989, 0.142599
153, 12.6109, 0.142176
154, 12.5904, 0.142726
155, 12.5784, 0.142309
156, 12.558, 0.142867
157, 12.5566, 0.141961
158, 12.5614, 0.141143
159, 12.5519, 0.14058
160, 12.5563, 0.13977
161, 12.5621, 0.139018
162, 12.5768, 0.138936
163, 12.5788, 0.138095
164, 12.5865, 0.137468
165, 12.5856, 0.136635
166, 12.5779, 0.136027
167, 12.5884, 0.135616
168, 12.587, 0.134814
169, 12.5874, 0.134014
170, 12.5826, 0.133308
171, 12.5885, 0.132654
172, 12.5854, 0.131917
173, 12.5727, 0.131764
174, 12.5778, 0.131103
175, 12.5825, 0.130438
176, 12.5933, 0.130145
177, 12.5864, 0.129592
178, 12.5707, 0.12982
179, 12.5668, 0.129152
180, 12.5836, 0.129524
181, 12.6005, 0.129914
182, 12.6038, 0.129241
183, 12.6012, 0.128559
184, 12.5947, 0.128025
185, 12.5959, 0.127336
186, 12.6016, 0.126777
187, 12.6065, 0.126196
188, 12.6105, 0.125586
189, 12.611, 0.124921
190, 12.5939, 0.125422
191, 12.605, 0.125254
192, 12.5959, 0.124936
193, 12.5951, 0.12429
194, 12.5915, 0.123697
195, 12.5966, 0.123165
196, 12.6049, 0.122816
197, 12.6256, 0.123932
198, 12.6247, 0.123308
199, 12.6093, 0.123651
200, 12.6041, 0.123142
