block, sum_prog, err_prog
1, 4.33835, 0
2, 4.74264, 0.404286
3, 4.86397, 0.263066
4, 4.82383, 0.190296
5, 4.90309, 0.167359
6, 4.86278, 0.142471
7, 4.71543, 0.190291
8, 4.67866, 0.168849
9, 4.67627, 0.14893
10, 4.61269, 0.147602
11, 4.62349, 0.133946
12, 4.72961, 0.161908
13, 4.67879, 0.157368
14, 4.72311, 0.152287
15, 4.76826, 0.148789
16, 4.82835, 0.151595
17, 4.80348, 0.144552
18, 4.85931, 0.147277
19, 4.88865, 0.142366
20, 4.85498, 0.139194
21, 4.9206, 0.14777
22, 4.94353, 0.142745
23, 4.92281, 0.137963
24, 4.95403, 0.135729
25, 4.92273, 0.133896
26, 4.97164, 0.137628
27, 4.95269, 0.13378
28, 4.94455, 0.129171
29, 4.98259, 0.130314
30, 4.98899, 0.126058
31, 4.9866, 0.121947
32, 4.98977, 0.118117
33, 4.9546, 0.119762
34, 4.97618, 0.118173
35, 4.95803, 0.116174
36, 4.94649, 0.113489
37, 4.92883, 0.111783
38, 4.92081, 0.109097
39, 4.91458, 0.106445
40, 4.90176, 0.104539
41, 4.91545, 0.102872
42, 4.91089, 0.100496
43, 4.95164, 0.106252
44, 4.95046, 0.103816
45, 4.94115, 0.101909
46, 4.96053, 0.101536
47, 4.98703, 0.102824
48, 4.987, 0.100659
49, 4.98923, 0.0986088
50, 5.01862, 0.100988
51, 5.02757, 0.0993922
52, 5.02649, 0.0974681
53, 5.02997, 0.0956745
54, 5.03328, 0.0939445
55, 5.02365, 0.0927216
56, 5.01089, 0.0919408
57, 5.00526, 0.0904889
58, 5.00211, 0.0889706
59, 4.99136, 0.0881084
60, 4.98808, 0.0866896
61, 4.97675, 0.086006
62, 4.96693, 0.0851754
63, 4.96012, 0.0840887
64, 4.9603, 0.0827646
65, 4.96128, 0.0814873
66, 4.95739, 0.0803377
67, 4.93863, 0.0813226
68, 4.95286, 0.0813727
69, 4.96078, 0.0805743
70, 4.96648, 0.0796194
71, 4.9502, 0.0801611
72, 4.94111, 0.079561
73, 4.96488, 0.0819867
74, 4.9657, 0.0808753
75, 4.959, 0.0800712
76, 4.95342, 0.079207
77, 4.95432, 0.0781767
78, 4.96011, 0.077385
79, 4.96004, 0.0763992
80, 4.95518, 0.0755946
81, 4.96291, 0.0750548
82, 4.95633, 0.0744255
83, 4.95318, 0.0735905
84, 4.94624, 0.0730395
85, 4.96285, 0.074061
86, 4.96345, 0.0731972
87, 4.95982, 0.0724417
88, 4.95802, 0.0716363
89, 4.94873, 0.0714337
90, 4.94308, 0.0708609
91, 4.95261, 0.0707217
92, 4.95106, 0.069966
93, 4.94834, 0.0692627
94, 4.95912, 0.0693639
95, 4.96355, 0.0687729
96, 4.96394, 0.0680538
97, 4.96302, 0.0673549
98, 4.95968, 0.0667474
99, 4.96456, 0.0662498
100, 4.96152, 0.0656547
101, 4.96093, 0.065004
102, 4.95497, 0.064639
103, 4.9548, 0.0640086
104, 4.9623, 0.0638331
105, 4.9748, 0.0644462
106, 4.98009, 0.0640534
107, 4.98345, 0.0635411
108, 4.9854, 0.0629802
109, 4.97892, 0.0627349
110, 4.98649, 0.0626214
111, 4.9859, 0.0620575
112, 4.98633, 0.0615024
113, 4.98135, 0.0611581
114, 4.98286, 0.0606379
115, 4.97678, 0.0604146
116, 4.97908, 0.0599356
117, 4.98177, 0.0594818
118, 4.97698, 0.0591694
119, 4.98736, 0.0595804
120, 4.98043, 0.0594861
121, 4.98779, 0.0594488
122, 4.97913, 0.0595909
123, 4.97478, 0.0592644
124, 4.97602, 0.0587975
125, 4.97377, 0.0583684
126, 4.97399, 0.0579037
127, 4.97327, 0.0574504
128, 4.96622, 0.057434
129, 4.96869, 0.0570404
130, 4.96997, 0.0566144
131, 4.97042, 0.0561824
132, 4.97093, 0.0557574
133, 4.96951, 0.0553548
134, 4.96783, 0.0549658
135, 4.96817, 0.0545582
136, 4.96514, 0.0542402
137, 4.97499, 0.054736
138, 4.98152, 0.0547291
139, 4.98176, 0.0543345
140, 4.98005, 0.0539721
141, 4.98198, 0.0536229
142, 4.9751, 0.0536862
143, 4.97611, 0.0533191
144, 4.97745, 0.0529644
145, 4.9874, 0.0535313
146, 4.98405, 0.0532689
147, 4.98027, 0.0530404
148, 4.97671, 0.0528012
149, 4.97224, 0.0526357
150, 4.96611, 0.0526413
151, 4.95982, 0.0526691
152, 4.96092, 0.0523331
153, 4.95865, 0.0520391
154, 4.95814, 0.0517026
155, 4.95498, 0.0514655
156, 4.95238, 0.0512004
157, 4.95153, 0.0508803
158, 4.9566, 0.0508103
159, 4.9564, 0.0504901
160, 4.95263, 0.0503152
161, 4.94733, 0.0502816
162, 4.94967, 0.0500253
163, 4.95228, 0.0497855
164, 4.95288, 0.0494847
165, 4.96431, 0.0504952
166, 4.96016, 0.0503614
167, 4.95955, 0.0500627
168, 4.9683, 0.0505276
169, 4.9707, 0.050285
170, 4.97095, 0.0499889
171, 4.97423, 0.0498038
172, 4.97835, 0.0496846
173, 4.97844, 0.0493966
174, 4.98037, 0.0491498
175, 4.97733, 0.048963
176, 4.97699, 0.0486852
177, 4.9749, 0.0484543
178, 4.96777, 0.0487071
179, 4.96888, 0.048447
180, 4.96415, 0.0484089
181, 4.95991, 0.0483266
182, 4.95824, 0.0480892
183, 4.95665, 0.0478522
184, 4.95717, 0.0475943
185, 4.95632, 0.0473439
186, 4.95312, 0.0471975
187, 4.95496, 0.0469806
188, 4.9513, 0.0468734
189, 4.95148, 0.0466251
190, 4.94772, 0.0465312
191, 4.95666, 0.0471422
192, 4.9532, 0.0470238
193, 4.95078, 0.0468421
194, 4.95003, 0.046606
195, 4.9592, 0.0472636
196, 4.96758, 0.0477635
197, 4.97152, 0.0476832
198, 4.97658, 0.0477114
199, 4.97615, 0.047473
200, 4.97283, 0.0473517
