x, y, z
0.67989, 1.45628, 3.48815
-1.50907, 1.68567, 4.77197
-1.50907, 1.68567, 4.77197
-1.50907, 1.68567, 4.77197
0.558552, 3.78602, 5.02817
0.558552, 3.78602, 5.02817
1.50129, 4.28359, 4.90495
0.438892, 5.12416, 3.6752
0.891117, 4.06275, 2.0325
0.891117, 4.06275, 2.0325
0.891117, 4.06275, 2.0325
1.29596, 5.13195, 2.30482
1.29596, 5.13195, 2.30482
-0.761857, 3.47558, 3.42835
-2.60794, 2.86478, 3.4898
-2.60794, 2.86478, 3.4898
-2.60794, 2.86478, 3.4898
-2.60794, 2.86478, 3.4898
-2.60794, 2.86478, 3.4898
-0.548719, 0.507519, 2.05032
-0.548719, 0.507519, 2.05032
-0.548719, 0.507519, 2.05032
-0.548719, 0.507519, 2.05032
-0.548719, 0.507519, 2.05032
-0.548719, 0.507519, 2.05032
-0.548719, 0.507519, 2.05032
1.10137, -0.0242885, 2.5715
1.10137, -0.0242885, 2.5715
1.10137, -0.0242885, 2.5715
0.442575, 0.135629, 3.32745
-1.53409, 2.29683, 5.23944
-1.01716, 0.490166, 4.74293
-1.01716, 0.490166, 4.74293
-1.01716, 0.490166, 4.74293
0.695398, -0.621283, 2.37678
-1.44702, -1.45514, 1.29571
-1.69986, -2.74749, 2.44088
0.609721, -0.642082, 1.36489
0.609721, -0.642082, 1.36489
0.609721, -0.642082, 1.36489
0.931805, 0.971896, 2.62357
1.12113, 0.831605, 3.26376
1.12113, 0.831605, 3.26376
3.52461, 1.75395, 2.02044
2.32863, 1.21006, 2.4506
3.26386, 2.43377, 4.18839
3.26386, 2.43377, 4.18839
3.81779, 4.64273, 4.9952
3.50771, 7.00928, 5.1787
2.58468, 5.56471, 4.90355
2.58468, 5.56471, 4.90355
2.19446, 5.60782, 4.0664
2.19446, 5.60782, 4.0664
2.19446, 5.60782, 4.0664
2.19446, 5.60782, 4.0664
2.19446, 5.60782, 4.0664
-0.045942, 3.20507, 2.63409
0.387528, 4.49051, 4.68358
0.387528, 4.49051, 4.68358
0.387528, 4.49051, 4.68358
2.34887, 2.70555, 5.83401
1.55693, 0.525298, 4.25263
1.55693, 0.525298, 4.25263
1.21832, 0.664307, 5.38809
-0.200696, 1.06685, 5.85176
-0.200696, 1.06685, 5.85176
-0.0406425, 2.60374, 3.96764
-0.0406425, 2.60374, 3.96764
-1.76447, 3.96836, 2.67312
-1.76447, 3.96836, 2.67312
0.347671, 5.84377, 4.73827
-0.210962, 3.66416, 3.55277
-0.210962, 3.66416, 3.55277
-0.210962, 3.66416, 3.55277
1.53441, 3.30082, 2.82107
1.53441, 3.30082, 2.82107
1.53441, 3.30082, 2.82107
1.53441, 3.30082, 2.82107
3.80132, 1.43113, 5.12668
3.93799, 1.57253, 3.08925
3.93799, 1.57253, 3.08925
3.93799, 1.57253, 3.08925
2.10394, 3.40073, 2.25467
2.10394, 3.40073, 2.25467
2.10394, 3.40073, 2.25467
1.0324, 2.24176, 4.27692
1.50024, 2.05168, 3.28426
2.23003, 1.06665, 5.50454
2.49083, 3.33929, 3.24626
2.49083, 3.33929, 3.24626
0.945137, 1.8051, 1.36258
-0.463773, -0.646552, -0.334815
1.72387, -3.11044, 2.11997
1.72387, -3.11044, 2.11997
1.72387, -3.11044, 2.11997
1.6742, -0.75561, 3.98794
1.21715, -1.55778, 5.99072
-1.17595, -1.63477, 6.97857
-2.68431, -1.91423, 9.38097
-2.68431, -1.91423, 9.38097
-0.515293, -3.29836, 8.09794
0.11569, -5.74071, 6.3076
0.343652, -7.4214, 4.67901
0.343652, -7.4214, 4.67901
0.569222, -9.07835, 5.24049
2.84322, -8.29201, 4.30853
2.84322, -8.29201, 4.30853
2.84322, -8.29201, 4.30853
3.13935, -6.63515, 2.6353
3.65316, -4.94473, 4.00787
3.65316, -4.94473, 4.00787
2.55762, -4.04484, 5.17217
3.59232, -3.95598, 6.91655
3.59232, -3.95598, 6.91655
4.7361, -5.88449, 5.24821
5.54948, -4.20642, 5.38106
4.73957, -1.98075, 5.21436
5.84678, -2.23732, 3.41427
5.14445, -2.58475, 5.79192
4.16478, -3.26175, 5.52571
4.68855, -2.2275, 5.87939
4.68855, -2.2275, 5.87939
3.80487, -1.3475, 7.12355
3.80487, -1.3475, 7.12355
1.56784, 0.833279, 5.95229
3.79837, 1.42139, 4.43922
2.881, -0.925415, 3.0948
2.881, -0.925415, 3.0948
1.8823, -0.229424, 5.40627
1.38349, 2.02874, 3.74348
-0.150231, 1.10821, 1.63086
-0.17431, 0.345716, 0.987713
-0.783468, -0.896709, -1.05643
-0.783468, -0.896709, -1.05643
0.392702, -0.372137, -2.55882
0.392702, -0.372137, -2.55882
0.392702, -0.372137, -2.55882
0.392702, -0.372137, -2.55882
0.392702, -0.372137, -2.55882
-0.0156243, -0.0244048, -0.943831
-0.0156243, -0.0244048, -0.943831
-0.967211, -1.05275, -0.466784
-2.7142, 0.9437, -2.15497
-0.288018, 3.251, -2.94194
1.4104, 4.90025, -5.2668
-0.521755, 2.48414, -5.62199
0.730937, 3.04579, -4.6957
0.730937, 3.04579, -4.6957
0.730937, 3.04579, -4.6957
3.1317, 3.56726, -6.80351
1.50843, 2.47975, -7.70246
1.50843, 2.47975, -7.70246
1.50843, 2.47975, -7.70246
1.50843, 2.47975, -7.70246
-0.866971, 3.26934, -6.47103
-0.866971, 3.26934, -6.47103
-0.866971, 3.26934, -6.47103
-0.596971, 3.88537, -6.32893
0.00556492, 2.88814, -5.95504
0.00556492, 2.88814, -5.95504
-0.190755, 2.40581, -3.95728
1.15946, 0.326466, -4.30287
-0.804842, -0.0168423, -2.4584
0.448692, -1.53557, -3.64794
0.476881, -1.70639, -3.05685
1.33337, 0.430436, -4.80935
-0.746415, -1.19236, -5.37865
-0.647888, -0.892279, -6.83282
-0.647888, -0.892279, -6.83282
0.175735, -0.995485, -4.87256
0.175735, -0.995485, -4.87256
0.175735, -0.995485, -4.87256
0.175735, -0.995485, -4.87256
0.175735, -0.995485, -4.87256
-2.18688, -2.95793, -3.89778
-2.0883, -3.32307, -1.52883
-2.0883, -3.32307, -1.52883
-0.333483, -3.46867, -1.19473
0.665304, -4.46627, -3.52548
-0.125671, -3.50875, -2.58125
-0.125671, -3.50875, -2.58125
-1.2524, -1.707, -2.17539
-1.2524, -1.707, -2.17539
-1.35493, 0.130619, -2.70545
-0.308366, 0.149378, -2.3638
-0.308366, 0.149378, -2.3638
-0.308366, 0.149378, -2.3638
-1.00464, 1.06383, -1.53787
