block, ave, err
1, -0.46149, 0
2, 0.24285, 0.914198
3, -0.14911, 0.509316
4, -0.279392, 0.329384
5, -0.342568, 0.237931
6, -0.354995, 0.189958
7, -0.378104, 0.150492
8, -0.382147, 0.12378
9, -0.393424, 0.106657
10, -0.403376, 0.0955292
11, -0.396996, 0.0959541
12, -0.406325, 0.0872775
13, -0.404247, 0.0825595
14, -0.407205, 0.0764742
15, -0.411295, 0.072479
16, -0.412515, 0.0675812
17, -0.416354, 0.0624136
18, -0.414177, 0.0591283
19, -0.415852, 0.0557658
20, -0.417775, 0.0523254
21, -0.423282, 0.0487417
22, -0.425639, 0.0460945
23, -0.4274, 0.0432915
24, -0.429757, 0.0409551
25, -0.430423, 0.0387479
26, -0.432086, 0.0367869
27, -0.433858, 0.0350736
28, -0.435578, 0.033446
29, -0.436358, 0.0322539
30, -0.435944, 0.031177
31, -0.436021, 0.0305017
32, -0.437474, 0.0299468
33, -0.438506, 0.0290868
34, -0.436528, 0.028246
35, -0.437085, 0.0274354
36, -0.436318, 0.0263047
37, -0.436913, 0.025646
38, -0.438078, 0.0249683
39, -0.43749, 0.0248011
40, -0.437907, 0.0240444
41, -0.436622, 0.0243237
42, -0.437232, 0.0235337
43, -0.436955, 0.0228757
44, -0.436933, 0.0223099
45, -0.436232, 0.0219932
46, -0.436745, 0.021421
47, -0.436878, 0.020906
48, -0.436266, 0.0212083
49, -0.436118, 0.0211216
50, -0.437127, 0.020715
51, -0.437317, 0.0201897
52, -0.437688, 0.0196786
53, -0.43854, 0.019489
54, -0.438495, 0.0190215
55, -0.439392, 0.0188126
56, -0.438727, 0.0184242
57, -0.439153, 0.018024
58, -0.439455, 0.0176411
59, -0.440105, 0.017293
60, -0.441017, 0.0169633
61, -0.440644, 0.0168756
62, -0.441226, 0.0165084
63, -0.441414, 0.0161881
64, -0.441714, 0.0159176
65, -0.441704, 0.015985
66, -0.441398, 0.0156414
67, -0.441555, 0.0155555
68, -0.441185, 0.015268
69, -0.441008, 0.014973
70, -0.441543, 0.0146726
71, -0.440949, 0.0144087
72, -0.440928, 0.0144084
73, -0.440994, 0.0141787
74, -0.440528, 0.0141167
75, -0.440879, 0.0139747
76, -0.440911, 0.0138265
77, -0.44086, 0.0135919
78, -0.441101, 0.0133629
79, -0.440492, 0.013173
80, -0.440439, 0.0129539
81, -0.440837, 0.0127354
82, -0.440812, 0.0126203
83, -0.440883, 0.0124827
84, -0.440571, 0.0125324
85, -0.440312, 0.0124152
86, -0.440585, 0.0122612
87, -0.440807, 0.0121163
88, -0.440401, 0.0121463
89, -0.439324, 0.0120336
90, -0.439684, 0.0119941
91, -0.43983, 0.0118507
92, -0.439967, 0.0116657
93, -0.439839, 0.0115026
94, -0.439612, 0.0113333
95, -0.439649, 0.0111533
96, -0.439777, 0.0110181
97, -0.440466, 0.0109392
98, -0.441131, 0.0108409
99, -0.441233, 0.010685
100, -0.441721, 0.010578
