                  mu               sigma              energy
                 0.5                 0.5          -0.0761617
                 0.5            0.516667           -0.102315
                 0.5            0.533333           -0.113699
                 0.5                0.55            -0.12876
                 0.5            0.566667           -0.152689
                 0.5            0.583333           -0.164337
                 0.5                 0.6           -0.162131
                 0.5            0.616667           -0.182464
                 0.5            0.633333           -0.196892
                 0.5                0.65           -0.200424
                 0.5            0.666667           -0.223015
                 0.5            0.683333           -0.226234
                 0.5                 0.7           -0.239585
                 0.5            0.716667           -0.237619
                 0.5            0.733333             -0.2585
                 0.5                0.75           -0.262496
                 0.5            0.766667           -0.256846
                 0.5            0.783333           -0.265298
                 0.5                 0.8           -0.275227
                 0.5            0.816667           -0.281657
                 0.5            0.833333           -0.283156
                 0.5                0.85           -0.278217
                 0.5            0.866667           -0.258477
                 0.5            0.883333            -0.27324
                 0.5                 0.9           -0.266404
                 0.5            0.916667           -0.247625
                 0.5            0.933333           -0.268437
                 0.5                0.95           -0.255823
                 0.5            0.966667           -0.268912
                 0.5            0.983333           -0.216221
            0.516667                 0.5           -0.111837
            0.516667            0.516667           -0.126603
            0.516667            0.533333           -0.148006
            0.516667                0.55           -0.156741
            0.516667            0.566667           -0.178385
            0.516667            0.583333           -0.199964
            0.516667                 0.6           -0.201053
            0.516667            0.616667            -0.21684
            0.516667            0.633333           -0.206962
            0.516667                0.65           -0.221548
            0.516667            0.666667           -0.242616
            0.516667            0.683333           -0.241276
            0.516667                 0.7           -0.257612
            0.516667            0.716667           -0.260101
            0.516667            0.733333           -0.265924
            0.516667                0.75           -0.279229
            0.516667            0.766667           -0.271793
            0.516667            0.783333            -0.27829
            0.516667                 0.8            -0.28769
            0.516667            0.816667            -0.29316
            0.516667            0.833333           -0.283007
            0.516667                0.85           -0.280917
            0.516667            0.866667           -0.287009
            0.516667            0.883333           -0.265951
            0.516667                 0.9           -0.269673
            0.516667            0.916667           -0.261935
            0.516667            0.933333           -0.230601
            0.516667                0.95           -0.227668
            0.516667            0.966667           -0.219658
            0.516667            0.983333           -0.230076
            0.533333                 0.5           -0.131525
            0.533333            0.516667           -0.147313
            0.533333            0.533333           -0.166343
            0.533333                0.55           -0.183098
            0.533333            0.566667           -0.195682
            0.533333            0.583333           -0.215348
            0.533333                 0.6            -0.23205
            0.533333            0.616667           -0.241485
            0.533333            0.633333           -0.233965
            0.533333                0.65           -0.250488
            0.533333            0.666667             -0.2614
            0.533333            0.683333           -0.262932
            0.533333                 0.7           -0.267757
            0.533333            0.716667           -0.276457
            0.533333            0.733333           -0.271454
            0.533333                0.75           -0.287831
            0.533333            0.766667           -0.289798
            0.533333            0.783333           -0.291097
            0.533333                 0.8           -0.272115
            0.533333            0.816667           -0.283943
            0.533333            0.833333           -0.294972
            0.533333                0.85            -0.27863
            0.533333            0.866667           -0.285365
            0.533333            0.883333           -0.258347
            0.533333                 0.9            -0.26016
            0.533333            0.916667           -0.259995
            0.533333            0.933333           -0.270756
            0.533333                0.95            -0.22802
            0.533333            0.966667           -0.245926
            0.533333            0.983333           -0.173932
                0.55                 0.5           -0.154944
                0.55            0.516667           -0.176804
                0.55            0.533333           -0.205178
                0.55                0.55           -0.218453
                0.55            0.566667           -0.215167
                0.55            0.583333           -0.236288
                0.55                 0.6           -0.238084
                0.55            0.616667            -0.25286
                0.55            0.633333           -0.264743
                0.55                0.65           -0.267121
                0.55            0.666667           -0.271732
                0.55            0.683333           -0.278188
                0.55                 0.7           -0.293345
                0.55            0.716667           -0.301196
                0.55            0.733333           -0.288167
                0.55                0.75           -0.301946
                0.55            0.766667           -0.297341
                0.55            0.783333           -0.290851
                0.55                 0.8           -0.296621
                0.55            0.816667           -0.287546
                0.55            0.833333           -0.293612
                0.55                0.85           -0.284178
                0.55            0.866667           -0.286848
                0.55            0.883333           -0.264183
                0.55                 0.9           -0.252737
                0.55            0.916667           -0.254305
                0.55            0.933333           -0.225197
                0.55                0.95           -0.228589
                0.55            0.966667           -0.217201
                0.55            0.983333           -0.201956
            0.566667                 0.5           -0.198461
            0.566667            0.516667           -0.194934
            0.566667            0.533333           -0.224415
            0.566667                0.55           -0.239878
            0.566667            0.566667           -0.250482
            0.566667            0.583333           -0.257462
            0.566667                 0.6           -0.268017
            0.566667            0.616667           -0.276536
            0.566667            0.633333           -0.286213
            0.566667                0.65           -0.295388
            0.566667            0.666667           -0.296636
            0.566667            0.683333           -0.279535
            0.566667                 0.7           -0.310905
            0.566667            0.716667           -0.297318
            0.566667            0.733333           -0.307525
            0.566667                0.75           -0.308256
            0.566667            0.766667            -0.29212
            0.566667            0.783333           -0.317938
            0.566667                 0.8           -0.304127
            0.566667            0.816667           -0.279597
            0.566667            0.833333           -0.295902
            0.566667                0.85           -0.274934
            0.566667            0.866667           -0.293462
            0.566667            0.883333            -0.26817
            0.566667                 0.9            -0.26324
            0.566667            0.916667           -0.232033
            0.566667            0.933333           -0.228779
            0.566667                0.95           -0.196911
            0.566667            0.966667           -0.195595
            0.566667            0.983333           -0.195803
            0.583333                 0.5            -0.21318
            0.583333            0.516667           -0.226017
            0.583333            0.533333           -0.246595
            0.583333                0.55           -0.260201
            0.583333            0.566667           -0.272156
            0.583333            0.583333           -0.286441
            0.583333                 0.6           -0.282727
            0.583333            0.616667           -0.299355
            0.583333            0.633333           -0.306007
            0.583333                0.65           -0.304847
            0.583333            0.666667           -0.306659
            0.583333            0.683333           -0.316426
            0.583333                 0.7           -0.308049
            0.583333            0.716667           -0.305949
            0.583333            0.733333            -0.31841
            0.583333                0.75           -0.308812
            0.583333            0.766667           -0.308021
            0.583333            0.783333           -0.301873
            0.583333                 0.8           -0.314333
            0.583333            0.816667           -0.271609
            0.583333            0.833333           -0.273643
            0.583333                0.85           -0.285943
            0.583333            0.866667           -0.288214
            0.583333            0.883333           -0.268294
            0.583333                 0.9           -0.257598
            0.583333            0.916667           -0.262554
            0.583333            0.933333           -0.225436
            0.583333                0.95           -0.223247
            0.583333            0.966667           -0.223518
            0.583333            0.983333           -0.184329
                 0.6                 0.5           -0.219273
                 0.6            0.516667           -0.243593
                 0.6            0.533333           -0.273731
                 0.6                0.55           -0.278368
                 0.6            0.566667           -0.288042
                 0.6            0.583333           -0.304064
                 0.6                 0.6           -0.307222
                 0.6            0.616667           -0.318574
                 0.6            0.633333           -0.325466
                 0.6                0.65           -0.322541
                 0.6            0.666667           -0.327959
                 0.6            0.683333           -0.319616
                 0.6                 0.7           -0.332983
                 0.6            0.716667            -0.32332
                 0.6            0.733333           -0.329628
                 0.6                0.75           -0.326268
                 0.6            0.766667           -0.316873
                 0.6            0.783333           -0.305925
                 0.6                 0.8           -0.325639
                 0.6            0.816667           -0.296553
                 0.6            0.833333           -0.300013
                 0.6                0.85           -0.307414
                 0.6            0.866667           -0.298611
                 0.6            0.883333           -0.282539
                 0.6                 0.9           -0.245378
                 0.6            0.916667           -0.233386
                 0.6            0.933333           -0.226316
                 0.6                0.95           -0.246205
                 0.6            0.966667           -0.198949
                 0.6            0.983333           -0.137054
            0.616667                 0.5           -0.227072
            0.616667            0.516667           -0.264009
            0.616667            0.533333           -0.278781
            0.616667                0.55           -0.299685
            0.616667            0.566667           -0.300565
            0.616667            0.583333           -0.331626
            0.616667                 0.6           -0.330093
            0.616667            0.616667           -0.334556
            0.616667            0.633333           -0.334192
            0.616667                0.65           -0.333353
            0.616667            0.666667           -0.344117
            0.616667            0.683333           -0.340182
            0.616667                 0.7           -0.354799
            0.616667            0.716667            -0.32792
            0.616667            0.733333           -0.332041
            0.616667                0.75           -0.318567
            0.616667            0.766667             -0.3415
            0.616667            0.783333           -0.309308
            0.616667                 0.8           -0.309134
            0.616667            0.816667           -0.302931
            0.616667            0.833333           -0.311924
            0.616667                0.85            -0.30959
            0.616667            0.866667           -0.255843
            0.616667            0.883333           -0.254225
            0.616667                 0.9           -0.239805
            0.616667            0.916667           -0.218877
            0.616667            0.933333           -0.180481
            0.616667                0.95           -0.192242
            0.616667            0.966667           -0.197403
            0.616667            0.983333           -0.169962
            0.633333                 0.5           -0.257838
            0.633333            0.516667           -0.287527
            0.633333            0.533333           -0.298578
            0.633333                0.55           -0.314441
            0.633333            0.566667           -0.331254
            0.633333            0.583333           -0.342279
            0.633333                 0.6           -0.345305
            0.633333            0.616667           -0.352644
            0.633333            0.633333            -0.35841
            0.633333                0.65            -0.35787
            0.633333            0.666667           -0.349133
            0.633333            0.683333           -0.360916
            0.633333                 0.7           -0.354134
            0.633333            0.716667           -0.350614
            0.633333            0.733333           -0.352914
            0.633333                0.75           -0.340924
            0.633333            0.766667           -0.340893
            0.633333            0.783333           -0.323904
            0.633333                 0.8           -0.315076
            0.633333            0.816667           -0.298278
            0.633333            0.833333            -0.30027
            0.633333                0.85           -0.271555
