          Generation           Avg. Path        Avg. Fitness
                   1              1037.1          0.00096775
                   2             1017.68         0.000985464
                   3             1002.26           0.0010002
                   4              989.55          0.00101268
                   5             974.395          0.00102825
                   6             962.218          0.00104103
                   7             954.434          0.00104949
                   8              945.08          0.00105987
                   9             938.479           0.0010672
                  10             932.493          0.00107397
                  11             926.728          0.00108054
                  12             924.393          0.00108327
                  13             919.396          0.00108908
                  14             915.086          0.00109416
                  15             913.044          0.00109681
                  16             909.177           0.0011016
                  17             904.534          0.00110733
                  18              901.61          0.00111086
                  19             901.959          0.00111062
                  20             901.457           0.0011114
                  21             898.491          0.00111491
                  22             895.562          0.00111862
                  23             894.239          0.00112033
                  24             893.984          0.00112075
                  25              891.48          0.00112388
                  26             891.221          0.00112443
                  27             889.488          0.00112658
                  28             888.287          0.00112805
                  29             886.284          0.00113051
                  30             885.862          0.00113127
                  31               883.6          0.00113422
                  32             883.367          0.00113459
                  33             883.732          0.00113443
                  34             883.099          0.00113536
                  35             881.296          0.00113757
                  36             881.461          0.00113745
                  37              879.13          0.00114024
                  38             877.547          0.00114219
                  39             877.623          0.00114236
                  40             876.493          0.00114402
                  41             875.921          0.00114488
                  42             873.376          0.00114806
                  43             872.183          0.00114961
                  44             872.428          0.00114929
                  45             872.296          0.00114954
                  46             869.797          0.00115255
                  47             870.485          0.00115182
                  48             870.268          0.00115211
                  49             868.809           0.0011542
                  50             866.997          0.00115658
                  51              867.24          0.00115648
                  52             867.596          0.00115606
                  53             866.176          0.00115788
                  54             866.765           0.0011573
                  55             869.297          0.00115439
                  56             869.923          0.00115383
                  57             869.421          0.00115432
                  58             869.857          0.00115377
                  59             867.499          0.00115658
                  60             867.105          0.00115714
                  61             868.413          0.00115565
                  62              866.99          0.00115737
                  63             866.322          0.00115821
                  64             865.707          0.00115898
                  65             864.878          0.00116004
                  66             865.958          0.00115888
                  67             866.039          0.00115888
                  68              865.48          0.00115964
                  69             865.372          0.00115986
                  70             865.607          0.00115981
                  71             865.513          0.00116002
                  72             862.972          0.00116312
                  73             862.785          0.00116343
                  74             861.702          0.00116489
                  75             861.342          0.00116536
                  76             861.493          0.00116525
                  77             862.408          0.00116418
                  78             861.979          0.00116478
                  79             862.655          0.00116407
                  80             862.446          0.00116466
                  81             861.333          0.00116612
                  82             859.325          0.00116849
                  83             860.946          0.00116671
                  84             860.597          0.00116715
                  85             858.969          0.00116902
                  86             858.557          0.00116974
                  87             857.606          0.00117078
                  88             857.099          0.00117148
                  89             856.972          0.00117171
                  90             854.301          0.00117499
                  91             855.815          0.00117337
                  92             853.315          0.00117637
                  93             853.306          0.00117656
                  94             855.297          0.00117416
                  95             854.468          0.00117545
                  96             850.754          0.00118003
                  97             851.646            0.001179
                  98             849.706          0.00118151
                  99             849.485           0.0011819
                 100             849.347          0.00118201
