           Best Path              City X              City Y                  ID
                  27             6.03655             4.77294                   0
                  11              20.248             1.92651                   1
                   1             11.9974             9.80575                   2
                   2             29.5938             10.2969                   3
                  16             13.1066            0.860883                   4
                   5              25.373             15.7939                   5
                  29             17.2807             25.6111                   6
                  12               21.05             25.4417                   7
                   9             8.39834             28.0961                   8
                  21             28.5534             27.7564                   9
                  17             26.4577             8.71259                  10
                   7             23.4577            0.334324                  11
                   6             24.9068             25.8345                  12
                  26             22.1583             4.34322                  13
                  25             7.81301             25.7011                  14
                  18              16.434             2.64335                  15
                  14             17.6371             18.7088                  16
                   8             21.1376             28.3547                  17
                  23             10.2491             22.8013                  18
                  19             1.18248             18.3843                  19
                  20             6.39395             14.8886                  20
                  28              25.155             29.7693                  21
                  22             1.69708             2.33454                  22
                   0              2.6073             27.7626                  23
                   4             23.7917             3.26673                  24
                  15               10.39             24.5416                  25
                  13             13.2462              28.099                  26
                  24             27.4844             1.47475                  27
                  10             2.33763             8.08636                  28
                   3             27.0713             20.3063                  29
