          Generation           Avg. Path        Avg. Fitness
                   1             506.763          0.00197877
                   2             509.888          0.00196667
                   3             509.053           0.0019685
                   4             508.681          0.00197051
                   5             509.097          0.00196829
                   6             509.778          0.00196635
                   7             509.585          0.00196701
                   8             510.734          0.00196192
                   9             509.629          0.00196754
                  10             510.423          0.00196423
                  11             513.411           0.0019517
                  12             513.297           0.0019528
                  13             510.647          0.00196296
                  14             510.445          0.00196341
                  15             510.002          0.00196539
                  16             509.642          0.00196755
                  17             511.202          0.00196048
                  18             510.212          0.00196477
                  19             508.838             0.00197
                  20             509.829          0.00196662
                  21             509.237          0.00196872
                  22             509.557          0.00196737
                  23             509.437           0.0019676
                  24             511.237          0.00196064
                  25             512.872          0.00195434
                  26             512.775          0.00195456
                  27             512.171          0.00195687
                  28             510.899          0.00196171
                  29             510.795           0.0019622
                  30             509.885          0.00196597
                  31             511.853          0.00195855
                  32             511.666          0.00195942
                  33             511.738          0.00195839
                  34             510.378          0.00196369
                  35             509.763          0.00196581
                  36             509.272          0.00196828
                  37             509.338          0.00196862
                  38             508.575          0.00197135
                  39             510.883          0.00196237
                  40             507.332          0.00197626
                  41             506.493          0.00197982
                  42              506.01          0.00198126
                  43             505.859          0.00198233
                  44             509.578          0.00196703
                  45             511.637          0.00195875
                  46              510.59          0.00196271
                  47             510.655          0.00196245
                  48             511.178          0.00196035
                  49             510.101          0.00196464
                  50             510.224          0.00196414
                  51             509.493          0.00196769
                  52             509.941          0.00196622
                  53             510.222          0.00196462
                  54             510.079          0.00196633
                  55              510.38           0.0019645
                  56             511.213           0.0019607
                  57             509.631          0.00196658
                  58             509.722          0.00196638
                  59             510.355          0.00196421
                  60             509.859          0.00196577
                  61             510.762          0.00196233
                  62             511.849          0.00195813
                  63             512.599          0.00195555
                  64             511.879          0.00195838
                  65             511.071          0.00196087
                  66             510.146          0.00196469
                  67              512.13          0.00195624
                  68             513.199          0.00195265
                  69              510.64          0.00196282
                  70             511.833          0.00195812
                  71             510.146          0.00196478
                  72             508.887          0.00196964
                  73             508.861          0.00196969
                  74             508.196          0.00197311
                  75              509.91          0.00196622
                  76             509.598          0.00196702
                  77             509.404          0.00196718
                  78             509.682           0.0019664
                  79             510.638          0.00196325
                  80               511.4          0.00195982
                  81             512.093          0.00195745
                  82             512.706           0.0019547
                  83             512.135          0.00195772
                  84             512.069          0.00195833
                  85             512.142          0.00195807
                  86             510.961          0.00196285
                  87             512.132          0.00195832
                  88              513.59          0.00195203
                  89             514.245          0.00194873
                  90             512.533          0.00195588
                  91             512.887          0.00195449
                  92             512.641          0.00195491
                  93             512.951          0.00195363
                  94             511.284          0.00196016
                  95             510.415          0.00196404
                  96             508.694          0.00197062
                  97             507.794          0.00197376
                  98             508.137          0.00197344
                  99             510.138          0.00196518
                 100             510.841           0.0019615
                 101             511.393          0.00195949
                 102             511.012          0.00196125
                 103             508.291          0.00197146
                 104             508.238            0.001972
                 105             506.248          0.00198033
                 106             508.156          0.00197259
                 107             507.503          0.00197535
                 108             506.153          0.00198028
                 109             503.832          0.00199006
                 110             503.888          0.00198913
                 111             503.052           0.0019925
                 112             505.144          0.00198452
                 113             506.557          0.00197913
                 114             506.762          0.00197827
                 115             510.095          0.00196532
                 116             508.745          0.00197049
                 117             511.221          0.00196084
                 118             508.433          0.00197201
                 119             510.707          0.00196259
                 120             509.364           0.0019675
                 121             508.573          0.00197168
                 122              507.29           0.0019767
                 123             509.605          0.00196741
                 124             509.675          0.00196717
                 125             510.358          0.00196442
                 126             510.163          0.00196456
                 127              508.52          0.00197121
                 128             508.571          0.00197106
                 129             509.181          0.00196849
                 130             508.097          0.00197359
                 131             507.261          0.00197608
                 132             509.794          0.00196544
                 133             506.566          0.00197873
                 134               507.5          0.00197488
